Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Cincinnati,Cincinnati,Fri Nov 8,45,92,North Carolina Central,"W, 74-61",66,Home,1-0,,
2014,Cincinnati,Cincinnati,Tue Nov 12,46,62,N.C. State,"W, 68-57",61,Home,2-0,,
2014,Cincinnati,Cincinnati,Sat Nov 16,42,331,Appalachian St.,"W, 77-49",66,Home,3-0,,
2014,Cincinnati,Cincinnati,Wed Nov 20,34,327,Campbell,"W, 81-62",67,Home,4-0,,
2014,Cincinnati,Cincinnati,Tue Nov 26,39,322,UMass Lowell,"W, 79-49",77,Home,5-0,,
2014,Cincinnati,Cincinnati,Fri Nov 29,31,338,Kennesaw St.,"W, 95-67",73,Home,6-0,,
2014,Cincinnati,Cincinnati,Tue Dec 3,36,167,USC Upstate,"W, 86-50",67,Home,7-0,,
2014,Cincinnati,Cincinnati,Sat Dec 7,23,33,New Mexico,"L, 63-54",60,Away,7-1,,
2014,Cincinnati,Cincinnati,Sat Dec 14,31,52,Xavier,"L, 64-47",58,Neutral,7-2,,
2014,Cincinnati,Cincinnati,Tue Dec 17,58,16,Pittsburgh,"W, 44-43",48,Neutral,8-2,,
2014,Cincinnati,Cincinnati,Sat Dec 21,49,89,Middle Tennessee,"W, 69-48",66,Home,9-2,,
2014,Cincinnati,Cincinnati,Mon Dec 23,38,284,Chicago St.,"W, 102-62",73,Home,10-2,,
2014,Cincinnati,Cincinnati,Sat Dec 28,37,56,Nebraska,"W, 74-59",61,Home,11-2,,
2014,Cincinnati,Cincinnati,Wed Jan 1,35,31,SMU,"W, 65-57",62,Home,12-2,1-0,
2014,Cincinnati,Cincinnati,Sat Jan 4,32,36,Memphis,"W, 69-53",68,Away,13-2,2-0,
2014,Cincinnati,Cincinnati,Tue Jan 7,21,132,Houston,"W, 61-60",61,Away,14-2,3-0,
2014,Cincinnati,Cincinnati,Sat Jan 11,21,170,Rutgers,"W, 71-51",69,Home,15-2,4-0,
2014,Cincinnati,Cincinnati,Tue Jan 14,20,150,Temple,"W, 69-58",63,Home,16-2,5-0,
2014,Cincinnati,Cincinnati,Sat Jan 18,22,191,South Florida,"W, 61-54",61,Away,17-2,6-0,
2014,Cincinnati,Cincinnati,Thu Jan 23,22,155,UCF,"W, 69-51",62,Home,18-2,7-0,
2014,Cincinnati,Cincinnati,Sun Jan 26,21,150,Temple,"W, 80-76",67,Away,19-2,8-0,
2014,Cincinnati,Cincinnati,Thu Jan 30,23,1,Louisville,"W, 69-66",66,Away,20-2,9-0,
2014,Cincinnati,Cincinnati,Sun Feb 2,17,191,South Florida,"W, 50-45",53,Home,21-2,10-0,
2014,Cincinnati,Cincinnati,Thu Feb 6,22,15,Connecticut,"W, 63-58",62,Home,22-2,11-0,
2014,Cincinnati,Cincinnati,Sat Feb 8,22,31,SMU,"L, 76-55",64,Away,22-3,11-1,
2014,Cincinnati,Cincinnati,Sat Feb 15,23,132,Houston,"W, 73-62",54,Home,23-3,12-1,
2014,Cincinnati,Cincinnati,Wed Feb 19,27,155,UCF,"W, 77-49",61,Away,24-3,13-1,
2014,Cincinnati,Cincinnati,Sat Feb 22,21,1,Louisville,"L, 58-57",63,Home,24-4,13-2,
2014,Cincinnati,Cincinnati,Sat Mar 1,20,15,Connecticut,"L, 51-45",64,Away,24-5,13-3,
2014,Cincinnati,Cincinnati,Thu Mar 6,18,36,Memphis,"W, 97-84",73,Home,25-5,14-3,
2014,Cincinnati,Cincinnati,Sat Mar 8,19,170,Rutgers,"W, 70-66",65,Away,26-5,15-3,
2014,Cincinnati,Cincinnati,Thu Mar 13,20,155,UCF,"W, 61-58",64,Neutral,27-5,,American Athletic
2014,Cincinnati,Cincinnati,Fri Mar 14,21,15,Connecticut,"L, 58-56",56,Neutral,27-6,,American Athletic
2014,Cincinnati,Cincinnati,Thu Mar 20,24,32,Harvard,"L, 61-57",60,Neutral,27-7,,NCAA
