Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Coastal Carolina,Coastal Carolina,Fri Nov 8,264,145,Akron,"L, 72-63",73,Away,0-1,,
2014,Coastal Carolina,Coastal Carolina,Mon Nov 11,258,NR,Guilford,"W, 76-49",73,Home,1-1,,
2014,Coastal Carolina,Coastal Carolina,Sat Nov 16,253,83,Mississippi,"L, 72-70",79,Home,1-2,,
2014,Coastal Carolina,Coastal Carolina,Tue Nov 19,246,46,Minnesota,"L, 82-72",71,Away,1-3,,
2014,Coastal Carolina,Coastal Carolina,Sat Nov 23,225,199,St. Francis NY,"W, 70-59",71,Home,2-3,,
2014,Coastal Carolina,Coastal Carolina,Sun Nov 24,203,113,Louisiana Lafayette,"L, 73-69",76,Home,2-4,,
2014,Coastal Carolina,Coastal Carolina,Fri Nov 29,205,51,Clemson,"L, 69-40",66,Away,2-5,,
2014,Coastal Carolina,Coastal Carolina,Wed Dec 4,221,237,Western Carolina,"W, 76-68",74,Home,3-5,,
2014,Coastal Carolina,Coastal Carolina,Thu Dec 5,210,NR,NC Wesleyan,"W, 89-54",69,Home,4-5,,
2014,Coastal Carolina,Coastal Carolina,Sat Dec 14,219,NR,Reinhardt,"W, 118-82",80,Home,5-5,,
2014,Coastal Carolina,Coastal Carolina,Tue Dec 17,219,344,South Carolina St.,"L, 83-78",75,Away,5-6,,
2014,Coastal Carolina,Coastal Carolina,Sat Dec 21,239,305,Central Connecticut,"W, 65-62",62,Away,6-6,,
2014,Coastal Carolina,Coastal Carolina,Mon Dec 30,231,344,South Carolina St.,"L, 68-58",63,Home,6-7,,
2014,Coastal Carolina,Coastal Carolina,Fri Jan 3,267,305,Central Connecticut,"W, 86-67",69,Home,7-7,,
2014,Coastal Carolina,Coastal Carolina,Wed Jan 8,251,220,Charleston Southern,"L, 70-58",65,Away,7-8,0-1,
2014,Coastal Carolina,Coastal Carolina,Sat Jan 11,269,247,Gardner Webb,"W, 81-69",71,Away,8-8,1-1,
2014,Coastal Carolina,Coastal Carolina,Wed Jan 15,256,235,UNC Asheville,"W, 81-78",71,Home,9-8,2-1,
2014,Coastal Carolina,Coastal Carolina,Sat Jan 18,250,229,Winthrop,"L, 73-72",71,Home,9-9,2-2,
2014,Coastal Carolina,Coastal Carolina,Wed Jan 22,259,349,Presbyterian,"W, 84-72",63,Away,10-9,3-2,
2014,Coastal Carolina,Coastal Carolina,Sat Jan 25,253,256,Radford,"W, 69-61",66,Away,11-9,4-2,
2014,Coastal Carolina,Coastal Carolina,Wed Jan 29,236,283,Liberty,"W, 66-64",64,Home,12-9,5-2,
2014,Coastal Carolina,Coastal Carolina,Sat Feb 1,242,327,Campbell,"W, 61-58",59,Away,13-9,6-2,
2014,Coastal Carolina,Coastal Carolina,Wed Feb 5,243,248,High Point,"L, 77-74",69,Home,13-10,6-3,
2014,Coastal Carolina,Coastal Carolina,Sat Feb 8,253,346,Longwood,"W, 67-58",70,Home,14-10,7-3,
2014,Coastal Carolina,Coastal Carolina,Wed Feb 12,254,210,VMI,"W, 83-78",70,Away,15-10,8-3,
2014,Coastal Carolina,Coastal Carolina,Sat Feb 15,240,247,Gardner Webb,"W, 75-60",71,Home,16-10,9-3,
2014,Coastal Carolina,Coastal Carolina,Wed Feb 19,228,229,Winthrop,"L, 75-65",65,Away,16-11,9-4,
2014,Coastal Carolina,Coastal Carolina,Sat Feb 22,239,235,UNC Asheville,"L, 100-85",83,Away,16-12,9-5,
2014,Coastal Carolina,Coastal Carolina,Wed Feb 26,248,349,Presbyterian,"W, 70-51",64,Home,17-12,10-5,
2014,Coastal Carolina,Coastal Carolina,Sat Mar 1,243,220,Charleston Southern,"W, 63-61",67,Home,18-12,11-5,
2014,Coastal Carolina,Coastal Carolina,Fri Mar 7,245,220,Charleston Southern,"W, 73-68",79,Home,19-12,,Big South
2014,Coastal Carolina,Coastal Carolina,Sat Mar 8,244,210,VMI,"W, 66-62",69,Home,20-12,,Big South
2014,Coastal Carolina,Coastal Carolina,Sun Mar 9,242,229,Winthrop,"W, 76-61",63,Home,21-12,,Big South
2014,Coastal Carolina,Coastal Carolina,Fri Mar 21,216,4,Virginia,"L, 70-59",59,Neutral,21-13,,NCAA
