Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Eastern Kentucky,Eastern Kentucky,Fri Nov 8,149,231,FIU,"W, 83-61",70,Neutral,1-0,,
2014,Eastern Kentucky,Eastern Kentucky,Sat Nov 9,118,338,Kennesaw St.,"W, 68-60",71,Away,2-0,,
2014,Eastern Kentucky,Eastern Kentucky,Sun Nov 10,117,186,Youngstown St.,"L, 75-67",69,Neutral,2-1,,
2014,Eastern Kentucky,Eastern Kentucky,Wed Nov 13,142,NR,Warren Wilson,"W, 114-45",76,Home,3-1,,
2014,Eastern Kentucky,Eastern Kentucky,Sat Nov 16,144,248,High Point,"W, 74-67",65,Home,4-1,,
2014,Eastern Kentucky,Eastern Kentucky,Tue Nov 19,151,306,Alabama A&M,"W, 82-68",73,Home,5-1,,
2014,Eastern Kentucky,Eastern Kentucky,Fri Nov 22,137,NR,Brescia,"W, 95-56",73,Home,6-1,,
2014,Eastern Kentucky,Eastern Kentucky,Sat Nov 30,145,62,N.C. State,"L, 75-56",65,Away,6-2,,
2014,Eastern Kentucky,Eastern Kentucky,Thu Dec 5,160,25,VCU,"L, 71-68",71,Away,6-3,,
2014,Eastern Kentucky,Eastern Kentucky,Sat Dec 7,141,346,Longwood,"W, 76-67",64,Away,7-3,,
2014,Eastern Kentucky,Eastern Kentucky,Sat Dec 14,142,5,Wisconsin,"L, 86-61",62,Away,7-4,,
2014,Eastern Kentucky,Eastern Kentucky,Wed Dec 18,152,334,North Carolina A&T,"W, 84-73",69,Home,8-4,,
2014,Eastern Kentucky,Eastern Kentucky,Sun Dec 29,152,146,IPFW,"W, 90-68",65,Away,9-4,,
2014,Eastern Kentucky,Eastern Kentucky,Thu Jan 2,117,300,Eastern Illinois,"W, 100-81",70,Away,10-4,1-0,
2014,Eastern Kentucky,Eastern Kentucky,Sat Jan 4,107,290,SIU Edwardsville,"L, 85-79",73,Away,10-5,1-1,
2014,Eastern Kentucky,Eastern Kentucky,Wed Jan 8,124,135,Murray St.,"L, 77-64",66,Home,10-6,1-2,
2014,Eastern Kentucky,Eastern Kentucky,Sat Jan 11,160,180,Morehead St.,"W, 76-65",66,Away,11-6,2-2,
2014,Eastern Kentucky,Eastern Kentucky,Thu Jan 16,143,97,Belmont,"W, 74-63",66,Home,12-6,3-2,
2014,Eastern Kentucky,Eastern Kentucky,Sat Jan 18,131,309,Jacksonville St.,"W, 60-56",57,Home,13-6,4-2,
2014,Eastern Kentucky,Eastern Kentucky,Thu Jan 23,143,288,Tennessee St.,"W, 94-78",67,Away,14-6,5-2,
2014,Eastern Kentucky,Eastern Kentucky,Sat Jan 25,131,97,Belmont,"L, 84-81",76,Away,14-7,5-3,
2014,Eastern Kentucky,Eastern Kentucky,Thu Jan 30,129,318,Tennessee Martin,"W, 89-66",64,Home,15-7,6-3,
2014,Eastern Kentucky,Eastern Kentucky,Sat Feb 1,124,226,Southeast Missouri St.,"W, 79-78",70,Home,16-7,7-3,
2014,Eastern Kentucky,Eastern Kentucky,Tue Feb 4,135,279,Chattanooga,"W, 74-63",64,Home,17-7,,
2014,Eastern Kentucky,Eastern Kentucky,Sat Feb 8,136,180,Morehead St.,"L, 86-79",71,Home,17-8,7-4,
2014,Eastern Kentucky,Eastern Kentucky,Thu Feb 13,145,268,Tennessee Tech,"L, 72-66",68,Away,17-9,7-5,
2014,Eastern Kentucky,Eastern Kentucky,Sat Feb 15,160,309,Jacksonville St.,"W, 86-65",70,Away,18-9,8-5,
2014,Eastern Kentucky,Eastern Kentucky,Sat Feb 22,149,287,Austin Peay,"W, 96-75",72,Away,19-9,9-5,
2014,Eastern Kentucky,Eastern Kentucky,Thu Feb 27,136,268,Tennessee Tech,"W, 74-67",60,Home,20-9,10-5,
2014,Eastern Kentucky,Eastern Kentucky,Sat Mar 1,140,288,Tennessee St.,"W, 70-66",63,Home,21-9,11-5,
2014,Eastern Kentucky,Eastern Kentucky,Thu Mar 6,145,226,Southeast Missouri St.,"W, 84-76",66,Neutral,22-9,,Ohio Valley
2014,Eastern Kentucky,Eastern Kentucky,Fri Mar 7,142,135,Murray St.,"W, 86-83",73,Neutral,23-9,,Ohio Valley
2014,Eastern Kentucky,Eastern Kentucky,Sat Mar 8,141,97,Belmont,"W, 79-73",64,Semi-Away,24-9,,Ohio Valley
2014,Eastern Kentucky,Eastern Kentucky,Fri Mar 21,122,7,Kansas,"L, 80-69",64,Neutral,24-10,,NCAA
