Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,George Washington,George Washington,Fri Nov 8,120,256,Radford,"W, 76-54",68,Home,1-0,,
2014,George Washington,George Washington,Tue Nov 12,93,339,Maine,"W, 108-81",81,Home,2-0,,
2014,George Washington,George Washington,Sat Nov 16,90,74,Manhattan,"W, 80-74",71,Away,3-0,,
2014,George Washington,George Washington,Tue Nov 19,68,320,Delaware St.,"W, 94-50",68,Home,4-0,,
2014,George Washington,George Washington,Thu Nov 28,66,77,Miami FL,"W, 71-63",65,Neutral,5-0,,
2014,George Washington,George Washington,Fri Nov 29,59,68,Marquette,"L, 76-60",64,Neutral,5-1,,
2014,George Washington,George Washington,Sun Dec 1,74,17,Creighton,"W, 60-53",63,Neutral,6-1,,
2014,George Washington,George Washington,Wed Dec 4,64,170,Rutgers,"W, 93-87",70,Home,7-1,,
2014,George Washington,George Washington,Sun Dec 8,69,43,Maryland,"W, 77-75",77,Neutral,8-1,,
2014,George Washington,George Washington,Wed Dec 11,67,126,Boston University,"W, 70-60",67,Home,9-1,,
2014,George Washington,George Washington,Sat Dec 21,64,323,UMBC,"W, 74-61",72,Home,10-1,,
2014,George Washington,George Washington,Sat Dec 28,63,266,Hofstra,"W, 69-58",58,Away,11-1,,
2014,George Washington,George Washington,Tue Dec 31,63,45,Kansas St.,"L, 72-55",69,Away,11-2,,
2014,George Washington,George Washington,Fri Jan 3,73,78,Georgia,"W, 73-55",67,Home,12-2,,
2014,George Washington,George Washington,Thu Jan 9,60,105,La Salle,"L, 76-72",66,Away,12-3,0-1,
2014,George Washington,George Washington,Sat Jan 11,60,115,Rhode Island,"W, 69-56",63,Home,13-3,1-1,
2014,George Washington,George Washington,Tue Jan 14,55,25,VCU,"W, 76-66",75,Home,14-3,2-1,
2014,George Washington,George Washington,Sat Jan 18,48,84,St. Bonaventure,"W, 79-71",71,Away,15-3,3-1,
2014,George Washington,George Washington,Sat Jan 25,37,141,George Mason,"W, 75-69",66,Away,16-3,4-1,
2014,George Washington,George Washington,Wed Jan 29,44,105,La Salle,"W, 69-47",65,Home,17-3,5-1,
2014,George Washington,George Washington,Sat Feb 1,35,42,Dayton,"L, 75-65",63,Away,17-4,5-2,
2014,George Washington,George Washington,Wed Feb 5,40,152,Duquesne,"W, 71-57",73,Home,18-4,6-2,
2014,George Washington,George Washington,Sat Feb 8,39,201,Fordham,"W, 93-67",70,Home,19-4,7-2,
2014,George Washington,George Washington,Wed Feb 12,36,25,VCU,"L, 92-75",80,Away,19-5,7-3,
2014,George Washington,George Washington,Sat Feb 15,36,50,Massachusetts,"L, 67-61",72,Home,19-6,7-4,
2014,George Washington,George Washington,Tue Feb 18,41,91,Richmond,"W, 73-65",63,Away,20-6,8-4,
2014,George Washington,George Washington,Sat Feb 22,37,35,Saint Louis,"L, 66-59",67,Away,20-7,8-5,
2014,George Washington,George Washington,Sun Mar 2,43,141,George Mason,"W, 66-58",65,Home,21-7,9-5,
2014,George Washington,George Washington,Wed Mar 5,42,55,Saint Joseph's,"W, 76-71",65,Home,22-7,10-5,
2014,George Washington,George Washington,Sat Mar 8,40,201,Fordham,"W, 70-67",61,Away,23-7,11-5,
2014,George Washington,George Washington,Fri Mar 14,41,50,Massachusetts,"W, 85-77",78,Neutral,24-7,,Atlantic 10
2014,George Washington,George Washington,Sat Mar 15,37,25,VCU,"L, 74-55",65,Neutral,24-8,,Atlantic 10
2014,George Washington,George Washington,Fri Mar 21,42,36,Memphis,"L, 71-66",60,Neutral,24-9,,NCAA
