Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Manhattan,Manhattan,Sat Nov 9,98,105,La Salle,"W, 99-90",82,Away,1-0,,
2014,Manhattan,Manhattan,Tue Nov 12,68,119,Columbia,"W, 71-70",65,Away,2-0,,
2014,Manhattan,Manhattan,Sat Nov 16,68,47,George Washington,"L, 80-74",71,Home,2-1,,
2014,Manhattan,Manhattan,Wed Nov 20,88,147,Illinois St.,"W, 79-70",82,Away,3-1,,
2014,Manhattan,Manhattan,Tue Nov 26,78,201,Fordham,"L, 79-75",71,Home,3-2,,
2014,Manhattan,Manhattan,Sat Nov 30,111,266,Hofstra,"W, 66-59",59,Away,4-2,,
2014,Manhattan,Manhattan,Fri Dec 6,99,206,Marist,"W, 70-59",69,Away,5-2,1-0,
2014,Manhattan,Manhattan,Sun Dec 8,94,269,Monmouth,"W, 75-66",76,Home,6-2,2-0,
2014,Manhattan,Manhattan,Sun Dec 15,92,280,UNC Wilmington,"W, 77-72",70,Away,7-2,,
2014,Manhattan,Manhattan,Tue Dec 17,90,112,South Carolina,"W, 86-68",73,Away,8-2,,
2014,Manhattan,Manhattan,Sat Dec 21,76,101,Buffalo,"W, 84-81",83,Semi-Home,9-2,,
2014,Manhattan,Manhattan,Thu Jan 2,75,238,Saint Peter's,"W, 74-62",72,Away,10-2,3-0,
2014,Manhattan,Manhattan,Sat Jan 4,73,271,Fairfield,"W, 83-57",70,Home,11-2,4-0,
2014,Manhattan,Manhattan,Thu Jan 9,68,149,Quinnipiac,"L, 81-76",68,Away,11-3,4-1,
2014,Manhattan,Manhattan,Sun Jan 12,65,206,Marist,"W, 86-79",76,Home,12-3,5-1,
2014,Manhattan,Manhattan,Thu Jan 16,67,164,Siena,"W, 90-68",73,Home,13-3,6-1,
2014,Manhattan,Manhattan,Sat Jan 18,62,271,Fairfield,"L, 71-67",68,Away,13-4,6-2,
2014,Manhattan,Manhattan,Fri Jan 24,77,217,Rider,"W, 67-51",71,Home,14-4,7-2,
2014,Manhattan,Manhattan,Sun Jan 26,75,149,Quinnipiac,"L, 90-86",85,Home,14-5,7-3,
2014,Manhattan,Manhattan,Fri Jan 31,86,76,Iona,"L, 85-73",69,Away,14-6,7-4,
2014,Manhattan,Manhattan,Tue Feb 4,94,238,Saint Peter's,"W, 64-49",65,Home,15-6,8-4,
2014,Manhattan,Manhattan,Fri Feb 7,90,124,Canisius,"W, 84-73",74,Away,16-6,9-4,
2014,Manhattan,Manhattan,Sun Feb 9,76,270,Niagara,"W, 78-77",82,Away,17-6,10-4,
2014,Manhattan,Manhattan,Thu Feb 13,82,217,Rider,"W, 86-69",77,Away,18-6,11-4,
2014,Manhattan,Manhattan,Sun Feb 16,74,270,Niagara,"W, 90-72",75,Home,19-6,12-4,
2014,Manhattan,Manhattan,Wed Feb 19,72,269,Monmouth,"W, 75-61",70,Away,20-6,13-4,
2014,Manhattan,Manhattan,Fri Feb 21,68,164,Siena,"L, 67-63",67,Away,20-7,13-5,
2014,Manhattan,Manhattan,Fri Feb 28,73,76,Iona,"W, 80-77",73,Home,21-7,14-5,
2014,Manhattan,Manhattan,Sun Mar 2,73,124,Canisius,"W, 68-63",64,Home,22-7,15-5,
2014,Manhattan,Manhattan,Sat Mar 8,76,238,Saint Peter's,"W, 72-58",67,Neutral,23-7,,Metro Atlantic Athletic
2014,Manhattan,Manhattan,Sun Mar 9,77,149,Quinnipiac,"W, 87-68",72,Neutral,24-7,,Metro Atlantic Athletic
2014,Manhattan,Manhattan,Mon Mar 10,69,76,Iona,"W, 71-68",64,Neutral,25-7,,Metro Atlantic Athletic
2014,Manhattan,Manhattan,Thu Mar 20,64,1,Louisville,"L, 71-64",68,Neutral,25-8,,NCAA
