Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Massachusetts,Massachusetts,Sun Nov 10,61,142,Boston College,"W, 86-73",70,Semi-Away,1-0,,
2014,Massachusetts,Massachusetts,Tue Nov 12,38,59,LSU,"W, 92-90",84,Home,2-0,,
2014,Massachusetts,Massachusetts,Sun Nov 17,47,186,Youngstown St.,"W, 85-69",78,Home,3-0,,
2014,Massachusetts,Massachusetts,Thu Nov 21,47,56,Nebraska,"W, 96-90",79,Neutral,4-0,,
2014,Massachusetts,Massachusetts,Fri Nov 22,47,33,New Mexico,"W, 81-65",75,Neutral,5-0,,
2014,Massachusetts,Massachusetts,Sun Nov 24,29,51,Clemson,"W, 62-56",66,Neutral,6-0,,
2014,Massachusetts,Massachusetts,Tue Dec 3,26,136,Eastern Michigan,"W, 69-57",67,Away,7-0,,
2014,Massachusetts,Massachusetts,Sat Dec 7,26,49,BYU,"W, 105-96",86,Semi-Home,8-0,,
2014,Massachusetts,Massachusetts,Sat Dec 14,23,208,Northern Illinois,"W, 80-54",66,Home,9-0,,
2014,Massachusetts,Massachusetts,Wed Dec 18,25,127,Ohio,"W, 83-71",69,Away,10-0,,
2014,Massachusetts,Massachusetts,Sat Dec 21,21,38,Florida St.,"L, 60-55",73,Neutral,10-1,,
2014,Massachusetts,Massachusetts,Sat Dec 28,20,48,Providence,"W, 69-67",75,Home,11-1,,
2014,Massachusetts,Massachusetts,Sat Jan 4,25,218,Miami OH,"W, 73-65",70,Home,12-1,,
2014,Massachusetts,Massachusetts,Wed Jan 8,29,55,Saint Joseph's,"W, 66-62",65,Home,13-1,1-0,
2014,Massachusetts,Massachusetts,Sat Jan 11,27,84,St. Bonaventure,"W, 73-68",69,Home,14-1,2-0,
2014,Massachusetts,Massachusetts,Wed Jan 15,29,141,George Mason,"W, 88-87",75,Away,15-1,3-0,
2014,Massachusetts,Massachusetts,Sat Jan 18,33,202,Elon,"W, 84-74",71,Away,16-1,,
2014,Massachusetts,Massachusetts,Wed Jan 22,30,91,Richmond,"L, 58-55",63,Away,16-2,3-1,
2014,Massachusetts,Massachusetts,Sun Jan 26,32,201,Fordham,"W, 90-52",70,Home,17-2,4-1,
2014,Massachusetts,Massachusetts,Wed Jan 29,28,84,St. Bonaventure,"L, 78-65",69,Away,17-3,4-2,
2014,Massachusetts,Massachusetts,Sat Feb 1,37,55,Saint Joseph's,"L, 73-68",69,Away,17-4,4-3,
2014,Massachusetts,Massachusetts,Wed Feb 5,36,105,La Salle,"W, 79-67",67,Home,18-4,5-3,
2014,Massachusetts,Massachusetts,Sun Feb 9,39,115,Rhode Island,"W, 73-68",68,Away,19-4,6-3,
2014,Massachusetts,Massachusetts,Wed Feb 12,39,141,George Mason,"L, 91-80",76,Home,19-5,6-4,
2014,Massachusetts,Massachusetts,Sat Feb 15,48,47,George Washington,"W, 67-61",72,Away,20-5,7-4,
2014,Massachusetts,Massachusetts,Fri Feb 21,43,25,VCU,"W, 80-75",86,Home,21-5,8-4,
2014,Massachusetts,Massachusetts,Wed Feb 26,45,115,Rhode Island,"W, 70-67",65,Home,22-5,9-4,
2014,Massachusetts,Massachusetts,Sat Mar 1,44,42,Dayton,"L, 86-79",71,Away,22-6,9-5,
2014,Massachusetts,Massachusetts,Wed Mar 5,47,152,Duquesne,"W, 78-74",69,Away,23-6,10-5,
2014,Massachusetts,Massachusetts,Sun Mar 9,46,35,Saint Louis,"L, 64-62",72,Home,23-7,10-6,
2014,Massachusetts,Massachusetts,Thu Mar 13,48,115,Rhode Island,"W, 65-61",71,Neutral,24-7,,Atlantic 10
2014,Massachusetts,Massachusetts,Fri Mar 14,48,47,George Washington,"L, 85-77",78,Neutral,24-8,,Atlantic 10
2014,Massachusetts,Massachusetts,Fri Mar 21,50,10,Tennessee,"L, 86-67",71,Neutral,24-9,,NCAA
