Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Mercer,Mercer,Fri Nov 8,136,41,Texas,"L, 76-73",73,Away,0-1,,
2014,Mercer,Mercer,Wed Nov 13,130,NR,Reinhardt,"W, 95-53",70,Home,1-1,,
2014,Mercer,Mercer,Sat Nov 16,130,94,Seton Hall,"W, 77-74",82,Home,2-1,,
2014,Mercer,Mercer,Mon Nov 18,126,211,Evansville,"L, 89-76",71,Away,2-2,,
2014,Mercer,Mercer,Wed Nov 20,150,NR,Johnson & Wales NC,"W, 109-56",70,Home,3-2,,
2014,Mercer,Mercer,Sat Nov 23,147,153,Yale,"W, 81-54",66,Home,4-2,,
2014,Mercer,Mercer,Tue Nov 26,108,127,Ohio,"L, 76-67",67,Away,4-3,,
2014,Mercer,Mercer,Fri Nov 29,111,163,Valparaiso,"W, 117-108",97,Away,5-3,,
2014,Mercer,Mercer,Mon Dec 2,99,30,Oklahoma,"L, 96-82",72,Away,5-4,,
2014,Mercer,Mercer,Sat Dec 7,106,139,Denver,"W, 64-63",64,Home,6-4,,
2014,Mercer,Mercer,Mon Dec 16,117,324,Alcorn St.,"W, 70-44",65,Home,7-4,,
2014,Mercer,Mercer,Sun Dec 22,111,83,Mississippi,"W, 79-76",70,Away,8-4,,
2014,Mercer,Mercer,Fri Dec 27,96,NR,St. Andrews Pres.,"W, 98-56",64,Home,9-4,,
2014,Mercer,Mercer,Mon Dec 30,94,303,Jacksonville,"W, 86-49",67,Away,10-4,1-0,
2014,Mercer,Mercer,Wed Jan 1,84,263,North Florida,"L, 89-83",75,Away,10-5,1-1,
2014,Mercer,Mercer,Sat Jan 4,94,167,USC Upstate,"W, 62-60",63,Home,11-5,2-1,
2014,Mercer,Mercer,Mon Jan 6,97,243,East Tennessee St.,"W, 73-63",64,Home,12-5,3-1,
2014,Mercer,Mercer,Fri Jan 10,102,338,Kennesaw St.,"W, 83-46",62,Home,13-5,4-1,
2014,Mercer,Mercer,Thu Jan 16,98,311,Northern Kentucky,"W, 74-58",57,Away,14-5,5-1,
2014,Mercer,Mercer,Sat Jan 18,92,265,Lipscomb,"W, 87-66",71,Away,15-5,6-1,
2014,Mercer,Mercer,Thu Jan 23,80,182,Florida Gulf Coast,"W, 68-55",72,Home,16-5,7-1,
2014,Mercer,Mercer,Sat Jan 25,72,335,Stetson,"W, 87-49",62,Home,17-5,8-1,
2014,Mercer,Mercer,Fri Jan 31,71,243,East Tennessee St.,"W, 90-77",65,Away,18-5,9-1,
2014,Mercer,Mercer,Sun Feb 2,64,167,USC Upstate,"L, 80-61",71,Away,18-6,9-2,
2014,Mercer,Mercer,Fri Feb 7,81,338,Kennesaw St.,"W, 75-68",68,Away,19-6,10-2,
2014,Mercer,Mercer,Fri Feb 14,90,265,Lipscomb,"W, 79-48",64,Home,20-6,11-2,
2014,Mercer,Mercer,Sun Feb 16,81,311,Northern Kentucky,"W, 89-67",63,Home,21-6,12-2,
2014,Mercer,Mercer,Fri Feb 21,85,182,Florida Gulf Coast,"L, 75-61",68,Away,21-7,12-3,
2014,Mercer,Mercer,Sun Feb 23,95,335,Stetson,"W, 73-52",65,Away,22-7,13-3,
2014,Mercer,Mercer,Thu Feb 27,90,263,North Florida,"L, 79-76",78,Home,22-8,13-4,
2014,Mercer,Mercer,Sat Mar 1,101,303,Jacksonville,"W, 69-55",64,Home,23-8,14-4,
2014,Mercer,Mercer,Tue Mar 4,99,303,Jacksonville,"W, 85-64",66,Home,24-8,,Atlantic Sun
2014,Mercer,Mercer,Thu Mar 6,99,167,USC Upstate,"W, 78-75",69,Home,25-8,,Atlantic Sun
2014,Mercer,Mercer,Sun Mar 9,103,182,Florida Gulf Coast,"W, 68-60",62,Away,26-8,,Atlantic Sun
2014,Mercer,Mercer,Fri Mar 21,96,8,Duke,"W, 78-71",64,Semi-Away,27-8,,NCAA
2014,Mercer,Mercer,Sun Mar 23,81,10,Tennessee,"L, 83-63",56,Neutral,27-9,,NCAA
