Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Milwaukee,Milwaukee,Fri Nov 8,265,246,Loyola Chicago,"L, 76-72",69,Away,0-1,,
2014,Milwaukee,Milwaukee,Mon Nov 11,261,123,Davidson,"W, 81-77",76,Away,1-1,,
2014,Milwaukee,Milwaukee,Fri Nov 15,218,289,San Jose St.,"W, 64-61",66,Neutral,2-1,,
2014,Milwaukee,Milwaukee,Sat Nov 16,219,267,James Madison,"W, 77-66",61,Neutral,3-1,,
2014,Milwaukee,Milwaukee,Sun Nov 17,196,208,Northern Illinois,"W, 82-69",69,Away,4-1,,
2014,Milwaukee,Milwaukee,Tue Nov 19,185,183,DePaul,"L, 80-71",66,Home,4-2,,
2014,Milwaukee,Milwaukee,Sat Nov 23,195,268,Tennessee Tech,"W, 70-63",70,Away,5-2,,
2014,Milwaukee,Milwaukee,Tue Nov 26,194,NR,Judson,"W, 89-56",78,Home,6-2,,
2014,Milwaukee,Milwaukee,Sat Nov 30,195,272,UMKC,"W, 84-79",72,Away,7-2,,
2014,Milwaukee,Milwaukee,Tue Dec 3,191,95,Northern Iowa,"W, 83-72",72,Home,8-2,,
2014,Milwaukee,Milwaukee,Sat Dec 7,170,214,Bradley,"W, 73-67",63,Home,9-2,,
2014,Milwaukee,Milwaukee,Wed Dec 11,168,5,Wisconsin,"L, 78-52",65,Away,9-3,,
2014,Milwaukee,Milwaukee,Sat Dec 21,175,203,Northeastern,"L, 62-59",69,Neutral,9-4,,
2014,Milwaukee,Milwaukee,Sun Dec 22,177,298,Alabama St.,"W, 67-54",65,Neutral,10-4,,
2014,Milwaukee,Milwaukee,Thu Jan 2,171,186,Youngstown St.,"W, 82-76",70,Home,11-4,1-0,
2014,Milwaukee,Milwaukee,Sat Jan 4,153,85,Cleveland St.,"L, 77-49",64,Home,11-5,1-1,
2014,Milwaukee,Milwaukee,Wed Jan 8,183,194,Oakland,"W, 84-75",81,Away,12-5,2-1,
2014,Milwaukee,Milwaukee,Sun Jan 12,155,71,Green Bay,"L, 93-86",74,Home,12-6,2-2,
2014,Milwaukee,Milwaukee,Thu Jan 16,154,275,Illinois Chicago,"W, 67-63",65,Away,13-6,3-2,
2014,Milwaukee,Milwaukee,Sat Jan 18,153,163,Valparaiso,"L, 75-62",70,Away,13-7,3-3,
2014,Milwaukee,Milwaukee,Tue Jan 21,171,133,Wright St.,"L, 73-57",67,Away,13-8,3-4,
2014,Milwaukee,Milwaukee,Fri Jan 24,177,195,Detroit,"L, 73-54",77,Home,13-9,3-5,
2014,Milwaukee,Milwaukee,Thu Jan 30,200,133,Wright St.,"W, 68-64",71,Home,14-9,4-5,
2014,Milwaukee,Milwaukee,Sun Feb 2,203,194,Oakland,"W, 86-64",70,Home,15-9,5-5,
2014,Milwaukee,Milwaukee,Sat Feb 8,184,71,Green Bay,"W, 73-63",66,Away,16-9,6-5,
2014,Milwaukee,Milwaukee,Sat Feb 15,169,163,Valparaiso,"L, 77-62",69,Home,16-10,6-6,
2014,Milwaukee,Milwaukee,Thu Feb 20,174,186,Youngstown St.,"L, 88-83",76,Away,16-11,6-7,
2014,Milwaukee,Milwaukee,Sat Feb 22,174,85,Cleveland St.,"L, 74-50",69,Away,16-12,6-8,
2014,Milwaukee,Milwaukee,Tue Feb 25,181,275,Illinois Chicago,"L, 80-58",63,Home,16-13,6-9,
2014,Milwaukee,Milwaukee,Thu Feb 27,218,195,Detroit,"W, 68-62",60,Away,17-13,7-9,
2014,Milwaukee,Milwaukee,Tue Mar 4,202,195,Detroit,"W, 83-73",66,Home,18-13,,Horizon League
2014,Milwaukee,Milwaukee,Fri Mar 7,200,163,Valparaiso,"W, 74-57",61,Neutral,19-13,,Horizon League
2014,Milwaukee,Milwaukee,Sat Mar 8,189,71,Green Bay,"W, 73-66",72,Away,20-13,,Horizon League
2014,Milwaukee,Milwaukee,Tue Mar 11,173,133,Wright St.,"W, 69-63",62,Away,21-13,,Horizon League
2014,Milwaukee,Milwaukee,Thu Mar 20,169,11,Villanova,"L, 73-53",69,Neutral,21-14,,NCAA
