Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,N.C. St.,N.C. State,Fri Nov 8,72,331,Appalachian St.,"W, 98-77",74,Home,1-0,,
2014,N.C. St.,N.C. State,Tue Nov 12,67,27,Cincinnati,"L, 68-57",61,Away,1-1,,
2014,N.C. St.,N.C. State,Sat Nov 16,72,327,Campbell,"W, 81-66",67,Home,2-1,,
2014,N.C. St.,N.C. State,Wed Nov 20,77,92,North Carolina Central,"L, 82-72",71,Home,2-2,,
2014,N.C. St.,N.C. State,Tue Nov 26,123,182,Florida Gulf Coast,"W, 82-62",69,Home,3-2,,
2014,N.C. St.,N.C. State,Sat Nov 30,108,125,Eastern Kentucky,"W, 75-56",65,Home,4-2,,
2014,N.C. St.,N.C. State,Wed Dec 4,82,134,Northwestern,"W, 69-48",60,Home,5-2,,
2014,N.C. St.,N.C. State,Sat Dec 7,68,144,Long Beach St.,"W, 76-66",65,Home,6-2,,
2014,N.C. St.,N.C. State,Sat Dec 14,73,195,Detroit,"W, 82-79",75,Home,7-2,,
2014,N.C. St.,N.C. State,Wed Dec 18,81,10,Tennessee,"W, 65-58",67,Away,8-2,,
2014,N.C. St.,N.C. State,Sat Dec 21,71,239,East Carolina,"W, 90-79",71,Home,9-2,,
2014,N.C. St.,N.C. State,Sat Dec 28,67,69,Missouri,"L, 68-64",60,Home,9-3,,
2014,N.C. St.,N.C. State,Mon Dec 30,74,315,UNC Greensboro,"W, 68-64",72,Away,10-3,,
2014,N.C. St.,N.C. State,Sat Jan 4,77,16,Pittsburgh,"L, 74-62",66,Home,10-4,0-1,
2014,N.C. St.,N.C. State,Tue Jan 7,81,96,Notre Dame,"W, 77-70",68,Away,11-4,1-1,
2014,N.C. St.,N.C. State,Sat Jan 11,74,4,Virginia,"L, 76-45",65,Home,11-5,1-2,
2014,N.C. St.,N.C. State,Wed Jan 15,94,117,Wake Forest,"L, 70-69",66,Away,11-6,1-3,
2014,N.C. St.,N.C. State,Sat Jan 18,97,8,Duke,"L, 95-60",70,Away,11-7,1-4,
2014,N.C. St.,N.C. State,Mon Jan 20,103,43,Maryland,"W, 65-56",66,Home,12-7,2-4,
2014,N.C. St.,N.C. State,Sun Jan 26,90,114,Georgia Tech,"W, 80-78",71,Home,13-7,3-4,
2014,N.C. St.,N.C. State,Wed Jan 29,97,38,Florida St.,"W, 74-70",66,Home,14-7,4-4,
2014,N.C. St.,N.C. State,Sat Feb 1,85,29,North Carolina,"L, 84-70",77,Away,14-8,4-5,
2014,N.C. St.,N.C. State,Sat Feb 8,84,77,Miami FL,"W, 56-55",55,Away,15-8,5-5,
2014,N.C. St.,N.C. State,Tue Feb 11,85,117,Wake Forest,"W, 82-67",66,Home,16-8,6-5,
2014,N.C. St.,N.C. State,Sat Feb 15,79,18,Syracuse,"L, 56-55",61,Away,16-9,6-6,
2014,N.C. St.,N.C. State,Tue Feb 18,68,51,Clemson,"L, 73-56",58,Away,16-10,6-7,
2014,N.C. St.,N.C. State,Sat Feb 22,78,174,Virginia Tech,"W, 71-64",67,Away,17-10,7-7,
2014,N.C. St.,N.C. State,Wed Feb 26,77,29,North Carolina,"L, 85-84",73,Home,17-11,7-8,
2014,N.C. St.,N.C. State,Sat Mar 1,75,77,Miami FL,"L, 85-70",61,Home,17-12,7-9,
2014,N.C. St.,N.C. State,Mon Mar 3,91,16,Pittsburgh,"W, 74-67",59,Away,18-12,8-9,
2014,N.C. St.,N.C. State,Sun Mar 9,78,142,Boston College,"W, 78-68",63,Home,19-12,9-9,
2014,N.C. St.,N.C. State,Thu Mar 13,78,77,Miami FL,"W, 67-58",56,Neutral,20-12,,Atlantic Coast
2014,N.C. St.,N.C. State,Fri Mar 14,73,18,Syracuse,"W, 66-63",61,Neutral,21-12,,Atlantic Coast
2014,N.C. St.,N.C. State,Sat Mar 15,66,8,Duke,"L, 75-67",55,Neutral,21-13,,Atlantic Coast
2014,N.C. St.,N.C. State,Tue Mar 18,66,52,Xavier,"W, 74-59",64,Semi-Away,22-13,,NCAA
2014,N.C. St.,N.C. State,Thu Mar 20,54,35,Saint Louis,"L, 83-80",78,Neutral,22-14,,NCAA
