Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,North Carolina,North Carolina,Fri Nov 8,10,194,Oakland,"W, 84-61",72,Home,1-0,,
2014,North Carolina,North Carolina,Fri Nov 15,10,158,Holy Cross,"W, 62-54",70,Home,2-0,,
2014,North Carolina,North Carolina,Sun Nov 17,15,97,Belmont,"L, 83-80",73,Home,2-1,,
2014,North Carolina,North Carolina,Sat Nov 23,26,91,Richmond,"W, 82-72",72,Neutral,3-1,,
2014,North Carolina,North Carolina,Sun Nov 24,26,1,Louisville,"W, 93-84",78,Neutral,4-1,,
2014,North Carolina,North Carolina,Sun Dec 1,11,156,UAB,"L, 63-59",66,Away,4-2,,
2014,North Carolina,North Carolina,Wed Dec 4,18,9,Michigan St.,"W, 79-65",74,Away,5-2,,
2014,North Carolina,North Carolina,Sat Dec 7,7,315,UNC Greensboro,"W, 81-50",68,Home,6-2,,
2014,North Carolina,North Carolina,Sat Dec 14,7,13,Kentucky,"W, 82-77",74,Home,7-2,,
2014,North Carolina,North Carolina,Wed Dec 18,10,41,Texas,"L, 86-83",80,Home,7-3,,
2014,North Carolina,North Carolina,Sat Dec 21,16,123,Davidson,"W, 97-85",88,Home,8-3,,
2014,North Carolina,North Carolina,Fri Dec 27,19,311,Northern Kentucky,"W, 75-60",72,Home,9-3,,
2014,North Carolina,North Carolina,Tue Dec 31,19,280,UNC Wilmington,"W, 84-51",69,Home,10-3,,
2014,North Carolina,North Carolina,Sun Jan 5,21,117,Wake Forest,"L, 73-67",74,Away,10-4,0-1,
2014,North Carolina,North Carolina,Wed Jan 8,25,77,Miami FL,"L, 63-57",66,Home,10-5,0-2,
2014,North Carolina,North Carolina,Sat Jan 11,37,18,Syracuse,"L, 57-45",60,Away,10-6,0-3,
2014,North Carolina,North Carolina,Sat Jan 18,42,142,Boston College,"W, 82-71",70,Home,11-6,1-3,
2014,North Carolina,North Carolina,Mon Jan 20,40,4,Virginia,"L, 76-61",62,Away,11-7,1-4,
2014,North Carolina,North Carolina,Sun Jan 26,45,51,Clemson,"W, 80-61",61,Home,12-7,2-4,
2014,North Carolina,North Carolina,Wed Jan 29,37,114,Georgia Tech,"W, 78-65",69,Away,13-7,3-4,
2014,North Carolina,North Carolina,Sat Feb 1,33,62,N.C. State,"W, 84-70",77,Home,14-7,4-4,
2014,North Carolina,North Carolina,Tue Feb 4,32,43,Maryland,"W, 75-63",73,Home,15-7,5-4,
2014,North Carolina,North Carolina,Sat Feb 8,30,96,Notre Dame,"W, 73-62",67,Away,16-7,6-4,
2014,North Carolina,North Carolina,Sat Feb 15,26,16,Pittsburgh,"W, 75-71",71,Home,17-7,7-4,
2014,North Carolina,North Carolina,Mon Feb 17,24,38,Florida St.,"W, 81-75",69,Away,18-7,8-4,
2014,North Carolina,North Carolina,Thu Feb 20,26,8,Duke,"W, 74-66",69,Home,19-7,9-4,
2014,North Carolina,North Carolina,Sat Feb 22,22,117,Wake Forest,"W, 105-72",73,Home,20-7,10-4,
2014,North Carolina,North Carolina,Wed Feb 26,20,62,N.C. State,"W, 85-84",73,Away,21-7,11-4,
2014,North Carolina,North Carolina,Sat Mar 1,19,174,Virginia Tech,"W, 60-56",60,Away,22-7,12-4,
2014,North Carolina,North Carolina,Mon Mar 3,22,96,Notre Dame,"W, 63-61",64,Home,23-7,13-4,
2014,North Carolina,North Carolina,Sat Mar 8,23,8,Duke,"L, 93-81",68,Away,23-8,13-5,
2014,North Carolina,North Carolina,Fri Mar 14,23,16,Pittsburgh,"L, 80-75",76,Neutral,23-9,,Atlantic Coast
2014,North Carolina,North Carolina,Fri Mar 21,22,48,Providence,"W, 79-77",65,Neutral,24-9,,NCAA
2014,North Carolina,North Carolina,Sun Mar 23,26,20,Iowa St.,"L, 85-83",78,Neutral,24-10,,NCAA
