Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,North Carolina Central,North Carolina Central,Fri Nov 8,242,27,Cincinnati,"L, 74-61",66,Away,0-1,,
2014,North Carolina Central,North Carolina Central,Mon Nov 11,235,NR,Johnson & Wales NC,"W, 98-47",76,Home,1-1,,
2014,North Carolina Central,North Carolina Central,Mon Nov 18,235,327,Campbell,"W, 62-43",56,Away,2-1,,
2014,North Carolina Central,North Carolina Central,Wed Nov 20,175,62,N.C. State,"W, 82-72",71,Away,3-1,,
2014,North Carolina Central,North Carolina Central,Fri Nov 22,124,331,Appalachian St.,"W, 76-70",70,Home,4-1,,
2014,North Carolina Central,North Carolina Central,Tue Nov 26,136,NR,Barber Scotia,"W, 101-46",71,Home,5-1,,
2014,North Carolina Central,North Carolina Central,Tue Dec 3,124,175,Old Dominion,"W, 76-69",74,Away,6-1,,
2014,North Carolina Central,North Carolina Central,Sat Dec 7,105,330,IUPUI,"L, 71-65",68,Away,6-2,,
2014,North Carolina Central,North Carolina Central,Wed Dec 18,140,229,Winthrop,"W, 72-66",64,Home,7-2,,
2014,North Carolina Central,North Carolina Central,Sun Dec 22,141,6,Wichita St.,"L, 77-66",61,Away,7-3,,
2014,North Carolina Central,North Carolina Central,Tue Dec 31,126,43,Maryland,"L, 70-56",64,Away,7-4,,
2014,North Carolina Central,North Carolina Central,Tue Jan 7,125,213,Hampton,"W, 74-61",75,Home,8-4,,
2014,North Carolina Central,North Carolina Central,Sat Jan 11,122,297,Florida A&M,"L, 63-60",59,Away,8-5,0-1,
2014,North Carolina Central,North Carolina Central,Mon Jan 13,137,337,Bethune Cookman,"W, 64-49",62,Away,9-5,1-1,
2014,North Carolina Central,North Carolina Central,Thu Jan 16,126,307,NJIT,"W, 71-55",69,Home,10-5,,
2014,North Carolina Central,North Carolina Central,Sat Jan 18,122,320,Delaware St.,"W, 62-52",54,Home,11-5,2-1,
2014,North Carolina Central,North Carolina Central,Wed Jan 22,126,334,North Carolina A&T,"W, 84-44",73,Home,12-5,3-1,
2014,North Carolina Central,North Carolina Central,Sat Jan 25,116,293,Coppin St.,"W, 87-63",69,Home,13-5,4-1,
2014,North Carolina Central,North Carolina Central,Mon Jan 27,113,224,Morgan St.,"W, 53-52",64,Home,14-5,5-1,
2014,North Carolina Central,North Carolina Central,Sat Feb 1,123,332,Howard,"W, 79-65",71,Away,15-5,6-1,
2014,North Carolina Central,North Carolina Central,Mon Feb 3,118,336,Maryland Eastern Shore,"W, 66-62",57,Away,16-5,7-1,
2014,North Carolina Central,North Carolina Central,Sat Feb 8,132,337,Bethune Cookman,"W, 77-54",59,Home,17-5,8-1,
2014,North Carolina Central,North Carolina Central,Mon Feb 10,130,297,Florida A&M,"W, 92-49",68,Home,18-5,9-1,
2014,North Carolina Central,North Carolina Central,Sat Feb 15,117,344,South Carolina St.,"W, 67-53",64,Away,19-5,10-1,
2014,North Carolina Central,North Carolina Central,Mon Feb 17,113,281,Savannah St.,"W, 76-62",60,Away,20-5,11-1,
2014,North Carolina Central,North Carolina Central,Sat Feb 22,104,334,North Carolina A&T,"W, 73-55",66,Away,21-5,12-1,
2014,North Carolina Central,North Carolina Central,Tue Feb 25,102,307,NJIT,"W, 81-62",77,Away,22-5,,
2014,North Carolina Central,North Carolina Central,Sat Mar 1,96,344,South Carolina St.,"W, 86-44",65,Home,23-5,13-1,
2014,North Carolina Central,North Carolina Central,Mon Mar 3,94,281,Savannah St.,"W, 64-57",66,Home,24-5,14-1,
2014,North Carolina Central,North Carolina Central,Thu Mar 6,97,258,Norfolk St.,"W, 76-70",63,Away,25-5,15-1,
2014,North Carolina Central,North Carolina Central,Wed Mar 12,94,332,Howard,"W, 92-46",68,Neutral,26-5,,Mid-Eastern Athletic
2014,North Carolina Central,North Carolina Central,Fri Mar 14,88,258,Norfolk St.,"W, 68-45",56,Neutral,27-5,,Mid-Eastern Athletic
2014,North Carolina Central,North Carolina Central,Sat Mar 15,78,224,Morgan St.,"W, 71-62",64,Neutral,28-5,,Mid-Eastern Athletic
2014,North Carolina Central,North Carolina Central,Fri Mar 21,75,20,Iowa St.,"L, 93-75",63,Neutral,28-6,,NCAA
