Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,North Dakota St.,North Dakota St.,Fri Nov 8,71,NR,Viterbo,"W, 93-49",67,Home,1-0,,
2014,North Dakota St.,North Dakota St.,Thu Nov 14,71,65,Saint Mary's,"L, 78-65",58,Away,1-1,,
2014,North Dakota St.,North Dakota St.,Mon Nov 18,77,64,Southern Miss,"L, 70-69",65,Home,1-2,,
2014,North Dakota St.,North Dakota St.,Wed Nov 20,85,131,Western Michigan,"W, 83-74",70,Away,2-2,,
2014,North Dakota St.,North Dakota St.,Sun Nov 24,74,264,North Dakota,"L, 95-77",76,Away,2-3,,
2014,North Dakota St.,North Dakota St.,Fri Nov 29,104,154,Santa Clara,"W, 91-85",69,Away,3-3,,
2014,North Dakota St.,North Dakota St.,Sat Nov 30,112,217,Rider,"W, 87-70",65,Neutral,4-3,,
2014,North Dakota St.,North Dakota St.,Mon Dec 2,100,NR,Valley City St.,"W, 86-43",59,Home,5-3,,
2014,North Dakota St.,North Dakota St.,Sat Dec 7,94,196,Bryant,"W, 66-62",66,Away,6-3,,
2014,North Dakota St.,North Dakota St.,Wed Dec 11,81,96,Notre Dame,"W, 73-69",66,Away,7-3,,
2014,North Dakota St.,North Dakota St.,Sat Dec 14,76,19,Ohio St.,"L, 79-62",63,Away,7-4,,
2014,North Dakota St.,North Dakota St.,Mon Dec 16,73,106,Delaware,"W, 85-66",69,Home,8-4,,
2014,North Dakota St.,North Dakota St.,Sat Dec 21,66,130,Towson,"W, 90-82",69,Home,9-4,,
2014,North Dakota St.,North Dakota St.,Mon Dec 23,73,204,Utah Valley,"W, 74-70",58,Away,10-4,,
2014,North Dakota St.,North Dakota St.,Sat Jan 4,79,NR,Mayville St.,"W, 96-45",72,Home,11-4,,
2014,North Dakota St.,North Dakota St.,Thu Jan 9,82,146,IPFW,"L, 82-71",66,Away,11-5,0-1,
2014,North Dakota St.,North Dakota St.,Sat Jan 11,91,330,IUPUI,"W, 87-64",64,Away,12-5,1-1,
2014,North Dakota St.,North Dakota St.,Thu Jan 16,93,177,Nebraska Omaha,"W, 91-69",72,Home,13-5,2-1,
2014,North Dakota St.,North Dakota St.,Sat Jan 18,85,274,Western Illinois,"W, 65-52",55,Home,14-5,3-1,
2014,North Dakota St.,North Dakota St.,Sat Jan 25,77,140,South Dakota St.,"W, 85-77",69,Away,15-5,4-1,
2014,North Dakota St.,North Dakota St.,Thu Jan 30,72,255,South Dakota,"W, 66-63",62,Away,16-5,5-1,
2014,North Dakota St.,North Dakota St.,Sat Feb 1,72,139,Denver,"L, 67-63",58,Away,16-6,5-2,
2014,North Dakota St.,North Dakota St.,Thu Feb 6,73,330,IUPUI,"W, 66-60",60,Home,17-6,6-2,
2014,North Dakota St.,North Dakota St.,Sat Feb 8,81,146,IPFW,"W, 69-58",63,Home,18-6,7-2,
2014,North Dakota St.,North Dakota St.,Thu Feb 13,83,274,Western Illinois,"W, 56-52",61,Away,19-6,8-2,
2014,North Dakota St.,North Dakota St.,Sat Feb 15,85,177,Nebraska Omaha,"W, 75-59",72,Away,20-6,9-2,
2014,North Dakota St.,North Dakota St.,Sat Feb 22,77,140,South Dakota St.,"W, 74-59",64,Home,21-6,10-2,
2014,North Dakota St.,North Dakota St.,Thu Feb 27,71,255,South Dakota,"W, 82-54",64,Home,22-6,11-2,
2014,North Dakota St.,North Dakota St.,Sat Mar 1,69,139,Denver,"W, 78-68",57,Home,23-6,12-2,
2014,North Dakota St.,North Dakota St.,Mon Mar 10,70,139,Denver,"W, 83-48",53,Neutral,24-6,,Summit League
2014,North Dakota St.,North Dakota St.,Tue Mar 11,56,146,IPFW,"W, 60-57",59,Neutral,25-6,,Summit League
2014,North Dakota St.,North Dakota St.,Thu Mar 20,55,30,Oklahoma,"W, 80-75",72,Neutral,26-6,,NCAA
2014,North Dakota St.,North Dakota St.,Sat Mar 22,51,23,San Diego St.,"L, 63-44",54,Neutral,26-7,,NCAA
