Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Ohio St.,Ohio St.,Sat Nov 9,6,224,Morgan St.,"W, 89-50",73,Home,1-0,,
2014,Ohio St.,Ohio St.,Tue Nov 12,5,127,Ohio,"W, 79-69",66,Home,2-0,,
2014,Ohio St.,Ohio St.,Sat Nov 16,6,68,Marquette,"W, 52-35",65,Away,3-0,,
2014,Ohio St.,Ohio St.,Wed Nov 20,2,120,American,"W, 63-52",68,Home,4-0,,
2014,Ohio St.,Ohio St.,Mon Nov 25,5,118,Wyoming,"W, 65-50",57,Home,5-0,,
2014,Ohio St.,Ohio St.,Fri Nov 29,4,263,North Florida,"W, 99-64",68,Home,6-0,,
2014,Ohio St.,Ohio St.,Wed Dec 4,2,43,Maryland,"W, 76-60",66,Home,7-0,,
2014,Ohio St.,Ohio St.,Sat Dec 7,2,305,Central Connecticut,"W, 74-56",64,Home,8-0,,
2014,Ohio St.,Ohio St.,Wed Dec 11,2,196,Bryant,"W, 86-48",68,Home,9-0,,
2014,Ohio St.,Ohio St.,Sat Dec 14,2,61,North Dakota St.,"W, 79-62",63,Home,10-0,,
2014,Ohio St.,Ohio St.,Wed Dec 18,2,106,Delaware,"W, 76-64",70,Home,11-0,,
2014,Ohio St.,Ohio St.,Sat Dec 21,2,96,Notre Dame,"W, 64-61",68,Neutral,12-0,,
2014,Ohio St.,Ohio St.,Fri Dec 27,2,251,Louisiana Monroe,"W, 71-31",60,Home,13-0,,
2014,Ohio St.,Ohio St.,Tue Dec 31,2,93,Purdue,"W, 78-69",72,Away,14-0,1-0,
2014,Ohio St.,Ohio St.,Sat Jan 4,3,56,Nebraska,"W, 84-53",65,Home,15-0,2-0,
2014,Ohio St.,Ohio St.,Tue Jan 7,1,9,Michigan St.,"L, 72-68",75,Away,15-1,2-1,
2014,Ohio St.,Ohio St.,Sun Jan 12,2,22,Iowa,"L, 84-74",74,Home,15-2,2-2,
2014,Ohio St.,Ohio St.,Thu Jan 16,7,46,Minnesota,"L, 63-53",63,Away,15-3,2-3,
2014,Ohio St.,Ohio St.,Mon Jan 20,11,56,Nebraska,"L, 68-62",69,Away,15-4,2-4,
2014,Ohio St.,Ohio St.,Thu Jan 23,17,53,Illinois,"W, 62-55",60,Home,16-4,3-4,
2014,Ohio St.,Ohio St.,Wed Jan 29,17,81,Penn St.,"L, 71-70",66,Home,16-5,3-5,
2014,Ohio St.,Ohio St.,Sat Feb 1,22,5,Wisconsin,"W, 59-58",56,Away,17-5,4-5,
2014,Ohio St.,Ohio St.,Tue Feb 4,17,22,Iowa,"W, 76-69",68,Away,18-5,5-5,
2014,Ohio St.,Ohio St.,Sat Feb 8,16,93,Purdue,"W, 67-49",58,Home,19-5,6-5,
2014,Ohio St.,Ohio St.,Tue Feb 11,14,12,Michigan,"L, 70-60",59,Home,19-6,6-6,
2014,Ohio St.,Ohio St.,Sat Feb 15,17,53,Illinois,"W, 48-39",59,Away,20-6,7-6,
2014,Ohio St.,Ohio St.,Wed Feb 19,13,134,Northwestern,"W, 76-60",64,Home,21-6,8-6,
2014,Ohio St.,Ohio St.,Sat Feb 22,14,46,Minnesota,"W, 64-46",58,Home,22-6,9-6,
2014,Ohio St.,Ohio St.,Thu Feb 27,13,81,Penn St.,"L, 65-63",65,Away,22-7,9-7,
2014,Ohio St.,Ohio St.,Sun Mar 2,13,63,Indiana,"L, 72-64",74,Away,22-8,9-8,
2014,Ohio St.,Ohio St.,Sun Mar 9,13,9,Michigan St.,"W, 69-67",65,Home,23-8,10-8,
2014,Ohio St.,Ohio St.,Thu Mar 13,14,93,Purdue,"W, 63-61",68,Neutral,24-8,,Big Ten
2014,Ohio St.,Ohio St.,Fri Mar 14,15,56,Nebraska,"W, 71-67",69,Neutral,25-8,,Big Ten
2014,Ohio St.,Ohio St.,Sat Mar 15,17,12,Michigan,"L, 72-69",63,Neutral,25-9,,Big Ten
2014,Ohio St.,Ohio St.,Thu Mar 20,20,42,Dayton,"L, 60-59",66,Neutral,25-10,,NCAA
