Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Saint Joseph's,Saint Joseph's,Sat Nov 9,76,75,Vermont,"W, 74-64",69,Away,1-0,,
2014,Saint Joseph's,Saint Joseph's,Wed Nov 13,54,206,Marist,"W, 81-62",69,Home,2-0,,
2014,Saint Joseph's,Saint Joseph's,Sat Nov 16,54,17,Creighton,"L, 83-79",62,Home,2-1,,
2014,Saint Joseph's,Saint Joseph's,Thu Nov 28,64,59,LSU,"L, 82-65",70,Neutral,2-2,,
2014,Saint Joseph's,Saint Joseph's,Fri Nov 29,75,164,Siena,"W, 78-66",67,Neutral,3-2,,
2014,Saint Joseph's,Saint Joseph's,Sun Dec 1,77,190,Washington St.,"W, 72-67",63,Neutral,4-2,,
2014,Saint Joseph's,Saint Joseph's,Wed Dec 4,76,150,Temple,"L, 77-69",71,Away,4-3,,
2014,Saint Joseph's,Saint Joseph's,Sat Dec 7,78,11,Villanova,"L, 98-68",72,Home,4-4,,
2014,Saint Joseph's,Saint Joseph's,Wed Dec 18,95,129,Drexel,"W, 75-55",65,Home,5-4,,
2014,Saint Joseph's,Saint Joseph's,Sat Dec 21,82,292,Loyola MD,"W, 88-77",74,Away,6-4,,
2014,Saint Joseph's,Saint Joseph's,Sun Dec 29,80,126,Boston University,"W, 73-67",65,Home,7-4,,
2014,Saint Joseph's,Saint Joseph's,Tue Dec 31,81,333,Binghamton,"W, 71-44",61,Home,8-4,,
2014,Saint Joseph's,Saint Joseph's,Sat Jan 4,76,139,Denver,"W, 53-52",57,Home,9-4,,
2014,Saint Joseph's,Saint Joseph's,Wed Jan 8,82,50,Massachusetts,"L, 66-62",65,Away,9-5,0-1,
2014,Saint Joseph's,Saint Joseph's,Sat Jan 11,80,141,George Mason,"W, 84-80",73,Away,10-5,1-1,
2014,Saint Joseph's,Saint Joseph's,Wed Jan 15,76,152,Duquesne,"W, 84-75",71,Home,11-5,2-1,
2014,Saint Joseph's,Saint Joseph's,Sat Jan 18,82,257,Penn,"W, 85-68",70,Neutral,12-5,,
2014,Saint Joseph's,Saint Joseph's,Wed Jan 22,80,115,Rhode Island,"W, 61-57",65,Home,13-5,3-1,
2014,Saint Joseph's,Saint Joseph's,Sat Jan 25,81,91,Richmond,"L, 77-62",61,Away,13-6,3-2,
2014,Saint Joseph's,Saint Joseph's,Wed Jan 29,85,42,Dayton,"W, 60-57",64,Away,14-6,4-2,
2014,Saint Joseph's,Saint Joseph's,Sat Feb 1,78,50,Massachusetts,"W, 73-68",69,Home,15-6,5-2,
2014,Saint Joseph's,Saint Joseph's,Wed Feb 5,73,35,Saint Louis,"L, 65-49",66,Home,15-7,5-3,
2014,Saint Joseph's,Saint Joseph's,Sat Feb 8,86,25,VCU,"W, 69-62",65,Home,16-7,6-3,
2014,Saint Joseph's,Saint Joseph's,Sat Feb 15,81,105,La Salle,"W, 75-64",64,Away,17-7,7-3,
2014,Saint Joseph's,Saint Joseph's,Wed Feb 19,68,115,Rhode Island,"W, 57-54",59,Away,18-7,8-3,
2014,Saint Joseph's,Saint Joseph's,Sat Feb 22,67,201,Fordham,"W, 87-72",68,Home,19-7,9-3,
2014,Saint Joseph's,Saint Joseph's,Tue Feb 25,66,42,Dayton,"W, 79-53",60,Home,20-7,10-3,
2014,Saint Joseph's,Saint Joseph's,Sat Mar 1,56,84,St. Bonaventure,"W, 83-74",72,Away,21-7,11-3,
2014,Saint Joseph's,Saint Joseph's,Wed Mar 5,54,47,George Washington,"L, 76-71",65,Away,21-8,11-4,
2014,Saint Joseph's,Saint Joseph's,Sun Mar 9,52,105,La Salle,"L, 71-63",66,Home,21-9,11-5,
2014,Saint Joseph's,Saint Joseph's,Fri Mar 14,61,42,Dayton,"W, 70-67",65,Neutral,22-9,,Atlantic 10
2014,Saint Joseph's,Saint Joseph's,Sat Mar 15,58,84,St. Bonaventure,"W, 67-48",67,Neutral,23-9,,Atlantic 10
2014,Saint Joseph's,Saint Joseph's,Sun Mar 16,53,25,VCU,"W, 65-61",64,Neutral,24-9,,Atlantic 10
2014,Saint Joseph's,Saint Joseph's,Thu Mar 20,46,15,Connecticut,"L, 89-81",72,Neutral,24-10,,NCAA
