Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Stanford,Stanford,Fri Nov 8,29,160,Bucknell,"W, 72-68",66,Home,1-0,,
2014,Stanford,Stanford,Mon Nov 11,39,49,BYU,"L, 112-103",89,Home,1-1,,
2014,Stanford,Stanford,Thu Nov 14,49,134,Northwestern,"W, 71-58",65,Home,2-1,,
2014,Stanford,Stanford,Sun Nov 17,42,139,Denver,"W, 66-57",67,Away,3-1,,
2014,Stanford,Stanford,Thu Nov 21,38,259,Texas Southern,"W, 97-71",73,Home,4-1,,
2014,Stanford,Stanford,Mon Nov 25,39,132,Houston,"W, 86-76",73,Neutral,5-1,,
2014,Stanford,Stanford,Tue Nov 26,38,16,Pittsburgh,"L, 88-67",66,Neutral,5-2,,
2014,Stanford,Stanford,Sun Dec 1,55,140,South Dakota St.,"W, 92-60",74,Home,6-2,,
2014,Stanford,Stanford,Sat Dec 14,48,316,UC Davis,"W, 83-56",68,Home,7-2,,
2014,Stanford,Stanford,Wed Dec 18,45,15,Connecticut,"W, 53-51",63,Away,8-2,,
2014,Stanford,Stanford,Sat Dec 21,37,12,Michigan,"L, 68-65",64,Neutral,8-3,,
2014,Stanford,Stanford,Sun Dec 29,47,176,Cal Poly,"W, 79-62",66,Home,9-3,,
2014,Stanford,Stanford,Thu Jan 2,45,60,California,"L, 69-62",67,Home,9-4,0-1,
2014,Stanford,Stanford,Thu Jan 9,54,107,Oregon St.,"L, 81-72",72,Away,9-5,0-2,
2014,Stanford,Stanford,Sun Jan 12,59,28,Oregon,"W, 82-80",68,Away,10-5,1-2,
2014,Stanford,Stanford,Wed Jan 15,52,190,Washington St.,"W, 80-48",62,Home,11-5,2-2,
2014,Stanford,Stanford,Sat Jan 18,44,98,Washington,"W, 79-67",64,Home,12-5,3-2,
2014,Stanford,Stanford,Thu Jan 23,39,14,UCLA,"L, 91-74",72,Away,12-6,3-3,
2014,Stanford,Stanford,Sun Jan 26,46,151,USC,"W, 79-71",76,Away,13-6,4-3,
2014,Stanford,Stanford,Wed Jan 29,46,2,Arizona,"L, 60-57",65,Home,13-7,4-4,
2014,Stanford,Stanford,Sat Feb 1,43,39,Arizona St.,"W, 76-70",69,Home,14-7,5-4,
2014,Stanford,Stanford,Wed Feb 5,43,60,California,"W, 80-69",71,Away,15-7,6-4,
2014,Stanford,Stanford,Wed Feb 12,35,98,Washington,"L, 64-60",64,Away,15-8,6-5,
2014,Stanford,Stanford,Sat Feb 15,37,190,Washington St.,"W, 69-56",60,Away,16-8,7-5,
2014,Stanford,Stanford,Thu Feb 20,34,151,USC,"W, 80-59",75,Home,17-8,8-5,
2014,Stanford,Stanford,Sat Feb 22,31,14,UCLA,"W, 83-74",67,Home,18-8,9-5,
2014,Stanford,Stanford,Wed Feb 26,29,39,Arizona St.,"L, 76-64",65,Away,18-9,9-6,
2014,Stanford,Stanford,Sun Mar 2,37,2,Arizona,"L, 79-66",68,Away,18-10,9-7,
2014,Stanford,Stanford,Wed Mar 5,38,67,Colorado,"L, 59-56",63,Home,18-11,9-8,
2014,Stanford,Stanford,Sat Mar 8,42,40,Utah,"W, 61-60",57,Home,19-11,10-8,
2014,Stanford,Stanford,Wed Mar 12,42,190,Washington St.,"W, 74-63",59,Neutral,20-11,,Pac 12
2014,Stanford,Stanford,Thu Mar 13,42,39,Arizona St.,"W, 79-58",65,Neutral,21-11,,Pac 12
2014,Stanford,Stanford,Fri Mar 14,34,14,UCLA,"L, 84-59",64,Neutral,21-12,,Pac 12
2014,Stanford,Stanford,Fri Mar 21,39,33,New Mexico,"W, 58-53",62,Neutral,22-12,,NCAA
2014,Stanford,Stanford,Sun Mar 23,37,7,Kansas,"W, 60-57",67,Neutral,23-12,,NCAA
2014,Stanford,Stanford,Thu Mar 27,34,42,Dayton,"L, 82-72",71,Neutral,23-13,,NCAA
