Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Stephen F. Austin,Stephen F. Austin,Fri Nov 8,157,NR,Texas Tyler,"W, 90-64",78,Home,1-0,,
2014,Stephen F. Austin,Stephen F. Austin,Tue Nov 12,165,277,Texas St.,"W, 64-57",63,Away,2-0,,
2014,Stephen F. Austin,Stephen F. Austin,Fri Nov 15,141,41,Texas,"L, 72-62",67,Away,2-1,,
2014,Stephen F. Austin,Stephen F. Austin,Thu Nov 21,156,236,Marshall,"W, 80-73",72,Away,3-1,,
2014,Stephen F. Austin,Stephen F. Austin,Sat Nov 23,134,243,East Tennessee St.,"L, 66-58",64,Away,3-2,,
2014,Stephen F. Austin,Stephen F. Austin,Tue Nov 26,166,321,Samford,"W, 98-78",70,Home,4-2,,
2014,Stephen F. Austin,Stephen F. Austin,Fri Nov 29,156,280,UNC Wilmington,"W, 60-55",65,Away,5-2,,
2014,Stephen F. Austin,Stephen F. Austin,Sun Dec 1,145,248,High Point,"W, 71-68",60,Away,6-2,,
2014,Stephen F. Austin,Stephen F. Austin,Fri Dec 6,132,130,Towson,"W, 79-69",67,Home,7-2,,
2014,Stephen F. Austin,Stephen F. Austin,Sat Dec 7,121,267,James Madison,"W, 70-57",61,Home,8-2,,
2014,Stephen F. Austin,Stephen F. Austin,Sun Dec 15,120,232,North Texas,"W, 87-53",67,Away,9-2,,
2014,Stephen F. Austin,Stephen F. Austin,Sat Dec 21,90,NR,Elmhurst,"W, 83-49",73,Home,10-2,,
2014,Stephen F. Austin,Stephen F. Austin,Mon Dec 30,87,223,Cal St. Northridge,"W, 74-67",68,Home,11-2,,
2014,Stephen F. Austin,Stephen F. Austin,Thu Jan 2,88,343,Lamar,"W, 85-65",73,Home,12-2,1-0,
2014,Stephen F. Austin,Stephen F. Austin,Sat Jan 4,86,197,Sam Houston St.,"W, 73-56",60,Home,13-2,2-0,
2014,Stephen F. Austin,Stephen F. Austin,Thu Jan 9,84,341,Houston Baptist,"W, 77-50",76,Away,14-2,3-0,
2014,Stephen F. Austin,Stephen F. Austin,Sat Jan 11,79,230,Texas A&M Corpus Chris,"W, 80-70",61,Away,15-2,4-0,
2014,Stephen F. Austin,Stephen F. Austin,Thu Jan 16,69,185,Northwestern St.,"W, 74-58",67,Away,16-2,5-0,
2014,Stephen F. Austin,Stephen F. Austin,Thu Jan 23,57,188,Oral Roberts,"W, 72-69",62,Away,17-2,6-0,
2014,Stephen F. Austin,Stephen F. Austin,Sat Jan 25,56,329,Central Arkansas,"W, 66-49",65,Away,18-2,7-0,
2014,Stephen F. Austin,Stephen F. Austin,Thu Jan 30,55,348,Abilene Christian,"W, 64-48",65,Home,19-2,8-0,
2014,Stephen F. Austin,Stephen F. Austin,Sat Feb 1,56,261,Incarnate Word,"W, 76-74",66,Home,20-2,9-0,
2014,Stephen F. Austin,Stephen F. Austin,Thu Feb 6,66,304,Nicholls St.,"W, 93-64",70,Home,21-2,10-0,
2014,Stephen F. Austin,Stephen F. Austin,Sat Feb 8,63,310,McNeese St.,"W, 74-54",65,Home,22-2,11-0,
2014,Stephen F. Austin,Stephen F. Austin,Thu Feb 13,64,343,Lamar,"W, 78-69",59,Away,23-2,12-0,
2014,Stephen F. Austin,Stephen F. Austin,Sat Feb 15,70,197,Sam Houston St.,"W, 67-60",59,Away,24-2,13-0,
2014,Stephen F. Austin,Stephen F. Austin,Sat Feb 22,64,185,Northwestern St.,"W, 70-68",68,Home,25-2,14-0,
2014,Stephen F. Austin,Stephen F. Austin,Thu Feb 27,68,317,New Orleans,"W, 103-63",69,Away,26-2,15-0,
2014,Stephen F. Austin,Stephen F. Austin,Sat Mar 1,63,312,Southeastern Louisiana,"W, 75-62",63,Away,27-2,16-0,
2014,Stephen F. Austin,Stephen F. Austin,Thu Mar 6,61,188,Oral Roberts,"W, 83-72",59,Home,28-2,17-0,
2014,Stephen F. Austin,Stephen F. Austin,Sat Mar 8,63,329,Central Arkansas,"W, 85-61",68,Home,29-2,18-0,
2014,Stephen F. Austin,Stephen F. Austin,Fri Mar 14,65,185,Northwestern St.,"W, 85-78",69,Neutral,30-2,,Southland
2014,Stephen F. Austin,Stephen F. Austin,Sat Mar 15,65,197,Sam Houston St.,"W, 68-49",58,Neutral,31-2,,Southland
2014,Stephen F. Austin,Stephen F. Austin,Fri Mar 21,54,25,VCU,"W, 77-75",70,Neutral,32-2,,NCAA
2014,Stephen F. Austin,Stephen F. Austin,Sun Mar 23,51,14,UCLA,"L, 77-60",62,Neutral,32-3,,NCAA
