Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Tennessee,Tennessee,Tue Nov 12,33,52,Xavier,"L, 67-63",65,Away,0-1,,
2014,Tennessee,Tennessee,Sat Nov 16,40,167,USC Upstate,"W, 74-65",64,Home,1-1,,
2014,Tennessee,Tennessee,Mon Nov 18,41,345,The Citadel,"W, 86-60",67,Home,2-1,,
2014,Tennessee,Tennessee,Fri Nov 22,40,288,Tennessee St.,"W, 88-67",60,Home,3-1,,
2014,Tennessee,Tennessee,Thu Nov 28,40,103,UTEP,"L, 78-70",70,Neutral,3-2,,
2014,Tennessee,Tennessee,Fri Nov 29,57,52,Xavier,"W, 64-49",58,Neutral,4-2,,
2014,Tennessee,Tennessee,Sat Nov 30,41,117,Wake Forest,"W, 82-63",62,Neutral,5-2,,
2014,Tennessee,Tennessee,Sat Dec 7,35,268,Tennessee Tech,"W, 84-63",65,Home,6-2,,
2014,Tennessee,Tennessee,Sat Dec 14,36,6,Wichita St.,"L, 70-61",62,Away,6-3,,
2014,Tennessee,Tennessee,Wed Dec 18,33,62,N.C. State,"L, 65-58",67,Home,6-4,,
2014,Tennessee,Tennessee,Mon Dec 23,43,180,Morehead St.,"W, 82-67",71,Home,7-4,,
2014,Tennessee,Tennessee,Mon Dec 30,46,4,Virginia,"W, 87-52",62,Home,8-4,,
2014,Tennessee,Tennessee,Sat Jan 4,26,NR,Tusculum,"W, 98-51",64,Home,9-4,,
2014,Tennessee,Tennessee,Tue Jan 7,23,59,LSU,"W, 68-50",62,Away,10-4,1-0,
2014,Tennessee,Tennessee,Sat Jan 11,18,110,Texas A&M,"L, 57-56",59,Home,10-5,1-1,
2014,Tennessee,Tennessee,Wed Jan 15,23,122,Auburn,"W, 78-67",73,Home,11-5,2-1,
2014,Tennessee,Tennessee,Sat Jan 18,23,13,Kentucky,"L, 74-66",62,Away,11-6,2-2,
2014,Tennessee,Tennessee,Wed Jan 22,23,44,Arkansas,"W, 81-74",71,Home,12-6,3-2,
2014,Tennessee,Tennessee,Sat Jan 25,24,3,Florida,"L, 67-41",59,Away,12-7,3-3,
2014,Tennessee,Tennessee,Wed Jan 29,27,83,Mississippi,"W, 86-70",68,Home,13-7,4-3,
2014,Tennessee,Tennessee,Sat Feb 1,25,86,Alabama,"W, 76-59",57,Away,14-7,5-3,
2014,Tennessee,Tennessee,Wed Feb 5,22,109,Vanderbilt,"L, 64-60",54,Away,14-8,5-4,
2014,Tennessee,Tennessee,Sat Feb 8,25,112,South Carolina,"W, 72-53",62,Home,15-8,6-4,
2014,Tennessee,Tennessee,Tue Feb 11,22,3,Florida,"L, 67-58",62,Home,15-9,6-5,
2014,Tennessee,Tennessee,Sat Feb 15,25,69,Missouri,"L, 75-70",63,Away,15-10,6-6,
2014,Tennessee,Tennessee,Tue Feb 18,26,78,Georgia,"W, 67-48",58,Home,16-10,7-6,
2014,Tennessee,Tennessee,Sat Feb 22,24,110,Texas A&M,"L, 68-65",69,Away,16-11,7-7,
2014,Tennessee,Tennessee,Wed Feb 26,26,205,Mississippi St.,"W, 75-68",69,Away,17-11,8-7,
2014,Tennessee,Tennessee,Sat Mar 1,26,109,Vanderbilt,"W, 76-38",58,Home,18-11,9-7,
2014,Tennessee,Tennessee,Wed Mar 5,21,122,Auburn,"W, 82-54",63,Away,19-11,10-7,
2014,Tennessee,Tennessee,Sat Mar 8,14,69,Missouri,"W, 72-45",60,Home,20-11,11-7,
2014,Tennessee,Tennessee,Fri Mar 14,13,112,South Carolina,"W, 59-44",60,Neutral,21-11,,Southeastern
2014,Tennessee,Tennessee,Sat Mar 15,12,3,Florida,"L, 56-49",60,Neutral,21-12,,Southeastern
2014,Tennessee,Tennessee,Wed Mar 19,11,22,Iowa,"W, 78-65",65,Neutral,22-12,,NCAA
2014,Tennessee,Tennessee,Fri Mar 21,9,50,Massachusetts,"W, 86-67",71,Neutral,23-12,,NCAA
2014,Tennessee,Tennessee,Sun Mar 23,6,87,Mercer,"W, 83-63",56,Neutral,24-12,,NCAA
2014,Tennessee,Tennessee,Fri Mar 28,7,12,Michigan,"L, 73-71",60,Neutral,24-13,,NCAA
