Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Tulsa,Tulsa,Sun Nov 10,108,188,Oral Roberts,"L, 74-68",75,Home,0-1,,
2014,Tulsa,Tulsa,Sat Nov 16,140,157,Missouri St.,"L, 96-93",72,Away,0-2,,
2014,Tulsa,Tulsa,Wed Nov 20,133,6,Wichita St.,"L, 77-54",66,Home,0-3,,
2014,Tulsa,Tulsa,Sat Nov 23,182,17,Creighton,"L, 82-72",74,Away,0-4,,
2014,Tulsa,Tulsa,Wed Nov 27,165,108,Indiana St.,"W, 63-62",66,Neutral,1-4,,
2014,Tulsa,Tulsa,Fri Nov 29,150,212,TCU,"L, 72-65",66,Neutral,1-5,,
2014,Tulsa,Tulsa,Sat Nov 30,164,71,Green Bay,"L, 67-59",73,Neutral,1-6,,
2014,Tulsa,Tulsa,Wed Dec 4,174,259,Texas Southern,"W, 98-71",72,Home,2-6,,
2014,Tulsa,Tulsa,Tue Dec 10,150,219,Arkansas Little Rock,"W, 78-64",73,Home,3-6,,
2014,Tulsa,Tulsa,Sat Dec 14,145,30,Oklahoma,"L, 101-91",75,Away,3-7,,
2014,Tulsa,Tulsa,Wed Dec 18,133,241,Grand Canyon,"W, 66-65",65,Home,4-7,,
2014,Tulsa,Tulsa,Sat Dec 21,148,212,TCU,"L, 70-58",67,Away,4-8,,
2014,Tulsa,Tulsa,Sun Dec 29,167,43,Maryland,"L, 85-74",74,Away,4-9,,
2014,Tulsa,Tulsa,Sat Jan 4,170,249,Cal St. Fullerton,"W, 73-57",64,Home,5-9,,
2014,Tulsa,Tulsa,Thu Jan 9,163,285,Tulane,"W, 97-71",64,Home,6-9,1-0,
2014,Tulsa,Tulsa,Sun Jan 12,153,64,Southern Miss,"W, 75-71",65,Home,7-9,2-0,
2014,Tulsa,Tulsa,Thu Jan 16,149,171,Charlotte,"L, 90-86",84,Away,7-10,2-1,
2014,Tulsa,Tulsa,Sat Jan 18,139,236,Marshall,"W, 69-52",67,Away,8-10,3-1,
2014,Tulsa,Tulsa,Thu Jan 23,122,89,Middle Tennessee,"W, 58-53",64,Home,9-10,4-1,
2014,Tulsa,Tulsa,Sat Jan 25,118,156,UAB,"L, 70-63",69,Home,9-11,4-2,
2014,Tulsa,Tulsa,Sat Feb 1,133,232,North Texas,"W, 94-63",74,Home,10-11,5-2,
2014,Tulsa,Tulsa,Thu Feb 6,121,37,Louisiana Tech,"L, 66-61",72,Away,10-12,5-3,
2014,Tulsa,Tulsa,Sat Feb 8,118,299,Rice,"W, 66-56",64,Away,11-12,6-3,
2014,Tulsa,Tulsa,Thu Feb 13,120,239,East Carolina,"W, 76-58",62,Home,12-12,7-3,
2014,Tulsa,Tulsa,Sat Feb 15,118,175,Old Dominion,"W, 76-37",64,Home,13-12,8-3,
2014,Tulsa,Tulsa,Thu Feb 20,97,244,Florida Atlantic,"W, 71-52",63,Away,14-12,9-3,
2014,Tulsa,Tulsa,Sat Feb 22,88,231,FIU,"W, 77-65",80,Away,15-12,10-3,
2014,Tulsa,Tulsa,Thu Feb 27,85,103,UTEP,"W, 65-60",67,Away,16-12,11-3,
2014,Tulsa,Tulsa,Sun Mar 2,79,313,UTSA,"W, 72-70",74,Home,17-12,12-3,
2014,Tulsa,Tulsa,Thu Mar 6,87,232,North Texas,"W, 79-68",70,Away,18-12,13-3,
2014,Tulsa,Tulsa,Thu Mar 13,81,285,Tulane,"W, 70-49",63,Neutral,19-12,,Conference USA
2014,Tulsa,Tulsa,Fri Mar 14,80,89,Middle Tennessee,"W, 76-69",70,Neutral,20-12,,Conference USA
2014,Tulsa,Tulsa,Sat Mar 15,76,37,Louisiana Tech,"W, 69-60",66,Neutral,21-12,,Conference USA
2014,Tulsa,Tulsa,Fri Mar 21,68,14,UCLA,"L, 76-59",67,Neutral,21-13,,NCAA
