Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Western Michigan,Western Michigan,Fri Nov 8,153,72,New Mexico St.,"W, 70-64",63,Neutral,1-0,,
2014,Western Michigan,Western Michigan,Sat Nov 9,131,137,Hawaii,"L, 78-68",67,Away,1-1,,
2014,Western Michigan,Western Michigan,Mon Nov 11,146,288,Tennessee St.,"W, 63-52",66,Neutral,2-1,,
2014,Western Michigan,Western Michigan,Sun Nov 17,132,306,Alabama A&M,"W, 73-69",69,Home,3-1,,
2014,Western Michigan,Western Michigan,Wed Nov 20,161,61,North Dakota St.,"L, 83-74",70,Home,3-2,,
2014,Western Michigan,Western Michigan,Tue Nov 26,181,194,Oakland,"W, 99-88",74,Home,4-2,,
2014,Western Michigan,Western Michigan,Fri Nov 29,166,340,Cornell,"W, 83-70",69,Home,5-2,,
2014,Western Michigan,Western Michigan,Sat Dec 7,169,134,Northwestern,"L, 51-35",61,Away,5-3,,
2014,Western Michigan,Western Michigan,Sun Dec 15,185,69,Missouri,"L, 66-60",66,Away,5-4,,
2014,Western Michigan,Western Michigan,Wed Dec 18,170,187,Drake,"L, 71-68",65,Away,5-5,,
2014,Western Michigan,Western Michigan,Sat Dec 21,164,325,Prairie View A&M,"W, 92-53",72,Home,6-5,,
2014,Western Michigan,Western Michigan,Thu Jan 2,148,NR,Siena Heights,"W, 83-47",68,Home,7-5,,
2014,Western Michigan,Western Michigan,Wed Jan 8,151,104,Toledo,"W, 87-76",73,Home,8-5,1-0,
2014,Western Michigan,Western Michigan,Sat Jan 11,144,218,Miami OH,"W, 78-77",67,Away,9-5,2-0,
2014,Western Michigan,Western Michigan,Tue Jan 14,144,136,Eastern Michigan,"L, 56-37",62,Away,9-6,2-1,
2014,Western Michigan,Western Michigan,Sun Jan 19,167,207,Bowling Green,"L, 69-64",68,Home,9-7,2-2,
2014,Western Michigan,Western Michigan,Thu Jan 23,180,193,Kent St.,"W, 75-59",70,Away,10-7,3-2,
2014,Western Michigan,Western Michigan,Sun Jan 26,157,296,Ball St.,"W, 62-53",69,Home,11-7,4-2,
2014,Western Michigan,Western Michigan,Wed Jan 29,157,101,Buffalo,"L, 84-63",71,Away,11-8,4-3,
2014,Western Michigan,Western Michigan,Sat Feb 1,169,286,Central Michigan,"W, 75-72",62,Home,12-8,5-3,
2014,Western Michigan,Western Michigan,Wed Feb 5,178,127,Ohio,"W, 90-74",69,Home,13-8,6-3,
2014,Western Michigan,Western Michigan,Sun Feb 9,165,208,Northern Illinois,"W, 74-71",64,Away,14-8,7-3,
2014,Western Michigan,Western Michigan,Wed Feb 12,163,145,Akron,"W, 57-54",64,Home,15-8,8-3,
2014,Western Michigan,Western Michigan,Sat Feb 15,161,218,Miami OH,"W, 68-57",73,Home,16-8,9-3,
2014,Western Michigan,Western Michigan,Wed Feb 19,158,127,Ohio,"W, 73-63",64,Away,17-8,10-3,
2014,Western Michigan,Western Michigan,Sun Feb 23,137,136,Eastern Michigan,"W, 75-67",69,Home,18-8,11-3,
2014,Western Michigan,Western Michigan,Wed Feb 26,132,296,Ball St.,"W, 88-81",77,Away,19-8,12-3,
2014,Western Michigan,Western Michigan,Sat Mar 1,133,104,Toledo,"L, 96-85",75,Away,19-9,12-4,
2014,Western Michigan,Western Michigan,Tue Mar 4,141,208,Northern Illinois,"W, 61-56",63,Home,20-9,13-4,
2014,Western Michigan,Western Michigan,Fri Mar 7,141,286,Central Michigan,"W, 78-64",59,Away,21-9,14-4,
2014,Western Michigan,Western Michigan,Fri Mar 14,130,145,Akron,"W, 64-60",62,Neutral,22-9,,Mid American
2014,Western Michigan,Western Michigan,Sat Mar 15,126,104,Toledo,"W, 98-77",72,Neutral,23-9,,Mid American
2014,Western Michigan,Western Michigan,Thu Mar 20,110,18,Syracuse,"L, 77-53",64,Neutral,23-10,,NCAA
