Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Albany,Albany,Sat Nov 15,152,27,Providence,"L, 64-60",67,Away,0-1,,
2015,Albany,Albany,Wed Nov 19,139,173,NJIT,"W, 65-48",72,Home,1-1,,
2015,Albany,Albany,Sat Nov 22,135,177,Quinnipiac,"L, 76-73",70,Home,1-2,,
2015,Albany,Albany,Wed Nov 26,146,180,Colgate,"W, 75-71",61,Away,2-2,,
2015,Albany,Albany,Sat Nov 29,135,102,UNLV,"L, 75-59",69,Away,2-3,,
2015,Albany,Albany,Wed Dec 3,146,242,Holy Cross,"L, 74-57",61,Home,2-4,,
2015,Albany,Albany,Sat Dec 6,182,221,St. Francis PA,"L, 69-59",60,Away,2-5,,
2015,Albany,Albany,Mon Dec 8,207,200,Bucknell,"L, 61-58",65,Away,2-6,,
2015,Albany,Albany,Sat Dec 13,216,265,Siena,"W, 77-68",61,Away,3-6,,
2015,Albany,Albany,Sat Dec 20,185,77,Yale,"W, 64-60",59,Away,4-6,,
2015,Albany,Albany,Mon Dec 22,163,296,Fairfield,"W, 77-66",56,Home,5-6,,
2015,Albany,Albany,Tue Dec 30,166,299,Niagara,"L, 65-47",57,Away,5-7,,
2015,Albany,Albany,Sat Jan 3,193,345,Maine,"W, 80-56",63,Home,6-7,1-0,
2015,Albany,Albany,Tue Jan 6,195,189,New Hampshire,"W, 64-62",62,Away,7-7,2-0,
2015,Albany,Albany,Sat Jan 10,196,303,UMass Lowell,"W, 64-51",61,Away,8-7,3-0,
2015,Albany,Albany,Wed Jan 14,182,322,Binghamton,"W, 73-58",58,Home,9-7,4-0,
2015,Albany,Albany,Mon Jan 19,192,130,Stony Brook,"W, 64-47",61,Away,10-7,5-0,
2015,Albany,Albany,Thu Jan 22,152,284,Hartford,"W, 62-53",59,Away,11-7,6-0,
2015,Albany,Albany,Sun Jan 25,146,343,UMBC,"W, 69-55",59,Home,12-7,7-0,
2015,Albany,Albany,Wed Jan 28,149,123,Vermont,"W, 47-44",60,Away,13-7,8-0,
2015,Albany,Albany,Sat Jan 31,145,345,Maine,"W, 77-59",58,Away,14-7,9-0,
2015,Albany,Albany,Wed Feb 4,141,189,New Hampshire,"W, 63-62",59,Home,15-7,10-0,
2015,Albany,Albany,Sat Feb 7,143,303,UMass Lowell,"W, 69-59",66,Home,16-7,11-0,
2015,Albany,Albany,Tue Feb 10,143,322,Binghamton,"W, 62-46",56,Away,17-7,12-0,
2015,Albany,Albany,Fri Feb 13,136,173,NJIT,"W, 65-59",61,Away,18-7,,
2015,Albany,Albany,Tue Feb 17,125,130,Stony Brook,"L, 59-56",58,Home,18-8,12-1,
2015,Albany,Albany,Fri Feb 20,132,284,Hartford,"W, 70-64",59,Home,19-8,13-1,
2015,Albany,Albany,Wed Feb 25,136,343,UMBC,"W, 67-49",61,Away,20-8,14-1,
2015,Albany,Albany,Sat Feb 28,126,123,Vermont,"W, 79-73",69,Home,21-8,15-1,
2015,Albany,Albany,Wed Mar 4,119,345,Maine,"W, 83-66",65,Home,22-8,,America East
2015,Albany,Albany,Sun Mar 8,127,189,New Hampshire,"W, 60-58",58,Home,23-8,,America East
2015,Albany,Albany,Sat Mar 14,128,130,Stony Brook,"W, 51-50",58,Home,24-8,,America East
2015,Albany,Albany,Fri Mar 20,128,11,Oklahoma,"L, 69-60",59,Neutral,24-9,,NCAA
