Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Buffalo,Buffalo,Fri Nov 14,141,94,South Dakota St.,"W, 69-67",75,Home,1-0,,
2015,Buffalo,Buffalo,Sun Nov 16,148,1,Kentucky,"L, 71-52",66,Away,1-1,,
2015,Buffalo,Buffalo,Tue Nov 18,148,197,UT Arlington,"W, 74-68",75,Away,2-1,,
2015,Buffalo,Buffalo,Tue Nov 25,140,263,Grand Canyon,"W, 80-64",70,Away,3-1,,
2015,Buffalo,Buffalo,Sat Nov 29,122,149,Canisius,"W, 72-57",70,Neutral,4-1,,
2015,Buffalo,Buffalo,Wed Dec 3,109,112,St. Bonaventure,"L, 72-63",69,Away,4-2,,
2015,Buffalo,Buffalo,Sun Dec 7,107,184,Robert Morris,"W, 74-59",75,Away,5-2,,
2015,Buffalo,Buffalo,Tue Dec 16,98,250,Drexel,"W, 80-70",70,Home,6-2,,
2015,Buffalo,Buffalo,Fri Dec 19,96,299,Niagara,"W, 88-62",72,Home,7-2,,
2015,Buffalo,Buffalo,Sun Dec 28,86,2,Wisconsin,"L, 68-56",61,Away,7-3,,
2015,Buffalo,Buffalo,Tue Dec 30,84,322,Binghamton,"W, 76-50",63,Away,8-3,,
2015,Buffalo,Buffalo,Sat Jan 3,74,202,Cornell,"W, 92-73",72,Home,9-3,,
2015,Buffalo,Buffalo,Wed Jan 7,66,215,Miami OH,"W, 79-72",73,Away,10-3,1-0,
2015,Buffalo,Buffalo,Sat Jan 10,63,156,Western Michigan,"L, 78-68",70,Away,10-4,1-1,
2015,Buffalo,Buffalo,Wed Jan 14,78,179,Northern Illinois,"W, 82-63",69,Home,11-4,2-1,
2015,Buffalo,Buffalo,Sat Jan 17,70,215,Miami OH,"W, 77-68",74,Home,12-4,3-1,
2015,Buffalo,Buffalo,Wed Jan 21,77,80,Central Michigan,"L, 84-73",68,Away,12-5,3-2,
2015,Buffalo,Buffalo,Sat Jan 24,82,232,Ohio,"L, 63-61",64,Away,12-6,3-3,
2015,Buffalo,Buffalo,Tue Jan 27,80,156,Western Michigan,"W, 77-71",67,Home,13-6,4-3,
2015,Buffalo,Buffalo,Fri Jan 30,81,118,Kent St.,"W, 80-55",60,Home,14-6,5-3,
2015,Buffalo,Buffalo,Wed Feb 4,65,257,Ball St.,"W, 82-78",73,Away,15-6,6-3,
2015,Buffalo,Buffalo,Sat Feb 7,70,108,Akron,"L, 75-72",66,Away,15-7,6-4,
2015,Buffalo,Buffalo,Tue Feb 10,69,88,Toledo,"L, 92-88",71,Home,15-8,6-5,
2015,Buffalo,Buffalo,Sat Feb 14,77,80,Central Michigan,"L, 75-74",64,Home,15-9,6-6,
2015,Buffalo,Buffalo,Wed Feb 18,81,138,Eastern Michigan,"W, 78-63",74,Away,16-9,7-6,
2015,Buffalo,Buffalo,Sat Feb 21,70,115,Bowling Green,"W, 68-56",59,Away,17-9,8-6,
2015,Buffalo,Buffalo,Tue Feb 24,56,108,Akron,"W, 67-62",62,Home,18-9,9-6,
2015,Buffalo,Buffalo,Sat Feb 28,61,118,Kent St.,"W, 71-65",66,Away,19-9,10-6,
2015,Buffalo,Buffalo,Tue Mar 3,60,232,Ohio,"W, 93-66",73,Home,20-9,11-6,
2015,Buffalo,Buffalo,Fri Mar 6,57,115,Bowling Green,"W, 77-75",73,Home,21-9,12-6,
2015,Buffalo,Buffalo,Fri Mar 13,56,108,Akron,"W, 68-59",68,Neutral,22-9,,Mid American
2015,Buffalo,Buffalo,Sat Mar 14,56,80,Central Michigan,"W, 89-84",71,Neutral,23-9,,Mid American
2015,Buffalo,Buffalo,Fri Mar 20,54,25,West Virginia,"L, 68-62",65,Neutral,23-10,,NCAA
