Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Dayton,Dayton,Fri Nov 14,50,336,Alabama A&M,"W, 76-52",63,Home,1-0,,
2015,Dayton,Dayton,Thu Nov 20,50,54,Texas A&M,"W, 55-53",66,Neutral,2-0,,
2015,Dayton,Dayton,Fri Nov 21,51,73,Connecticut,"L, 75-64",66,Neutral,2-1,,
2015,Dayton,Dayton,Sun Nov 23,61,110,Boston College,"W, 65-53",65,Neutral,3-1,,
2015,Dayton,Dayton,Sat Nov 29,52,282,Illinois Chicago,"W, 75-41",63,Home,4-1,,
2015,Dayton,Dayton,Wed Dec 3,48,215,Miami OH,"W, 66-62",62,Away,5-1,,
2015,Dayton,Dayton,Sat Dec 6,50,138,Eastern Michigan,"W, 73-64",67,Home,6-1,,
2015,Dayton,Dayton,Tue Dec 9,56,115,Bowling Green,"W, 56-52",64,Home,7-1,,
2015,Dayton,Dayton,Sat Dec 13,58,29,Arkansas,"L, 69-55",65,Away,7-2,,
2015,Dayton,Dayton,Sat Dec 20,64,239,Boston University,"W, 78-62",65,Home,8-2,,
2015,Dayton,Dayton,Tue Dec 23,62,86,Georgia Tech,"W, 75-61",65,Home,9-2,,
2015,Dayton,Dayton,Tue Dec 30,53,46,Mississippi,"W, 78-74",73,Home,10-2,,
2015,Dayton,Dayton,Sat Jan 3,59,217,Duquesne,"W, 81-55",69,Home,11-2,1-0,
2015,Dayton,Dayton,Thu Jan 8,47,112,St. Bonaventure,"W, 78-61",62,Away,12-2,2-0,
2015,Dayton,Dayton,Sat Jan 10,39,208,Fordham,"W, 76-58",59,Away,13-2,3-0,
2015,Dayton,Dayton,Wed Jan 14,31,103,La Salle,"W, 61-50",60,Home,14-2,4-0,
2015,Dayton,Dayton,Sat Jan 17,33,289,Saint Louis,"W, 61-45",61,Home,15-2,5-0,
2015,Dayton,Dayton,Tue Jan 20,31,36,Davidson,"L, 77-60",62,Away,15-3,5-1,
2015,Dayton,Dayton,Sat Jan 24,38,59,Richmond,"W, 63-60",60,Home,16-3,6-1,
2015,Dayton,Dayton,Thu Jan 29,37,125,Massachusetts,"L, 66-64",66,Away,16-4,6-2,
2015,Dayton,Dayton,Sun Feb 1,37,208,Fordham,"W, 101-77",77,Home,17-4,7-2,
2015,Dayton,Dayton,Fri Feb 6,38,69,George Washington,"L, 65-64",66,Away,17-5,7-3,
2015,Dayton,Dayton,Tue Feb 10,37,289,Saint Louis,"W, 51-44",62,Away,18-5,8-3,
2015,Dayton,Dayton,Sat Feb 14,36,112,St. Bonaventure,"W, 75-61",66,Home,19-5,9-3,
2015,Dayton,Dayton,Thu Feb 19,36,161,Saint Joseph's,"W, 68-64",61,Home,20-5,10-3,
2015,Dayton,Dayton,Sat Feb 21,38,217,Duquesne,"L, 83-73",75,Away,20-6,10-4,
2015,Dayton,Dayton,Wed Feb 25,50,205,George Mason,"W, 76-63",64,Home,21-6,11-4,
2015,Dayton,Dayton,Sat Feb 28,53,30,VCU,"W, 59-55",61,Away,22-6,12-4,
2015,Dayton,Dayton,Tue Mar 3,46,60,Rhode Island,"W, 75-59",61,Home,23-6,13-4,
2015,Dayton,Dayton,Sat Mar 7,40,103,La Salle,"L, 55-53",61,Away,23-7,13-5,
2015,Dayton,Dayton,Fri Mar 13,40,112,St. Bonaventure,"W, 75-71",63,Neutral,24-7,,Atlantic 10
2015,Dayton,Dayton,Sat Mar 14,39,60,Rhode Island,"W, 56-52",61,Neutral,25-7,,Atlantic 10
2015,Dayton,Dayton,Sun Mar 15,38,30,VCU,"L, 71-65",69,Neutral,25-8,,Atlantic 10
2015,Dayton,Dayton,Wed Mar 18,40,47,Boise St.,"W, 56-55",57,Home,26-8,,NCAA
2015,Dayton,Dayton,Fri Mar 20,42,27,Providence,"W, 66-53",65,Neutral,27-8,,NCAA
2015,Dayton,Dayton,Sun Mar 22,34,11,Oklahoma,"L, 72-66",66,Neutral,27-9,,NCAA
