Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Eastern Washington,Eastern Washington,Fri Nov 14,200,213,Texas Southern,"W, 86-62",71,Home,1-0,,
2015,Eastern Washington,Eastern Washington,Mon Nov 17,185,321,Utah Valley,"W, 75-50",60,Home,2-0,,
2015,Eastern Washington,Eastern Washington,Wed Nov 19,152,NR,Walla Walla,"W, 95-34",56,Home,3-0,,
2015,Eastern Washington,Eastern Washington,Sat Nov 22,152,26,SMU,"L, 77-68",63,Away,3-1,,
2015,Eastern Washington,Eastern Washington,Mon Nov 24,151,48,Indiana,"W, 88-86",74,Away,4-1,,
2015,Eastern Washington,Eastern Washington,Wed Nov 26,127,246,Northern Kentucky,"W, 81-60",68,Home,5-1,,
2015,Eastern Washington,Eastern Washington,Sun Nov 30,122,NR,Eastern Oregon,"W, 104-87",73,Home,6-1,,
2015,Eastern Washington,Eastern Washington,Sat Dec 6,114,244,Seattle,"W, 87-75",72,Away,7-1,,
2015,Eastern Washington,Eastern Washington,Thu Dec 11,107,144,San Francisco,"W, 81-76",70,Away,8-1,,
2015,Eastern Washington,Eastern Washington,Sun Dec 14,96,119,Washington,"L, 81-77",74,Away,8-2,,
2015,Eastern Washington,Eastern Washington,Tue Dec 16,94,95,Sam Houston St.,"L, 76-52",64,Away,8-3,,
2015,Eastern Washington,Eastern Washington,Fri Dec 19,108,113,California,"L, 78-67",65,Away,8-4,,
2015,Eastern Washington,Eastern Washington,Mon Dec 22,106,NR,Lewis-Clark St.,"W, 87-81",72,Home,9-4,,
2015,Eastern Washington,Eastern Washington,Thu Jan 1,101,266,Weber St.,"W, 84-78",69,Home,10-4,1-0,
2015,Eastern Washington,Eastern Washington,Sat Jan 3,110,313,Idaho St.,"W, 65-57",61,Home,11-4,2-0,
2015,Eastern Washington,Eastern Washington,Sat Jan 10,116,231,Idaho,"W, 89-86",68,Away,12-4,3-0,
2015,Eastern Washington,Eastern Washington,Thu Jan 15,117,258,Portland St.,"W, 92-85",72,Away,13-4,4-0,
2015,Eastern Washington,Eastern Washington,Sat Jan 17,111,196,Sacramento St.,"L, 90-77",70,Away,13-5,4-1,
2015,Eastern Washington,Eastern Washington,Thu Jan 22,120,252,Northern Colorado,"W, 95-85",71,Home,14-5,5-1,
2015,Eastern Washington,Eastern Washington,Sat Jan 24,119,314,North Dakota,"W, 102-80",75,Home,15-5,6-1,
2015,Eastern Washington,Eastern Washington,Sat Jan 31,126,231,Idaho,"W, 98-95",76,Home,16-5,7-1,
2015,Eastern Washington,Eastern Washington,Thu Feb 5,133,164,Montana,"W, 75-69",62,Away,17-5,8-1,
2015,Eastern Washington,Eastern Washington,Sat Feb 7,125,320,Montana St.,"W, 61-51",71,Away,18-5,9-1,
2015,Eastern Washington,Eastern Washington,Thu Feb 12,126,196,Sacramento St.,"W, 64-61",64,Home,19-5,10-1,
2015,Eastern Washington,Eastern Washington,Sat Feb 14,126,258,Portland St.,"L, 68-66",64,Home,19-6,10-2,
2015,Eastern Washington,Eastern Washington,Thu Feb 19,138,307,Southern Utah,"W, 78-75",72,Away,20-6,11-2,
2015,Eastern Washington,Eastern Washington,Sat Feb 21,143,178,Northern Arizona,"L, 73-69",70,Away,20-7,11-3,
2015,Eastern Washington,Eastern Washington,Thu Feb 26,143,320,Montana St.,"W, 92-68",75,Home,21-7,12-3,
2015,Eastern Washington,Eastern Washington,Sat Feb 28,136,164,Montana,"L, 77-76",65,Home,21-8,12-4,
2015,Eastern Washington,Eastern Washington,Thu Mar 5,142,313,Idaho St.,"W, 85-81",68,Away,22-8,13-4,
2015,Eastern Washington,Eastern Washington,Sat Mar 7,150,266,Weber St.,"W, 79-71",74,Away,23-8,14-4,
2015,Eastern Washington,Eastern Washington,Thu Mar 12,143,231,Idaho,"W, 91-83",69,Neutral,24-8,,Big Sky
2015,Eastern Washington,Eastern Washington,Fri Mar 13,142,196,Sacramento St.,"W, 91-83",73,Neutral,25-8,,Big Sky
2015,Eastern Washington,Eastern Washington,Sat Mar 14,143,164,Montana,"W, 69-65",66,Away,26-8,,Big Sky
2015,Eastern Washington,Eastern Washington,Thu Mar 19,128,22,Georgetown,"L, 84-74",69,Neutral,26-9,,NCAA
