Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Georgia,Georgia,Fri Nov 14,48,86,Georgia Tech,"L, 80-73",72,Away,0-1,,
2015,Georgia,Georgia,Tue Nov 18,58,130,Stony Brook,"W, 80-70",75,Home,1-1,,
2015,Georgia,Georgia,Fri Nov 21,61,287,Troy,"W, 82-60",71,Home,2-1,,
2015,Georgia,Georgia,Sun Nov 23,60,290,Florida Atlantic,"W, 74-61",74,Home,3-1,,
2015,Georgia,Georgia,Wed Nov 26,61,7,Gonzaga,"L, 88-76",71,Neutral,3-2,,
2015,Georgia,Georgia,Fri Nov 28,65,52,Minnesota,"L, 66-62",65,Neutral,3-3,,
2015,Georgia,Georgia,Tue Dec 2,69,166,Chattanooga,"W, 86-55",62,Away,4-3,,
2015,Georgia,Georgia,Sun Dec 7,50,92,Colorado,"W, 64-57",62,Home,5-3,,
2015,Georgia,Georgia,Sun Dec 21,40,83,Seton Hall,"W, 65-47",69,Home,6-3,,
2015,Georgia,Georgia,Sat Dec 27,32,185,Mercer,"W, 86-77",80,Home,7-3,,
2015,Georgia,Georgia,Wed Dec 31,36,81,Kansas St.,"W, 50-46",64,Away,8-3,,
2015,Georgia,Georgia,Sat Jan 3,32,191,Norfolk St.,"W, 63-50",59,Home,9-3,,
2015,Georgia,Georgia,Tue Jan 6,32,29,Arkansas,"L, 79-75",68,Home,9-4,0-1,
2015,Georgia,Georgia,Sat Jan 10,34,49,LSU,"L, 87-84",85,Away,9-5,0-2,
2015,Georgia,Georgia,Wed Jan 14,33,37,Vanderbilt,"W, 70-67",63,Away,10-5,1-2,
2015,Georgia,Georgia,Sat Jan 17,34,34,Florida,"W, 73-61",64,Home,11-5,2-2,
2015,Georgia,Georgia,Tue Jan 20,29,46,Mississippi,"W, 69-64",69,Home,12-5,3-2,
2015,Georgia,Georgia,Sat Jan 24,29,159,Mississippi St.,"W, 72-66",64,Away,13-5,4-2,
2015,Georgia,Georgia,Tue Jan 27,27,37,Vanderbilt,"W, 70-62",59,Home,14-5,5-2,
2015,Georgia,Georgia,Sat Jan 31,28,63,South Carolina,"L, 67-50",65,Away,14-6,5-3,
2015,Georgia,Georgia,Tue Feb 3,31,1,Kentucky,"L, 69-58",64,Away,14-7,5-4,
2015,Georgia,Georgia,Sat Feb 7,31,90,Tennessee,"W, 56-53",58,Home,15-7,6-4,
2015,Georgia,Georgia,Wed Feb 11,33,54,Texas A&M,"W, 62-53",58,Away,16-7,7-4,
2015,Georgia,Georgia,Sat Feb 14,27,139,Auburn,"L, 69-68",67,Home,16-8,7-5,
2015,Georgia,Georgia,Tue Feb 17,35,63,South Carolina,"L, 64-58",55,Home,16-9,7-6,
2015,Georgia,Georgia,Sat Feb 21,41,55,Alabama,"W, 66-65",69,Away,17-9,8-6,
2015,Georgia,Georgia,Wed Feb 25,41,46,Mississippi,"W, 76-72",72,Away,18-9,9-6,
2015,Georgia,Georgia,Sat Feb 28,38,192,Missouri,"W, 68-44",64,Home,19-9,10-6,
2015,Georgia,Georgia,Tue Mar 3,35,1,Kentucky,"L, 72-64",66,Home,19-10,10-7,
2015,Georgia,Georgia,Sat Mar 7,36,139,Auburn,"W, 64-61",63,Away,20-10,11-7,
2015,Georgia,Georgia,Fri Mar 13,35,63,South Carolina,"W, 74-62",60,Neutral,21-10,,Southeastern
2015,Georgia,Georgia,Sat Mar 14,32,29,Arkansas,"L, 60-49",61,Neutral,21-11,,Southeastern
2015,Georgia,Georgia,Fri Mar 20,33,15,Michigan St.,"L, 70-63",70,Neutral,21-12,,NCAA
