Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Gonzaga,Gonzaga,Fri Nov 14,18,196,Sacramento St.,"W, 104-58",78,Home,1-0,,
2015,Gonzaga,Gonzaga,Mon Nov 17,18,26,SMU,"W, 72-56",64,Home,2-0,,
2015,Gonzaga,Gonzaga,Wed Nov 19,12,161,Saint Joseph's,"W, 94-42",67,Home,3-0,,
2015,Gonzaga,Gonzaga,Sat Nov 22,9,NR,St. Thomas Aquinas,"W, 109-55",71,Home,4-0,,
2015,Gonzaga,Gonzaga,Wed Nov 26,11,35,Georgia,"W, 88-76",71,Neutral,5-0,,
2015,Gonzaga,Gonzaga,Fri Nov 28,11,50,St. John's,"W, 73-66",69,Away,6-0,,
2015,Gonzaga,Gonzaga,Tue Dec 2,11,306,Southeastern Louisiana,"W, 76-57",55,Home,7-0,,
2015,Gonzaga,Gonzaga,Sat Dec 6,11,4,Arizona,"L, 66-63",67,Away,7-1,,
2015,Gonzaga,Gonzaga,Wed Dec 10,10,186,Washington St.,"W, 81-66",65,Home,8-1,,
2015,Gonzaga,Gonzaga,Sat Dec 13,10,40,UCLA,"W, 87-74",69,Away,9-1,,
2015,Gonzaga,Gonzaga,Mon Dec 15,8,213,Texas Southern,"W, 94-54",64,Home,10-1,,
2015,Gonzaga,Gonzaga,Sat Dec 20,7,153,Cal Poly,"W, 63-50",61,Semi-Home,11-1,,
2015,Gonzaga,Gonzaga,Sat Dec 27,7,28,BYU,"W, 87-80",76,Away,12-1,1-0,
2015,Gonzaga,Gonzaga,Mon Dec 29,7,106,San Diego,"W, 60-48",65,Away,13-1,2-0,
2015,Gonzaga,Gonzaga,Sat Jan 3,5,134,Portland,"W, 87-75",68,Away,14-1,3-0,
2015,Gonzaga,Gonzaga,Thu Jan 8,6,144,San Francisco,"W, 88-57",65,Home,15-1,4-0,
2015,Gonzaga,Gonzaga,Sat Jan 10,5,194,Santa Clara,"W, 79-57",63,Home,16-1,5-0,
2015,Gonzaga,Gonzaga,Thu Jan 15,3,126,Pepperdine,"W, 78-76",65,Away,17-1,6-0,
2015,Gonzaga,Gonzaga,Sat Jan 17,4,271,Loyola Marymount,"W, 72-55",60,Away,18-1,7-0,
2015,Gonzaga,Gonzaga,Thu Jan 22,3,67,Saint Mary's,"W, 68-47",61,Home,19-1,8-0,
2015,Gonzaga,Gonzaga,Sat Jan 24,3,240,Pacific,"W, 91-60",62,Home,20-1,9-0,
2015,Gonzaga,Gonzaga,Thu Jan 29,3,134,Portland,"W, 64-46",63,Home,21-1,10-0,
2015,Gonzaga,Gonzaga,Sat Jan 31,4,87,Memphis,"W, 82-64",71,Home,22-1,,
2015,Gonzaga,Gonzaga,Thu Feb 5,4,194,Santa Clara,"W, 77-63",61,Away,23-1,11-0,
2015,Gonzaga,Gonzaga,Sat Feb 7,4,144,San Francisco,"W, 81-70",60,Away,24-1,12-0,
2015,Gonzaga,Gonzaga,Thu Feb 12,4,271,Loyola Marymount,"W, 80-51",69,Home,25-1,13-0,
2015,Gonzaga,Gonzaga,Sat Feb 14,4,126,Pepperdine,"W, 56-48",56,Home,26-1,14-0,
2015,Gonzaga,Gonzaga,Thu Feb 19,6,240,Pacific,"W, 86-74",64,Away,27-1,15-0,
2015,Gonzaga,Gonzaga,Sat Feb 21,7,67,Saint Mary's,"W, 70-60",60,Away,28-1,16-0,
2015,Gonzaga,Gonzaga,Thu Feb 26,4,106,San Diego,"W, 59-39",56,Home,29-1,17-0,
2015,Gonzaga,Gonzaga,Sat Feb 28,4,28,BYU,"L, 73-70",68,Home,29-2,17-1,
2015,Gonzaga,Gonzaga,Sat Mar 7,6,144,San Francisco,"W, 81-72",75,Neutral,30-2,,West Coast
2015,Gonzaga,Gonzaga,Mon Mar 9,7,126,Pepperdine,"W, 79-61",64,Neutral,31-2,,West Coast
2015,Gonzaga,Gonzaga,Tue Mar 10,6,28,BYU,"W, 91-75",71,Neutral,32-2,,West Coast
2015,Gonzaga,Gonzaga,Fri Mar 20,7,152,North Dakota St.,"W, 86-76",70,Neutral,33-2,,NCAA
2015,Gonzaga,Gonzaga,Sun Mar 22,8,23,Iowa,"W, 87-68",67,Neutral,34-2,,NCAA
2015,Gonzaga,Gonzaga,Fri Mar 27,7,40,UCLA,"W, 74-62",66,Neutral,35-2,,NCAA
2015,Gonzaga,Gonzaga,Sun Mar 29,7,3,Duke,"L, 66-52",59,Neutral,35-3,,NCAA
