Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Harvard,Harvard,Fri Nov 14,30,NR,MIT,"W, 73-52",61,Home,1-0,,
2015,Harvard,Harvard,Sun Nov 16,31,242,Holy Cross,"L, 58-57",68,Neutral,1-1,,
2015,Harvard,Harvard,Thu Nov 20,35,290,Florida Atlantic,"W, 71-49",67,Home,2-1,,
2015,Harvard,Harvard,Tue Nov 25,33,214,Houston,"W, 84-63",66,Home,3-1,,
2015,Harvard,Harvard,Sat Nov 29,34,125,Massachusetts,"W, 75-73",68,Home,4-1,,
2015,Harvard,Harvard,Wed Dec 3,37,117,Northeastern,"W, 60-46",59,Home,5-1,,
2015,Harvard,Harvard,Sat Dec 6,33,123,Vermont,"W, 64-52",71,Away,6-1,,
2015,Harvard,Harvard,Mon Dec 8,25,239,Boston University,"W, 70-56",58,Home,7-1,,
2015,Harvard,Harvard,Sun Dec 21,29,6,Virginia,"L, 76-27",59,Away,7-2,,
2015,Harvard,Harvard,Sun Dec 28,43,65,Arizona St.,"L, 56-46",60,Away,7-3,,
2015,Harvard,Harvard,Tue Dec 30,49,263,Grand Canyon,"W, 72-59",66,Away,8-3,,
2015,Harvard,Harvard,Mon Jan 5,51,NR,St. Rose,"W, 84-38",68,Home,9-3,,
2015,Harvard,Harvard,Sat Jan 10,58,168,Dartmouth,"W, 57-46",56,Away,10-3,1-0,
2015,Harvard,Harvard,Wed Jan 14,53,110,Boston College,"L, 64-57",71,Away,10-4,,
2015,Harvard,Harvard,Tue Jan 20,60,236,Bryant,"W, 66-57",62,Away,11-4,,
2015,Harvard,Harvard,Sat Jan 24,58,168,Dartmouth,"L, 70-61",70,Home,11-5,1-1,
2015,Harvard,Harvard,Fri Jan 30,87,160,Princeton,"W, 75-72",66,Away,12-5,2-1,
2015,Harvard,Harvard,Sat Jan 31,90,291,Penn,"W, 63-38",59,Away,13-5,3-1,
2015,Harvard,Harvard,Fri Feb 6,66,268,Brown,"W, 76-74",69,Away,14-5,4-1,
2015,Harvard,Harvard,Sat Feb 7,73,77,Yale,"W, 52-50",61,Away,15-5,5-1,
2015,Harvard,Harvard,Fri Feb 13,66,165,Columbia,"W, 72-68",58,Home,16-5,6-1,
2015,Harvard,Harvard,Sat Feb 14,78,202,Cornell,"W, 61-40",60,Home,17-5,7-1,
2015,Harvard,Harvard,Fri Feb 20,68,291,Penn,"W, 69-46",54,Home,18-5,8-1,
2015,Harvard,Harvard,Sat Feb 21,64,160,Princeton,"W, 63-55",61,Home,19-5,9-1,
2015,Harvard,Harvard,Fri Feb 27,68,202,Cornell,"L, 57-49",56,Away,19-6,9-2,
2015,Harvard,Harvard,Sat Feb 28,77,165,Columbia,"W, 80-70",62,Away,20-6,10-2,
2015,Harvard,Harvard,Fri Mar 6,70,77,Yale,"L, 62-52",59,Home,20-7,10-3,
2015,Harvard,Harvard,Sat Mar 7,78,268,Brown,"W, 72-62",63,Home,21-7,11-3,
2015,Harvard,Harvard,Sat Mar 14,79,77,Yale,"W, 53-51",51,Neutral,22-7,,Ivy League
2015,Harvard,Harvard,Thu Mar 19,77,10,North Carolina,"L, 67-65",60,Neutral,22-8,,NCAA
