Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Lafayette,Lafayette,Fri Nov 14,211,184,Robert Morris,"W, 77-50",64,Away,1-0,,
2015,Lafayette,Lafayette,Sun Nov 16,146,25,West Virginia,"L, 83-56",69,Away,1-1,,
2015,Lafayette,Lafayette,Wed Nov 19,163,160,Princeton,"W, 83-66",62,Home,2-1,,
2015,Lafayette,Lafayette,Sat Nov 22,137,291,Penn,"W, 83-77",69,Away,3-1,,
2015,Lafayette,Lafayette,Wed Nov 26,133,77,Yale,"L, 82-60",70,Away,3-2,,
2015,Lafayette,Lafayette,Sun Nov 30,146,319,Fairleigh Dickinson,"W, 82-61",66,Away,4-2,,
2015,Lafayette,Lafayette,Sat Dec 6,127,304,Wagner,"W, 97-84",72,Home,5-2,,
2015,Lafayette,Lafayette,Mon Dec 8,125,238,Sacred Heart,"W, 82-81",66,Home,6-2,,
2015,Lafayette,Lafayette,Tue Dec 16,136,NR,Susquehanna,"W, 91-66",74,Home,7-2,,
2015,Lafayette,Lafayette,Sat Dec 20,133,12,Kansas,"L, 96-69",65,Away,7-3,,
2015,Lafayette,Lafayette,Sun Dec 28,135,173,NJIT,"W, 76-71",72,Home,8-3,,
2015,Lafayette,Lafayette,Wed Dec 31,140,253,Army,"W, 92-78",69,Away,9-3,1-0,
2015,Lafayette,Lafayette,Sat Jan 3,125,277,Navy,"L, 69-65",63,Home,9-4,1-1,
2015,Lafayette,Lafayette,Wed Jan 7,135,200,Bucknell,"L, 79-69",73,Away,9-5,1-2,
2015,Lafayette,Lafayette,Sat Jan 10,146,239,Boston University,"W, 63-62",60,Away,10-5,2-2,
2015,Lafayette,Lafayette,Wed Jan 14,142,308,Loyola MD,"W, 69-65",60,Home,11-5,3-2,
2015,Lafayette,Lafayette,Sat Jan 17,157,188,American,"L, 78-76",64,Home,11-6,3-3,
2015,Lafayette,Lafayette,Wed Jan 21,172,242,Holy Cross,"L, 74-73",61,Away,11-7,3-4,
2015,Lafayette,Lafayette,Sat Jan 24,179,201,Lehigh,"L, 75-71",63,Home,11-8,3-5,
2015,Lafayette,Lafayette,Wed Jan 28,187,180,Colgate,"W, 59-54",59,Away,12-8,4-5,
2015,Lafayette,Lafayette,Sat Jan 31,173,277,Navy,"W, 74-65",61,Away,13-8,5-5,
2015,Lafayette,Lafayette,Wed Feb 4,164,200,Bucknell,"W, 84-74",68,Home,14-8,6-5,
2015,Lafayette,Lafayette,Mon Feb 9,159,239,Boston University,"L, 74-60",66,Home,14-9,6-6,
2015,Lafayette,Lafayette,Wed Feb 11,183,308,Loyola MD,"L, 62-43",60,Away,14-10,6-7,
2015,Lafayette,Lafayette,Sat Feb 14,205,188,American,"L, 88-77",66,Away,14-11,6-8,
2015,Lafayette,Lafayette,Wed Feb 18,215,242,Holy Cross,"W, 89-81",68,Home,15-11,7-8,
2015,Lafayette,Lafayette,Sun Feb 22,211,201,Lehigh,"W, 63-61",60,Away,16-11,8-8,
2015,Lafayette,Lafayette,Wed Feb 25,206,180,Colgate,"L, 95-83",66,Home,16-12,8-9,
2015,Lafayette,Lafayette,Sat Feb 28,217,253,Army,"W, 74-64",68,Home,17-12,9-9,
2015,Lafayette,Lafayette,Thu Mar 5,216,239,Boston University,"W, 89-64",57,Home,18-12,,Patriot League
2015,Lafayette,Lafayette,Sun Mar 8,205,200,Bucknell,"W, 80-74",62,Away,19-12,,Patriot League
2015,Lafayette,Lafayette,Wed Mar 11,197,188,American,"W, 65-63",58,Home,20-12,,Patriot League
2015,Lafayette,Lafayette,Thu Mar 19,194,5,Villanova,"L, 93-52",64,Neutral,20-13,,NCAA
