Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Northern Iowa,Northern Iowa,Sat Nov 15,73,314,North Dakota,"W, 64-52",63,Home,1-0,,
2015,Northern Iowa,Northern Iowa,Tue Nov 18,75,51,Stephen F. Austin,"W, 79-77",67,Away,2-0,,
2015,Northern Iowa,Northern Iowa,Thu Nov 20,69,332,Morgan St.,"W, 73-53",58,Home,3-0,,
2015,Northern Iowa,Northern Iowa,Sat Nov 22,68,143,North Florida,"W, 66-49",59,Home,4-0,,
2015,Northern Iowa,Northern Iowa,Tue Nov 25,63,175,Virginia Tech,"W, 73-54",59,Neutral,5-0,,
2015,Northern Iowa,Northern Iowa,Wed Nov 26,54,122,Northwestern,"W, 61-42",55,Neutral,6-0,,
2015,Northern Iowa,Northern Iowa,Sun Nov 30,36,59,Richmond,"W, 55-50",57,Home,7-0,,
2015,Northern Iowa,Northern Iowa,Sat Dec 6,34,205,George Mason,"W, 71-65",75,Home,8-0,,
2015,Northern Iowa,Northern Iowa,Wed Dec 10,37,222,Denver,"W, 65-55",54,Away,9-0,,
2015,Northern Iowa,Northern Iowa,Sat Dec 13,32,30,VCU,"L, 93-87",80,Away,9-1,,
2015,Northern Iowa,Northern Iowa,Sat Dec 20,32,23,Iowa,"W, 56-44",58,Neutral,10-1,,
2015,Northern Iowa,Northern Iowa,Sun Dec 28,22,94,South Dakota St.,"W, 74-63",59,Home,11-1,,
2015,Northern Iowa,Northern Iowa,Thu Jan 1,25,114,Evansville,"L, 52-49",57,Away,11-2,0-1,
2015,Northern Iowa,Northern Iowa,Sun Jan 4,26,132,Loyola Chicago,"W, 67-58",64,Home,12-2,1-1,
2015,Northern Iowa,Northern Iowa,Wed Jan 7,27,223,Southern Illinois,"W, 55-39",52,Home,13-2,2-1,
2015,Northern Iowa,Northern Iowa,Sat Jan 10,26,275,Drake,"W, 64-40",48,Away,14-2,3-1,
2015,Northern Iowa,Northern Iowa,Tue Jan 13,23,254,Bradley,"W, 63-52",58,Away,15-2,4-1,
2015,Northern Iowa,Northern Iowa,Sun Jan 18,20,255,Missouri St.,"W, 60-46",52,Home,16-2,5-1,
2015,Northern Iowa,Northern Iowa,Wed Jan 21,20,169,Indiana St.,"W, 66-60",59,Home,17-2,6-1,
2015,Northern Iowa,Northern Iowa,Sun Jan 25,19,62,Illinois St.,"W, 54-53",58,Away,18-2,7-1,
2015,Northern Iowa,Northern Iowa,Wed Jan 28,20,223,Southern Illinois,"W, 59-52",56,Away,19-2,8-1,
2015,Northern Iowa,Northern Iowa,Sat Jan 31,21,13,Wichita St.,"W, 70-54",59,Home,20-2,9-1,
2015,Northern Iowa,Northern Iowa,Tue Feb 3,16,169,Indiana St.,"W, 61-51",62,Away,21-2,10-1,
2015,Northern Iowa,Northern Iowa,Sat Feb 7,15,275,Drake,"W, 69-53",48,Home,22-2,11-1,
2015,Northern Iowa,Northern Iowa,Wed Feb 11,16,62,Illinois St.,"W, 83-64",59,Home,23-2,12-1,
2015,Northern Iowa,Northern Iowa,Sun Feb 15,15,255,Missouri St.,"W, 68-57",57,Away,24-2,13-1,
2015,Northern Iowa,Northern Iowa,Wed Feb 18,15,132,Loyola Chicago,"W, 58-39",54,Away,25-2,14-1,
2015,Northern Iowa,Northern Iowa,Sat Feb 21,11,254,Bradley,"W, 56-39",55,Home,26-2,15-1,
2015,Northern Iowa,Northern Iowa,Wed Feb 25,11,114,Evansville,"W, 68-57",62,Home,27-2,16-1,
2015,Northern Iowa,Northern Iowa,Sat Feb 28,12,13,Wichita St.,"L, 74-60",55,Away,27-3,16-2,
2015,Northern Iowa,Northern Iowa,Fri Mar 6,14,254,Bradley,"W, 71-46",56,Neutral,28-3,,Missouri Valley
2015,Northern Iowa,Northern Iowa,Sat Mar 7,13,132,Loyola Chicago,"W, 63-49",54,Neutral,29-3,,Missouri Valley
2015,Northern Iowa,Northern Iowa,Sun Mar 8,12,62,Illinois St.,"W, 69-60",59,Neutral,30-3,,Missouri Valley
2015,Northern Iowa,Northern Iowa,Fri Mar 20,9,109,Wyoming,"W, 71-54",58,Neutral,31-3,,NCAA
2015,Northern Iowa,Northern Iowa,Sun Mar 22,9,17,Louisville,"L, 66-53",55,Neutral,31-4,,NCAA
