Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Robert Morris,Robert Morris,Fri Nov 14,177,193,Lafayette,"L, 77-50",64,Home,0-1,,
2015,Robert Morris,Robert Morris,Sun Nov 16,237,10,North Carolina,"L, 103-59",74,Away,0-2,,
2015,Robert Morris,Robert Morris,Wed Nov 19,246,254,Bradley,"W, 68-61",73,Away,1-2,,
2015,Robert Morris,Robert Morris,Sat Nov 22,226,22,Georgetown,"L, 80-66",71,Away,1-3,,
2015,Robert Morris,Robert Morris,Wed Nov 26,221,166,Chattanooga,"L, 61-46",67,Away,1-4,,
2015,Robert Morris,Robert Morris,Thu Nov 27,248,170,Louisiana Monroe,"W, 71-54",61,Neutral,2-4,,
2015,Robert Morris,Robert Morris,Tue Dec 2,213,273,Youngstown St.,"L, 89-81",70,Home,2-5,,
2015,Robert Morris,Robert Morris,Sun Dec 7,231,58,Buffalo,"L, 74-59",75,Home,2-6,,
2015,Robert Morris,Robert Morris,Sat Dec 13,256,217,Duquesne,"W, 75-59",69,Home,3-6,,
2015,Robert Morris,Robert Morris,Wed Dec 17,230,88,Toledo,"L, 83-57",71,Away,3-7,,
2015,Robert Morris,Robert Morris,Mon Dec 22,252,260,Delaware,"W, 84-81",77,Home,4-7,,
2015,Robert Morris,Robert Morris,Tue Dec 30,259,84,Clemson,"L, 64-57",67,Away,4-8,,
2015,Robert Morris,Robert Morris,Sat Jan 3,261,226,Mount St. Mary's,"W, 70-45",70,Home,5-8,1-0,
2015,Robert Morris,Robert Morris,Mon Jan 5,241,221,St. Francis PA,"L, 66-59",65,Away,5-9,1-1,
2015,Robert Morris,Robert Morris,Thu Jan 8,240,304,Wagner,"W, 77-73",69,Away,6-9,2-1,
2015,Robert Morris,Robert Morris,Sat Jan 10,236,344,Central Connecticut,"W, 72-60",58,Away,7-9,3-1,
2015,Robert Morris,Robert Morris,Fri Jan 16,214,157,St. Francis NY,"L, 68-63",59,Home,7-10,3-2,
2015,Robert Morris,Robert Morris,Sun Jan 18,224,238,Sacred Heart,"W, 85-65",70,Home,8-10,4-2,
2015,Robert Morris,Robert Morris,Thu Jan 22,213,226,Mount St. Mary's,"W, 63-59",69,Away,9-10,5-2,
2015,Robert Morris,Robert Morris,Sat Jan 24,206,157,St. Francis NY,"W, 67-65",68,Away,10-10,6-2,
2015,Robert Morris,Robert Morris,Thu Jan 29,199,319,Fairleigh Dickinson,"W, 87-65",67,Home,11-10,7-2,
2015,Robert Morris,Robert Morris,Sat Jan 31,190,236,Bryant,"L, 71-68",61,Home,11-11,7-3,
2015,Robert Morris,Robert Morris,Thu Feb 5,192,288,LIU Brooklyn,"L, 72-65",74,Away,11-12,7-4,
2015,Robert Morris,Robert Morris,Sat Feb 7,205,319,Fairleigh Dickinson,"W, 76-62",62,Away,12-12,8-4,
2015,Robert Morris,Robert Morris,Thu Feb 12,195,288,LIU Brooklyn,"L, 63-62",64,Home,12-13,8-5,
2015,Robert Morris,Robert Morris,Sat Feb 14,204,344,Central Connecticut,"W, 53-52",56,Home,13-13,9-5,
2015,Robert Morris,Robert Morris,Thu Feb 19,212,238,Sacred Heart,"L, 80-76",72,Away,13-14,9-6,
2015,Robert Morris,Robert Morris,Sat Feb 21,211,236,Bryant,"W, 76-70",59,Away,14-14,10-6,
2015,Robert Morris,Robert Morris,Thu Feb 26,206,304,Wagner,"W, 91-59",67,Home,15-14,11-6,
2015,Robert Morris,Robert Morris,Sat Feb 28,199,221,St. Francis PA,"W, 71-70",73,Home,16-14,12-6,
2015,Robert Morris,Robert Morris,Wed Mar 4,204,304,Wagner,"W, 91-68",70,Home,17-14,,Northeast
2015,Robert Morris,Robert Morris,Sat Mar 7,194,236,Bryant,"W, 66-53",62,Home,18-14,,Northeast
2015,Robert Morris,Robert Morris,Tue Mar 10,182,157,St. Francis NY,"W, 66-63",65,Away,19-14,,Northeast
2015,Robert Morris,Robert Morris,Wed Mar 18,175,143,North Florida,"W, 81-77",71,Neutral,20-14,,NCAA
2015,Robert Morris,Robert Morris,Fri Mar 20,172,3,Duke,"L, 85-56",63,Neutral,20-15,,NCAA
