Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,SMU,SMU,Fri Nov 14,36,276,Lamar,"W, 93-54",64,Home,1-0,,
2015,SMU,SMU,Mon Nov 17,34,7,Gonzaga,"L, 72-56",64,Away,1-1,,
2015,SMU,SMU,Thu Nov 20,39,48,Indiana,"L, 74-68",67,Away,1-2,,
2015,SMU,SMU,Sat Nov 22,42,133,Eastern Washington,"W, 77-68",63,Home,2-2,,
2015,SMU,SMU,Tue Nov 25,46,29,Arkansas,"L, 78-72",72,Home,2-3,,
2015,SMU,SMU,Wed Nov 26,56,213,Texas Southern,"W, 72-59",67,Home,3-3,,
2015,SMU,SMU,Sun Nov 30,57,183,Monmouth,"W, 63-51",58,Home,4-3,,
2015,SMU,SMU,Fri Dec 5,57,109,Wyoming,"W, 66-53",59,Home,5-3,,
2015,SMU,SMU,Mon Dec 8,45,105,UC Santa Barbara,"W, 80-73",70,Home,6-3,,
2015,SMU,SMU,Wed Dec 17,46,282,Illinois Chicago,"W, 67-46",71,Home,7-3,,
2015,SMU,SMU,Sat Dec 20,44,74,Michigan,"W, 62-51",67,Away,8-3,,
2015,SMU,SMU,Mon Dec 29,34,NR,Midwestern St.,"W, 70-61",74,Home,9-3,,
2015,SMU,SMU,Wed Dec 31,35,274,South Florida,"W, 83-49",68,Home,10-3,1-0,
2015,SMU,SMU,Sat Jan 3,28,43,Cincinnati,"L, 56-50",58,Away,10-4,1-1,
2015,SMU,SMU,Thu Jan 8,30,87,Memphis,"W, 73-59",62,Home,11-4,2-1,
2015,SMU,SMU,Sun Jan 11,27,281,UCF,"W, 70-61",59,Away,12-4,3-1,
2015,SMU,SMU,Wed Jan 14,27,66,Temple,"W, 60-55",63,Away,13-4,4-1,
2015,SMU,SMU,Sat Jan 17,28,224,East Carolina,"W, 77-54",61,Home,14-4,5-1,
2015,SMU,SMU,Wed Jan 21,28,220,Tulane,"W, 66-52",59,Away,15-4,6-1,
2015,SMU,SMU,Sat Jan 24,22,214,Houston,"W, 80-59",64,Home,16-4,7-1,
2015,SMU,SMU,Wed Jan 28,23,274,South Florida,"W, 63-52",60,Away,17-4,8-1,
2015,SMU,SMU,Sat Jan 31,23,281,UCF,"W, 75-56",65,Home,18-4,9-1,
2015,SMU,SMU,Thu Feb 5,20,43,Cincinnati,"L, 62-54",57,Home,18-5,9-2,
2015,SMU,SMU,Sat Feb 7,28,85,Tulsa,"W, 68-57",64,Away,19-5,10-2,
2015,SMU,SMU,Thu Feb 12,24,214,Houston,"W, 75-69",62,Away,20-5,11-2,
2015,SMU,SMU,Sat Feb 14,25,73,Connecticut,"W, 73-55",61,Home,21-5,12-2,
2015,SMU,SMU,Thu Feb 19,24,66,Temple,"W, 67-58",62,Home,22-5,13-2,
2015,SMU,SMU,Thu Feb 26,24,87,Memphis,"W, 66-57",58,Away,23-5,14-2,
2015,SMU,SMU,Sun Mar 1,20,73,Connecticut,"L, 81-73",64,Away,23-6,14-3,
2015,SMU,SMU,Sun Mar 8,24,85,Tulsa,"W, 67-62",68,Home,24-6,15-3,
2015,SMU,SMU,Fri Mar 13,23,224,East Carolina,"W, 74-68",64,Neutral,25-6,,American Athletic
2015,SMU,SMU,Sat Mar 14,27,66,Temple,"W, 69-56",65,Neutral,26-6,,American Athletic
2015,SMU,SMU,Sun Mar 15,22,73,Connecticut,"W, 62-54",58,Away,27-6,,American Athletic
2015,SMU,SMU,Thu Mar 19,21,40,UCLA,"L, 60-59",64,Neutral,27-7,,NCAA
