Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,UCLA,UCLA,Fri Nov 14,13,320,Montana St.,"W, 113-78",82,Home,1-0,,
2015,UCLA,UCLA,Sun Nov 16,13,140,Coastal Carolina,"W, 84-71",71,Home,2-0,,
2015,UCLA,UCLA,Thu Nov 20,17,328,Nicholls St.,"W, 107-74",78,Home,3-0,,
2015,UCLA,UCLA,Sun Nov 23,18,136,Long Beach St.,"W, 77-63",69,Home,4-0,,
2015,UCLA,UCLA,Wed Nov 26,18,11,Oklahoma,"L, 75-65",74,Neutral,4-1,,
2015,UCLA,UCLA,Thu Nov 27,24,10,North Carolina,"L, 78-56",74,Neutral,4-2,,
2015,UCLA,UCLA,Fri Nov 28,35,135,UAB,"W, 88-76",73,Neutral,5-2,,
2015,UCLA,UCLA,Wed Dec 3,35,292,Cal St. Fullerton,"W, 73-45",72,Home,6-2,,
2015,UCLA,UCLA,Sun Dec 7,34,106,San Diego,"W, 75-68",68,Home,7-2,,
2015,UCLA,UCLA,Wed Dec 10,36,216,UC Riverside,"W, 77-66",69,Home,8-2,,
2015,UCLA,UCLA,Sat Dec 13,39,7,Gonzaga,"L, 87-74",69,Home,8-3,,
2015,UCLA,UCLA,Sat Dec 20,43,1,Kentucky,"L, 83-44",68,Neutral,8-4,,
2015,UCLA,UCLA,Sun Dec 28,51,55,Alabama,"L, 56-50",70,Away,8-5,,
2015,UCLA,UCLA,Fri Jan 2,61,92,Colorado,"L, 62-56",72,Away,8-6,0-1,
2015,UCLA,UCLA,Sun Jan 4,59,8,Utah,"L, 71-39",60,Away,8-7,0-2,
2015,UCLA,UCLA,Thu Jan 8,75,39,Stanford,"W, 86-81",73,Home,9-7,1-2,
2015,UCLA,UCLA,Sun Jan 11,72,113,California,"W, 73-54",63,Home,10-7,2-2,
2015,UCLA,UCLA,Wed Jan 14,65,151,USC,"W, 83-66",72,Away,11-7,3-2,
2015,UCLA,UCLA,Thu Jan 22,58,107,Oregon St.,"L, 66-55",63,Away,11-8,3-3,
2015,UCLA,UCLA,Sat Jan 24,67,45,Oregon,"L, 82-64",62,Away,11-9,3-4,
2015,UCLA,UCLA,Thu Jan 29,82,8,Utah,"W, 69-59",59,Home,12-9,4-4,
2015,UCLA,UCLA,Sat Jan 31,64,92,Colorado,"W, 72-59",62,Home,13-9,5-4,
2015,UCLA,UCLA,Thu Feb 5,55,39,Stanford,"W, 69-67",66,Away,14-9,6-4,
2015,UCLA,UCLA,Sat Feb 7,50,113,California,"L, 64-62",64,Away,14-10,6-5,
2015,UCLA,UCLA,Wed Feb 11,51,107,Oregon St.,"W, 75-59",62,Home,15-10,7-5,
2015,UCLA,UCLA,Sat Feb 14,45,45,Oregon,"W, 72-63",60,Home,16-10,8-5,
2015,UCLA,UCLA,Wed Feb 18,46,65,Arizona St.,"L, 68-66",65,Away,16-11,8-6,
2015,UCLA,UCLA,Sat Feb 21,43,4,Arizona,"L, 57-47",60,Away,16-12,8-7,
2015,UCLA,UCLA,Wed Feb 25,46,119,Washington,"W, 88-66",69,Home,17-12,9-7,
2015,UCLA,UCLA,Sun Mar 1,46,186,Washington St.,"W, 72-67",70,Home,18-12,10-7,
2015,UCLA,UCLA,Wed Mar 4,50,151,USC,"W, 85-74",66,Home,19-12,11-7,
2015,UCLA,UCLA,Thu Mar 12,51,151,USC,"W, 96-70",74,Neutral,20-12,,Pac 12
2015,UCLA,UCLA,Fri Mar 13,46,4,Arizona,"L, 70-64",63,Neutral,20-13,,Pac 12
2015,UCLA,UCLA,Thu Mar 19,42,26,SMU,"W, 60-59",64,Neutral,21-13,,NCAA
2015,UCLA,UCLA,Sat Mar 21,37,135,UAB,"W, 92-75",67,Neutral,22-13,,NCAA
2015,UCLA,UCLA,Fri Mar 27,32,7,Gonzaga,"L, 74-62",66,Neutral,22-14,,NCAA
