Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Utah,Utah,Fri Nov 14,42,257,Ball St.,"W, 90-72",68,Home,1-0,,
2015,Utah,Utah,Tue Nov 18,44,31,San Diego St.,"L, 53-49",60,Away,1-1,,
2015,Utah,Utah,Fri Nov 21,46,216,UC Riverside,"W, 88-42",65,Home,2-1,,
2015,Utah,Utah,Wed Nov 26,40,335,Texas Pan American,"W, 85-48",64,Home,3-1,,
2015,Utah,Utah,Fri Nov 28,37,314,North Dakota,"W, 90-53",67,Home,4-1,,
2015,Utah,Utah,Sat Nov 29,30,264,Alabama St.,"W, 93-62",72,Home,5-1,,
2015,Utah,Utah,Wed Dec 3,28,13,Wichita St.,"W, 69-68",63,Home,6-1,,
2015,Utah,Utah,Wed Dec 10,23,28,BYU,"W, 65-61",68,Away,7-1,,
2015,Utah,Utah,Sat Dec 13,19,12,Kansas,"L, 63-60",62,Semi-Away,7-2,,
2015,Utah,Utah,Sat Dec 20,20,102,UNLV,"W, 59-46",69,Away,8-2,,
2015,Utah,Utah,Tue Dec 23,17,94,South Dakota St.,"W, 80-66",71,Home,9-2,,
2015,Utah,Utah,Tue Dec 30,21,NR,Carroll MT,"W, 85-49",67,Home,10-2,,
2015,Utah,Utah,Fri Jan 2,17,151,USC,"W, 79-55",62,Home,11-2,1-0,
2015,Utah,Utah,Sun Jan 4,13,40,UCLA,"W, 71-39",60,Home,12-2,2-0,
2015,Utah,Utah,Wed Jan 7,11,92,Colorado,"W, 74-49",64,Home,13-2,3-0,
2015,Utah,Utah,Thu Jan 15,5,65,Arizona St.,"W, 76-59",60,Away,14-2,4-0,
2015,Utah,Utah,Sat Jan 17,5,4,Arizona,"L, 69-51",57,Away,14-3,4-1,
2015,Utah,Utah,Wed Jan 21,6,186,Washington St.,"W, 86-64",68,Home,15-3,5-1,
2015,Utah,Utah,Sun Jan 25,6,119,Washington,"W, 77-56",58,Home,16-3,6-1,
2015,Utah,Utah,Thu Jan 29,5,40,UCLA,"L, 69-59",59,Away,16-4,6-2,
2015,Utah,Utah,Sun Feb 1,8,151,USC,"W, 67-39",65,Away,17-4,7-2,
2015,Utah,Utah,Sat Feb 7,6,92,Colorado,"W, 79-51",64,Away,18-4,8-2,
2015,Utah,Utah,Thu Feb 12,5,39,Stanford,"W, 75-59",64,Home,19-4,9-2,
2015,Utah,Utah,Sun Feb 15,4,113,California,"W, 76-61",63,Home,20-4,10-2,
2015,Utah,Utah,Thu Feb 19,5,107,Oregon St.,"W, 47-37",49,Away,21-4,11-2,
2015,Utah,Utah,Sun Feb 22,4,45,Oregon,"L, 69-58",63,Away,21-5,11-3,
2015,Utah,Utah,Thu Feb 26,7,65,Arizona St.,"W, 83-41",60,Home,22-5,12-3,
2015,Utah,Utah,Sat Feb 28,6,4,Arizona,"L, 63-57",61,Home,22-6,12-4,
2015,Utah,Utah,Thu Mar 5,7,186,Washington St.,"W, 67-59",59,Away,23-6,13-4,
2015,Utah,Utah,Sat Mar 7,7,119,Washington,"L, 77-68",63,Away,23-7,13-5,
2015,Utah,Utah,Thu Mar 12,8,39,Stanford,"W, 80-56",61,Neutral,24-7,,Pac 12
2015,Utah,Utah,Fri Mar 13,8,45,Oregon,"L, 67-64",60,Neutral,24-8,,Pac 12
2015,Utah,Utah,Thu Mar 19,8,51,Stephen F. Austin,"W, 57-50",60,Neutral,25-8,,NCAA
2015,Utah,Utah,Sat Mar 21,8,22,Georgetown,"W, 75-64",58,Neutral,26-8,,NCAA
2015,Utah,Utah,Fri Mar 27,8,3,Duke,"L, 63-57",64,Neutral,26-9,,NCAA
