Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Wisconsin,Wisconsin,Fri Nov 14,6,246,Northern Kentucky,"W, 62-31",59,Home,1-0,,
2015,Wisconsin,Wisconsin,Sun Nov 16,6,166,Chattanooga,"W, 89-45",69,Home,2-0,,
2015,Wisconsin,Wisconsin,Wed Nov 19,5,71,Green Bay,"W, 84-60",66,Home,3-0,,
2015,Wisconsin,Wisconsin,Sat Nov 22,4,47,Boise St.,"W, 78-54",56,Home,4-0,,
2015,Wisconsin,Wisconsin,Wed Nov 26,4,135,UAB,"W, 72-43",63,Neutral,5-0,,
2015,Wisconsin,Wisconsin,Thu Nov 27,4,22,Georgetown,"W, 68-65",60,Neutral,6-0,,
2015,Wisconsin,Wisconsin,Fri Nov 28,4,11,Oklahoma,"W, 69-56",70,Neutral,7-0,,
2015,Wisconsin,Wisconsin,Wed Dec 3,4,3,Duke,"L, 80-70",62,Home,7-1,,
2015,Wisconsin,Wisconsin,Sat Dec 6,5,93,Marquette,"W, 49-38",54,Away,8-1,,
2015,Wisconsin,Wisconsin,Wed Dec 10,5,211,Milwaukee,"W, 93-54",68,Away,9-1,,
2015,Wisconsin,Wisconsin,Sat Dec 13,5,328,Nicholls St.,"W, 86-43",67,Home,10-1,,
2015,Wisconsin,Wisconsin,Mon Dec 22,4,113,California,"W, 68-56",61,Away,11-1,,
2015,Wisconsin,Wisconsin,Sun Dec 28,4,58,Buffalo,"W, 68-56",61,Home,12-1,,
2015,Wisconsin,Wisconsin,Wed Dec 31,4,82,Penn St.,"W, 89-72",63,Home,13-1,1-0,
2015,Wisconsin,Wisconsin,Sun Jan 4,4,122,Northwestern,"W, 81-58",64,Away,14-1,2-0,
2015,Wisconsin,Wisconsin,Wed Jan 7,4,44,Purdue,"W, 62-55",58,Home,15-1,3-0,
2015,Wisconsin,Wisconsin,Sun Jan 11,4,198,Rutgers,"L, 67-62",56,Away,15-2,3-1,
2015,Wisconsin,Wisconsin,Thu Jan 15,6,121,Nebraska,"W, 70-55",54,Home,16-2,4-1,
2015,Wisconsin,Wisconsin,Tue Jan 20,5,23,Iowa,"W, 82-50",54,Home,17-2,5-1,
2015,Wisconsin,Wisconsin,Sat Jan 24,5,74,Michigan,"W, 69-64",58,Away,18-2,6-1,
2015,Wisconsin,Wisconsin,Sat Jan 31,5,23,Iowa,"W, 74-63",57,Away,19-2,7-1,
2015,Wisconsin,Wisconsin,Tue Feb 3,5,48,Indiana,"W, 92-78",65,Home,20-2,8-1,
2015,Wisconsin,Wisconsin,Sat Feb 7,5,122,Northwestern,"W, 65-50",54,Home,21-2,9-1,
2015,Wisconsin,Wisconsin,Tue Feb 10,6,121,Nebraska,"W, 65-55",62,Away,22-2,10-1,
2015,Wisconsin,Wisconsin,Sun Feb 15,6,61,Illinois,"W, 68-49",49,Home,23-2,11-1,
2015,Wisconsin,Wisconsin,Wed Feb 18,5,82,Penn St.,"W, 55-47",57,Away,24-2,12-1,
2015,Wisconsin,Wisconsin,Sat Feb 21,5,52,Minnesota,"W, 63-53",59,Home,25-2,13-1,
2015,Wisconsin,Wisconsin,Tue Feb 24,4,33,Maryland,"L, 59-53",55,Away,25-3,13-2,
2015,Wisconsin,Wisconsin,Sun Mar 1,5,15,Michigan St.,"W, 68-61",57,Home,26-3,14-2,
2015,Wisconsin,Wisconsin,Thu Mar 5,5,52,Minnesota,"W, 76-63",61,Away,27-3,15-2,
2015,Wisconsin,Wisconsin,Sun Mar 8,5,19,Ohio St.,"W, 72-48",60,Away,28-3,16-2,
2015,Wisconsin,Wisconsin,Fri Mar 13,4,74,Michigan,"W, 71-60",54,Neutral,29-3,,Big Ten
2015,Wisconsin,Wisconsin,Sat Mar 14,4,44,Purdue,"W, 71-51",53,Neutral,30-3,,Big Ten
2015,Wisconsin,Wisconsin,Sun Mar 15,3,15,Michigan St.,"W, 80-69",64,Neutral,31-3,,Big Ten
2015,Wisconsin,Wisconsin,Fri Mar 20,3,140,Coastal Carolina,"W, 86-72",63,Neutral,32-3,,NCAA
2015,Wisconsin,Wisconsin,Sun Mar 22,3,45,Oregon,"W, 72-65",61,Neutral,33-3,,NCAA
2015,Wisconsin,Wisconsin,Thu Mar 26,3,10,North Carolina,"W, 79-72",60,Neutral,34-3,,NCAA
2015,Wisconsin,Wisconsin,Sat Mar 28,3,4,Arizona,"W, 85-78",64,Neutral,35-3,,NCAA
2015,Wisconsin,Wisconsin,Sat Apr 4,3,1,Kentucky,"W, 71-64",58,Neutral,36-3,,NCAA
2015,Wisconsin,Wisconsin,Mon Apr 6,3,3,Duke,"L, 68-63",60,Neutral,36-4,,NCAA
