Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2015,Wyoming,Wyoming,Sun Nov 16,96,252,Northern Colorado,"W, 78-70",59,Home,1-0,,
2015,Wyoming,Wyoming,Tue Nov 18,103,NR,Western St.,"W, 61-46",59,Home,2-0,,
2015,Wyoming,Wyoming,Sat Nov 22,103,92,Colorado,"W, 56-33",52,Home,3-0,,
2015,Wyoming,Wyoming,Mon Nov 24,70,350,Florida A&M,"W, 66-45",57,Home,4-0,,
2015,Wyoming,Wyoming,Wed Nov 26,68,338,Stetson,"W, 65-41",57,Home,5-0,,
2015,Wyoming,Wyoming,Sat Nov 29,68,98,New Mexico St.,"W, 78-75",66,Home,6-0,,
2015,Wyoming,Wyoming,Tue Dec 2,70,222,Denver,"W, 68-42",52,Home,7-0,,
2015,Wyoming,Wyoming,Fri Dec 5,47,26,SMU,"L, 66-53",59,Away,7-1,,
2015,Wyoming,Wyoming,Sun Dec 7,60,NR,Regis CO,"W, 70-35",58,Home,8-1,,
2015,Wyoming,Wyoming,Wed Dec 10,57,113,California,"L, 45-42",55,Away,8-2,,
2015,Wyoming,Wyoming,Sun Dec 14,57,320,Montana St.,"W, 70-61",56,Home,9-2,,
2015,Wyoming,Wyoming,Sat Dec 20,62,278,Southern,"W, 57-39",59,Home,10-2,,
2015,Wyoming,Wyoming,Tue Dec 23,54,320,Montana St.,"W, 61-51",60,Away,11-2,,
2015,Wyoming,Wyoming,Wed Dec 31,57,102,UNLV,"W, 76-71",60,Home,12-2,1-0,
2015,Wyoming,Wyoming,Sat Jan 3,61,347,San Jose St.,"W, 64-59",57,Away,13-2,2-0,
2015,Wyoming,Wyoming,Wed Jan 7,76,72,Colorado St.,"W, 60-54",67,Away,14-2,3-0,
2015,Wyoming,Wyoming,Sat Jan 10,66,47,Boise St.,"W, 65-54",56,Home,15-2,4-0,
2015,Wyoming,Wyoming,Wed Jan 14,61,31,San Diego St.,"L, 60-52",58,Home,15-3,4-1,
2015,Wyoming,Wyoming,Sat Jan 17,71,203,Fresno St.,"W, 70-65",78,Away,16-3,5-1,
2015,Wyoming,Wyoming,Sat Jan 24,74,137,New Mexico,"W, 63-62",61,Home,17-3,6-1,
2015,Wyoming,Wyoming,Tue Jan 27,75,124,Utah St.,"L, 56-44",58,Away,17-4,6-2,
2015,Wyoming,Wyoming,Sat Jan 31,89,270,Nevada,"W, 63-55",60,Home,18-4,7-2,
2015,Wyoming,Wyoming,Wed Feb 4,97,72,Colorado St.,"W, 59-48",63,Home,19-4,8-2,
2015,Wyoming,Wyoming,Sat Feb 7,87,204,Air Force,"L, 73-50",56,Away,19-5,8-3,
2015,Wyoming,Wyoming,Wed Feb 11,113,31,San Diego St.,"L, 67-41",61,Away,19-6,8-4,
2015,Wyoming,Wyoming,Sat Feb 14,124,347,San Jose St.,"W, 77-60",62,Home,20-6,9-4,
2015,Wyoming,Wyoming,Tue Feb 17,124,270,Nevada,"W, 64-58",64,Away,21-6,10-4,
2015,Wyoming,Wyoming,Wed Feb 25,119,203,Fresno St.,"L, 64-59",59,Home,21-7,10-5,
2015,Wyoming,Wyoming,Sat Feb 28,131,102,UNLV,"L, 69-57",60,Away,21-8,10-6,
2015,Wyoming,Wyoming,Wed Mar 4,136,124,Utah St.,"W, 76-53",59,Home,22-8,11-6,
2015,Wyoming,Wyoming,Sat Mar 7,117,137,New Mexico,"L, 52-49",63,Away,22-9,11-7,
2015,Wyoming,Wyoming,Thu Mar 12,120,124,Utah St.,"W, 67-65",61,Neutral,23-9,,Mountain West
2015,Wyoming,Wyoming,Fri Mar 13,119,47,Boise St.,"W, 71-66",71,Neutral,24-9,,Mountain West
2015,Wyoming,Wyoming,Sat Mar 14,112,31,San Diego St.,"W, 45-43",47,Neutral,25-9,,Mountain West
2015,Wyoming,Wyoming,Fri Mar 20,106,18,Northern Iowa,"L, 71-54",58,Neutral,25-10,,NCAA
