Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Austin Peay,Austin Peay,Fri Nov 13,280,25,Vanderbilt,"L, 80-41",71,Away,0-1,,
2016,Austin Peay,Austin Peay,Mon Nov 16,289,11,Indiana,"L, 102-76",80,Away,0-2,,
2016,Austin Peay,Austin Peay,Wed Nov 18,287,135,IPFW,"L, 80-77",70,Home,0-3,,
2016,Austin Peay,Austin Peay,Sat Nov 21,287,203,Cal Poly,"L, 73-64",72,Neutral,0-4,,
2016,Austin Peay,Austin Peay,Sun Nov 22,284,314,Northern Colorado,"W, 91-76",64,Away,1-4,,
2016,Austin Peay,Austin Peay,Wed Nov 25,266,NR,Oakland City,"W, 83-55",68,Home,2-4,,
2016,Austin Peay,Austin Peay,Sat Nov 28,270,221,Samford,"W, 74-73",64,Home,3-4,,
2016,Austin Peay,Austin Peay,Wed Dec 2,277,170,Texas A&M Corpus Chris,"L, 61-48",68,Away,3-5,,
2016,Austin Peay,Austin Peay,Sat Dec 5,285,281,Troy,"W, 80-71",68,Away,4-5,,
2016,Austin Peay,Austin Peay,Sat Dec 12,251,135,IPFW,"L, 85-68",72,Away,4-6,,
2016,Austin Peay,Austin Peay,Wed Dec 16,253,177,North Florida,"L, 80-70",73,Away,4-7,,
2016,Austin Peay,Austin Peay,Sun Dec 20,254,274,Lipscomb,"W, 92-84",75,Away,5-7,,
2016,Austin Peay,Austin Peay,Tue Dec 22,235,187,Wofford,"W, 84-77",72,Home,6-7,,
2016,Austin Peay,Austin Peay,Mon Dec 28,224,170,Texas A&M Corpus Chris,"L, 74-70",76,Home,6-8,,
2016,Austin Peay,Austin Peay,Wed Dec 30,233,NR,Westminster MO,"W, 112-61",74,Home,7-8,,
2016,Austin Peay,Austin Peay,Sat Jan 2,232,201,Eastern Kentucky,"L, 79-70",73,Home,7-9,0-1,
2016,Austin Peay,Austin Peay,Thu Jan 7,245,296,Jacksonville St.,"W, 73-54",70,Home,8-9,1-1,
2016,Austin Peay,Austin Peay,Sat Jan 9,230,196,Tennessee Tech,"L, 72-66",65,Home,8-10,1-2,
2016,Austin Peay,Austin Peay,Thu Jan 14,235,164,Tennessee St.,"L, 66-52",68,Away,8-11,1-3,
2016,Austin Peay,Austin Peay,Sat Jan 16,250,129,Belmont,"L, 76-58",76,Away,8-12,1-4,
2016,Austin Peay,Austin Peay,Thu Jan 21,246,311,SIU Edwardsville,"W, 90-86",84,Home,9-12,2-4,
2016,Austin Peay,Austin Peay,Sat Jan 23,247,266,Eastern Illinois,"L, 87-86",80,Home,9-13,2-5,
2016,Austin Peay,Austin Peay,Wed Jan 27,249,126,Morehead St.,"L, 75-65",66,Away,9-14,2-6,
2016,Austin Peay,Austin Peay,Sat Jan 30,252,340,Southeast Missouri St.,"W, 86-80",72,Away,10-14,3-6,
2016,Austin Peay,Austin Peay,Thu Feb 4,256,209,Tennessee Martin,"L, 86-77",72,Away,10-15,3-7,
2016,Austin Peay,Austin Peay,Sat Feb 6,256,163,Murray St.,"W, 76-73",67,Away,11-15,4-7,
2016,Austin Peay,Austin Peay,Wed Feb 10,251,266,Eastern Illinois,"W, 79-70",67,Away,12-15,5-7,
2016,Austin Peay,Austin Peay,Sat Feb 13,237,209,Tennessee Martin,"L, 85-84",74,Home,12-16,5-8,
2016,Austin Peay,Austin Peay,Sat Feb 20,241,163,Murray St.,"L, 76-60",59,Home,12-17,5-9,
2016,Austin Peay,Austin Peay,Thu Feb 25,252,311,SIU Edwardsville,"W, 80-75",71,Away,13-17,6-9,
2016,Austin Peay,Austin Peay,Sat Feb 27,251,340,Southeast Missouri St.,"W, 83-75",75,Home,14-17,7-9,
2016,Austin Peay,Austin Peay,Wed Mar 2,252,196,Tennessee Tech,"W, 92-72",76,Neutral,15-17,,Ohio Valley
2016,Austin Peay,Austin Peay,Thu Mar 3,234,164,Tennessee St.,"W, 74-72",72,Semi-Away,16-17,,Ohio Valley
2016,Austin Peay,Austin Peay,Fri Mar 4,232,129,Belmont,"W, 97-96",77,Semi-Away,17-17,,Ohio Valley
2016,Austin Peay,Austin Peay,Sat Mar 5,219,209,Tennessee Martin,"W, 83-73",66,Neutral,18-17,,Ohio Valley
2016,Austin Peay,Austin Peay,Thu Mar 17,209,3,Kansas,"L, 105-79",77,Neutral,18-18,,NCAA
