Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Nov 14,205,NR,San Diego Christian,"W, 93-69",75,Home,1-0,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Tue Nov 17,205,214,Idaho,"W, 68-45",63,Home,2-0,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Fri Nov 20,183,NR,Fresno Pacific,"W, 81-68",71,Home,3-0,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Wed Nov 25,191,166,Wyoming,"L, 68-64",66,Away,3-1,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sun Nov 29,191,34,Saint Mary's,"L, 94-59",69,Away,3-2,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Wed Dec 2,213,214,Idaho,"L, 67-63",70,Away,3-3,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Dec 5,211,343,Northern Arizona,"W, 72-55",69,Home,4-3,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Dec 12,196,216,South Dakota,"W, 77-67",71,Away,5-3,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Mon Dec 14,172,234,Dartmouth,"W, 69-62",70,Home,6-3,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Wed Dec 16,169,108,Fresno St.,"L, 76-68",68,Away,6-4,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Dec 19,167,NR,Menlo,"W, 82-50",69,Home,7-4,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Tue Dec 22,165,260,Portland St.,"W, 78-66",66,Home,8-4,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Mon Dec 28,156,93,Arizona St.,"L, 75-59",68,Away,8-5,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Thu Dec 31,162,304,Morgan St.,"W, 80-68",71,Home,9-5,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Jan 2,166,233,UC Riverside,"W, 67-48",65,Away,10-5,,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Jan 9,135,250,UMKC,"W, 83-72",67,Away,11-5,1-0,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Mon Jan 11,119,347,Chicago St.,"W, 67-56",67,Away,12-5,2-0,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Jan 16,114,294,Seattle,"W, 79-52",66,Away,13-5,3-0,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Thu Jan 21,99,348,UT Rio Grande Valley,"W, 77-58",64,Home,14-5,4-0,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Jan 23,102,111,New Mexico St.,"L, 68-67",77,Home,14-6,4-1,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Thu Jan 28,110,130,Grand Canyon,"L, 70-64",73,Away,14-7,4-2,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Jan 30,110,283,Utah Valley,"W, 78-74",68,Away,15-7,5-2,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Thu Feb 4,111,250,UMKC,"W, 77-66",64,Home,16-7,6-2,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Feb 6,113,347,Chicago St.,"W, 71-48",69,Home,17-7,7-2,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Feb 13,108,283,Utah Valley,"W, 91-69",81,Home,18-7,8-2,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Thu Feb 18,108,111,New Mexico St.,"L, 63-55",70,Away,18-8,8-3,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Feb 20,116,348,UT Rio Grande Valley,"W, 70-57",69,Away,19-8,9-3,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Feb 27,114,130,Grand Canyon,"W, 77-62",70,Home,20-8,10-3,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Mar 5,104,294,Seattle,"W, 93-71",78,Home,21-8,11-3,
2016,Cal St. Bakersfield,Cal St. Bakersfield,Thu Mar 10,103,347,Chicago St.,"W, 79-57",71,Neutral,22-8,,Western Athletic
2016,Cal St. Bakersfield,Cal St. Bakersfield,Fri Mar 11,104,294,Seattle,"W, 72-47",63,Neutral,23-8,,Western Athletic
2016,Cal St. Bakersfield,Cal St. Bakersfield,Sat Mar 12,98,111,New Mexico St.,"W, 57-54",59,Neutral,24-8,,Western Athletic
2016,Cal St. Bakersfield,Cal St. Bakersfield,Fri Mar 18,91,10,Oklahoma,"L, 82-68",67,Semi-Away,24-9,,NCAA
