Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Chattanooga,Chattanooga,Fri Nov 13,122,71,Georgia,"W, 92-90",84,Away,1-0,,
2016,Chattanooga,Chattanooga,Mon Nov 16,111,NR,Hiwassee,"W, 94-55",81,Home,2-0,,
2016,Chattanooga,Chattanooga,Sat Nov 21,113,125,Illinois,"W, 81-77",75,Semi-Away,3-0,,
2016,Chattanooga,Chattanooga,Mon Nov 23,103,20,Iowa St.,"L, 83-63",72,Away,3-1,,
2016,Chattanooga,Chattanooga,Fri Nov 27,105,286,Alabama St.,"W, 95-58",68,Neutral,4-1,,
2016,Chattanooga,Chattanooga,Sat Nov 28,89,296,Jacksonville St.,"W, 62-52",62,Neutral,5-1,,
2016,Chattanooga,Chattanooga,Mon Nov 30,89,133,Louisiana Monroe,"L, 64-54",61,Away,5-2,,
2016,Chattanooga,Chattanooga,Tue Dec 8,102,NR,Tennessee Wesleyan,"W, 91-63",74,Home,6-2,,
2016,Chattanooga,Chattanooga,Sat Dec 12,106,59,Dayton,"W, 61-59",63,Away,7-2,,
2016,Chattanooga,Chattanooga,Tue Dec 15,93,196,Tennessee Tech,"W, 80-69",65,Home,8-2,,
2016,Chattanooga,Chattanooga,Fri Dec 18,91,261,Kennesaw St.,"W, 78-66",65,Home,9-2,,
2016,Chattanooga,Chattanooga,Tue Dec 22,90,222,Radford,"W, 77-75",69,Home,10-2,,
2016,Chattanooga,Chattanooga,Tue Dec 29,104,274,Lipscomb,"W, 80-56",69,Away,11-2,,
2016,Chattanooga,Chattanooga,Sat Jan 2,85,312,The Citadel,"W, 84-78",76,Away,12-2,1-0,
2016,Chattanooga,Chattanooga,Tue Jan 5,91,182,Mercer,"W, 74-62",69,Home,13-2,2-0,
2016,Chattanooga,Chattanooga,Sat Jan 9,86,175,Furman,"L, 70-55",66,Away,13-3,2-1,
2016,Chattanooga,Chattanooga,Mon Jan 11,109,187,Wofford,"W, 77-68",64,Away,14-3,3-1,
2016,Chattanooga,Chattanooga,Thu Jan 14,103,194,Western Carolina,"W, 77-58",69,Home,15-3,4-1,
2016,Chattanooga,Chattanooga,Sat Jan 16,96,153,East Tennessee St.,"W, 94-84",72,Home,16-3,5-1,
2016,Chattanooga,Chattanooga,Thu Jan 21,95,220,UNC Greensboro,"W, 73-60",62,Away,17-3,6-1,
2016,Chattanooga,Chattanooga,Sat Jan 30,81,221,Samford,"W, 63-56",63,Away,18-3,7-1,
2016,Chattanooga,Chattanooga,Mon Feb 1,79,312,The Citadel,"W, 125-85",86,Home,19-3,8-1,
2016,Chattanooga,Chattanooga,Thu Feb 4,79,187,Wofford,"W, 79-63",67,Home,20-3,9-1,
2016,Chattanooga,Chattanooga,Sat Feb 6,78,175,Furman,"W, 62-54",61,Home,21-3,10-1,
2016,Chattanooga,Chattanooga,Mon Feb 8,80,182,Mercer,"W, 72-66",64,Away,22-3,11-1,
2016,Chattanooga,Chattanooga,Thu Feb 11,74,194,Western Carolina,"L, 67-61",72,Away,22-4,11-2,
2016,Chattanooga,Chattanooga,Sat Feb 13,81,153,East Tennessee St.,"W, 76-68",65,Away,23-4,12-2,
2016,Chattanooga,Chattanooga,Thu Feb 18,78,309,VMI,"W, 85-59",69,Home,24-4,13-2,
2016,Chattanooga,Chattanooga,Sat Feb 20,71,220,UNC Greensboro,"L, 79-64",63,Home,24-5,13-3,
2016,Chattanooga,Chattanooga,Sat Feb 27,105,221,Samford,"W, 77-66",66,Home,25-5,14-3,
2016,Chattanooga,Chattanooga,Mon Feb 29,106,309,VMI,"W, 67-65",70,Away,26-5,15-3,
2016,Chattanooga,Chattanooga,Sat Mar 5,107,221,Samford,"W, 59-54",63,Neutral,27-5,,Southern
2016,Chattanooga,Chattanooga,Sun Mar 6,107,194,Western Carolina,"W, 73-69",69,Neutral,28-5,,Southern
2016,Chattanooga,Chattanooga,Mon Mar 7,107,153,East Tennessee St.,"W, 73-67",68,Neutral,29-5,,Southern
2016,Chattanooga,Chattanooga,Thu Mar 17,107,11,Indiana,"L, 99-74",72,Neutral,29-6,,NCAA
