Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Nov 14,243,141,Ohio,"L, 85-75",74,Away,0-1,,
2016,Florida Gulf Coast,Florida Gulf Coast,Mon Nov 16,255,NR,Texas Wesleyan,"W, 85-62",74,Home,1-1,,
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Nov 21,250,282,Youngstown St.,"W, 104-101",104,Home,2-1,,
2016,Florida Gulf Coast,Florida Gulf Coast,Sun Nov 22,249,199,North Dakota,"W, 73-60",69,Home,3-1,,
2016,Florida Gulf Coast,Florida Gulf Coast,Mon Nov 23,239,230,Bowling Green,"L, 82-77",70,Home,3-2,,
2016,Florida Gulf Coast,Florida Gulf Coast,Fri Nov 27,258,35,Florida,"L, 70-50",69,Away,3-3,,
2016,Florida Gulf Coast,Florida Gulf Coast,Sun Nov 29,261,NR,Ave Maria,"W, 91-34",68,Home,4-3,,
2016,Florida Gulf Coast,Florida Gulf Coast,Wed Dec 2,259,18,Texas A&M,"L, 75-65",72,Away,4-4,,
2016,Florida Gulf Coast,Florida Gulf Coast,Sun Dec 6,249,228,FIU,"W, 84-76",76,Away,5-4,,
2016,Florida Gulf Coast,Florida Gulf Coast,Sun Dec 13,227,167,Massachusetts,"W, 77-76",75,Home,6-4,,
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Dec 19,216,80,South Dakota St.,"L, 56-52",66,Home,6-5,,
2016,Florida Gulf Coast,Florida Gulf Coast,Tue Dec 22,219,154,Louisiana Tech,"L, 66-63",70,Home,6-6,,
2016,Florida Gulf Coast,Florida Gulf Coast,Mon Dec 28,213,216,South Dakota,"L, 89-81",85,Semi-Away,6-7,,
2016,Florida Gulf Coast,Florida Gulf Coast,Thu Dec 31,217,267,La Salle,"W, 86-77",73,Home,7-7,,
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Jan 2,216,NR,Eckerd,"W, 68-57",70,Home,8-7,,
2016,Florida Gulf Coast,Florida Gulf Coast,Tue Jan 5,209,NR,Webber International,"W, 104-59",74,Home,9-7,,
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Jan 9,211,278,Stetson,"W, 82-53",69,Home,10-7,1-0,
2016,Florida Gulf Coast,Florida Gulf Coast,Thu Jan 14,194,202,NJIT,"W, 82-78",77,Home,11-7,2-0,
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Jan 16,190,322,USC Upstate,"W, 85-56",64,Home,12-7,3-0,
2016,Florida Gulf Coast,Florida Gulf Coast,Thu Jan 21,184,261,Kennesaw St.,"W, 79-74",68,Away,13-7,4-0,
2016,Florida Gulf Coast,Florida Gulf Coast,Sun Jan 24,173,274,Lipscomb,"L, 91-75",71,Away,13-8,4-1,
2016,Florida Gulf Coast,Florida Gulf Coast,Wed Jan 27,194,271,Jacksonville,"L, 78-69",72,Home,13-9,4-2,
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Jan 30,213,177,North Florida,"L, 82-76",69,Away,13-10,4-3,
2016,Florida Gulf Coast,Florida Gulf Coast,Mon Feb 1,209,271,Jacksonville,"L, 83-80",66,Away,13-11,4-4,
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Feb 6,207,177,North Florida,"W, 81-65",65,Home,14-11,5-4,
2016,Florida Gulf Coast,Florida Gulf Coast,Thu Feb 11,195,322,USC Upstate,"W, 71-64",71,Away,15-11,6-4,
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Feb 13,193,202,NJIT,"L, 68-59",63,Away,15-12,6-5,
2016,Florida Gulf Coast,Florida Gulf Coast,Thu Feb 18,202,274,Lipscomb,"W, 82-67",69,Home,16-12,7-5,
2016,Florida Gulf Coast,Florida Gulf Coast,Sat Feb 20,196,261,Kennesaw St.,"W, 68-63",67,Home,17-12,8-5,
2016,Florida Gulf Coast,Florida Gulf Coast,Thu Feb 25,201,278,Stetson,"L, 80-73",68,Away,17-13,8-6,
2016,Florida Gulf Coast,Florida Gulf Coast,Tue Mar 1,211,261,Kennesaw St.,"W, 74-64",63,Home,18-13,,Atlantic Sun
2016,Florida Gulf Coast,Florida Gulf Coast,Thu Mar 3,208,177,North Florida,"W, 89-56",65,Away,19-13,,Atlantic Sun
2016,Florida Gulf Coast,Florida Gulf Coast,Sun Mar 6,171,278,Stetson,"W, 80-78",73,Home,20-13,,Atlantic Sun
2016,Florida Gulf Coast,Florida Gulf Coast,Tue Mar 15,174,280,Fairleigh Dickinson,"W, 96-65",80,Neutral,21-13,,NCAA
2016,Florida Gulf Coast,Florida Gulf Coast,Thu Mar 17,162,2,North Carolina,"L, 83-67",70,Semi-Away,21-14,,NCAA
