Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Fresno St.,Fresno St.,Fri Nov 13,90,137,Pepperdine,"W, 69-66",78,Home,1-0,,
2016,Fresno St.,Fresno St.,Mon Nov 16,91,320,Lamar,"W, 80-72",75,Home,2-0,,
2016,Fresno St.,Fresno St.,Thu Nov 19,100,205,San Francisco,"W, 78-71",72,Home,3-0,,
2016,Fresno St.,Fresno St.,Sun Nov 22,100,272,Rice,"W, 82-65",71,Away,4-0,,
2016,Fresno St.,Fresno St.,Fri Nov 27,89,350,Delaware St.,"W, 80-59",66,Home,5-0,,
2016,Fresno St.,Fresno St.,Mon Nov 30,95,12,Oregon,"L, 78-73",80,Away,5-1,,
2016,Fresno St.,Fresno St.,Thu Dec 3,82,NR,Master's,"W, 84-72",71,Home,6-1,,
2016,Fresno St.,Fresno St.,Sat Dec 5,92,203,Cal Poly,"L, 77-65",64,Away,6-2,,
2016,Fresno St.,Fresno St.,Wed Dec 9,101,19,Arizona,"L, 85-72",70,Away,6-3,,
2016,Fresno St.,Fresno St.,Sat Dec 12,101,227,Pacific,"W, 71-52",69,Home,7-3,,
2016,Fresno St.,Fresno St.,Wed Dec 16,97,110,Cal St. Bakersfield,"W, 76-68",68,Home,8-3,,
2016,Fresno St.,Fresno St.,Sun Dec 20,90,72,Evansville,"L, 85-77",76,Home,8-4,,
2016,Fresno St.,Fresno St.,Sun Dec 27,109,NR,Pacific Union,"W, 89-46",70,Home,9-4,,
2016,Fresno St.,Fresno St.,Wed Dec 30,110,117,UNLV,"W, 69-66",73,Away,10-4,1-0,
2016,Fresno St.,Fresno St.,Sat Jan 2,98,115,New Mexico,"L, 77-62",75,Home,10-5,1-1,
2016,Fresno St.,Fresno St.,Wed Jan 6,128,124,Nevada,"W, 85-63",74,Home,11-5,2-1,
2016,Fresno St.,Fresno St.,Sat Jan 9,119,90,Boise St.,"L, 81-70",65,Away,11-6,2-2,
2016,Fresno St.,Fresno St.,Sat Jan 16,115,249,San Jose St.,"W, 81-74",70,Home,12-6,3-2,
2016,Fresno St.,Fresno St.,Tue Jan 19,121,46,San Diego St.,"L, 73-67",71,Away,12-7,3-3,
2016,Fresno St.,Fresno St.,Sat Jan 23,119,242,Air Force,"W, 56-55",66,Away,13-7,4-3,
2016,Fresno St.,Fresno St.,Tue Jan 26,127,166,Wyoming,"W, 71-60",63,Home,14-7,5-3,
2016,Fresno St.,Fresno St.,Wed Feb 3,126,249,San Jose St.,"L, 65-53",64,Away,14-8,5-4,
2016,Fresno St.,Fresno St.,Sat Feb 6,145,117,UNLV,"W, 111-104",95,Home,15-8,6-4,
2016,Fresno St.,Fresno St.,Wed Feb 10,136,46,San Diego St.,"W, 58-57",68,Home,16-8,7-4,
2016,Fresno St.,Fresno St.,Sat Feb 13,136,124,Nevada,"L, 77-72",76,Away,16-9,7-5,
2016,Fresno St.,Fresno St.,Wed Feb 17,132,166,Wyoming,"W, 79-75",65,Away,17-9,8-5,
2016,Fresno St.,Fresno St.,Sat Feb 20,129,134,Utah St.,"W, 75-68",67,Home,18-9,9-5,
2016,Fresno St.,Fresno St.,Wed Feb 24,129,242,Air Force,"W, 64-63",64,Home,19-9,10-5,
2016,Fresno St.,Fresno St.,Sat Feb 27,138,115,New Mexico,"W, 92-82",76,Away,20-9,11-5,
2016,Fresno St.,Fresno St.,Wed Mar 2,122,144,Colorado St.,"W, 87-73",72,Home,21-9,12-5,
2016,Fresno St.,Fresno St.,Sat Mar 5,120,134,Utah St.,"W, 86-85",75,Away,22-9,13-5,
2016,Fresno St.,Fresno St.,Thu Mar 10,120,117,UNLV,"W, 95-82",78,Away,23-9,,Mountain West
2016,Fresno St.,Fresno St.,Fri Mar 11,110,144,Colorado St.,"W, 64-56",66,Neutral,24-9,,Mountain West
2016,Fresno St.,Fresno St.,Sat Mar 12,110,46,San Diego St.,"W, 68-63",66,Neutral,25-9,,Mountain West
2016,Fresno St.,Fresno St.,Thu Mar 17,105,33,Utah,"L, 80-69",67,Neutral,25-10,,NCAA
