Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Green Bay,Green Bay,Fri Nov 13,141,101,Stanford,"L, 93-89",91,Away,0-1,,
2016,Green Bay,Green Bay,Tue Nov 17,135,153,East Tennessee St.,"L, 103-90",85,Away,0-2,,
2016,Green Bay,Green Bay,Thu Nov 19,159,51,Georgia Tech,"L, 107-77",81,Away,0-3,,
2016,Green Bay,Green Bay,Sun Nov 22,183,NR,Minnesota Duluth,"W, 94-74",83,Home,1-3,,
2016,Green Bay,Green Bay,Tue Nov 24,183,88,Akron,"W, 66-63",76,Home,2-3,,
2016,Green Bay,Green Bay,Sat Nov 28,173,266,Eastern Illinois,"W, 81-72",85,Away,3-3,,
2016,Green Bay,Green Bay,Mon Nov 30,169,311,SIU Edwardsville,"W, 87-69",71,Away,4-3,,
2016,Green Bay,Green Bay,Sun Dec 6,155,123,Toledo,"L, 71-69",70,Home,4-4,,
2016,Green Bay,Green Bay,Tue Dec 15,153,227,Pacific,"W, 93-88",80,Home,5-4,,
2016,Green Bay,Green Bay,Sun Dec 20,164,NR,Wisconsin Superior,"W, 108-57",86,Home,6-4,,
2016,Green Bay,Green Bay,Wed Dec 23,165,38,Wisconsin,"L, 84-79",82,Away,6-5,,
2016,Green Bay,Green Bay,Mon Dec 28,153,126,Morehead St.,"W, 78-72",69,Away,7-5,,
2016,Green Bay,Green Bay,Sat Jan 2,140,255,Northern Kentucky,"W, 86-70",78,Home,8-5,1-0,
2016,Green Bay,Green Bay,Mon Jan 4,131,146,Wright St.,"W, 76-68",70,Home,9-5,2-0,
2016,Green Bay,Green Bay,Thu Jan 7,129,290,Cleveland St.,"W, 87-67",78,Away,10-5,3-0,
2016,Green Bay,Green Bay,Sat Jan 9,113,282,Youngstown St.,"L, 103-93",91,Away,10-6,3-1,
2016,Green Bay,Green Bay,Thu Jan 14,131,335,Illinois Chicago,"W, 78-76",75,Away,11-6,4-1,
2016,Green Bay,Green Bay,Sat Jan 16,136,42,Valparaiso,"L, 85-70",79,Away,11-7,4-2,
2016,Green Bay,Green Bay,Tue Jan 19,136,347,Chicago St.,"W, 99-66",82,Away,12-7,,
2016,Green Bay,Green Bay,Sat Jan 23,123,79,Oakland,"L, 111-95",84,Home,12-8,4-3,
2016,Green Bay,Green Bay,Mon Jan 25,144,173,Detroit,"W, 115-108",98,Home,13-8,5-3,
2016,Green Bay,Green Bay,Fri Jan 29,150,114,Milwaukee,"L, 95-94",73,Away,13-9,5-4,
2016,Green Bay,Green Bay,Thu Feb 4,140,255,Northern Kentucky,"W, 85-78",79,Away,14-9,6-4,
2016,Green Bay,Green Bay,Sat Feb 6,137,146,Wright St.,"L, 79-60",73,Away,14-10,6-5,
2016,Green Bay,Green Bay,Thu Feb 11,146,173,Detroit,"W, 86-85",77,Away,15-10,7-5,
2016,Green Bay,Green Bay,Sat Feb 13,144,79,Oakland,"L, 111-93",88,Away,15-11,7-6,
2016,Green Bay,Green Bay,Mon Feb 15,142,114,Milwaukee,"W, 70-68",68,Home,16-11,8-6,
2016,Green Bay,Green Bay,Sat Feb 20,144,282,Youngstown St.,"W, 107-90",73,Home,17-11,9-6,
2016,Green Bay,Green Bay,Mon Feb 22,144,290,Cleveland St.,"W, 78-61",72,Home,18-11,10-6,
2016,Green Bay,Green Bay,Fri Feb 26,139,335,Illinois Chicago,"W, 85-69",77,Home,19-11,11-6,
2016,Green Bay,Green Bay,Sun Feb 28,142,42,Valparaiso,"L, 70-68",67,Home,19-12,11-7,
2016,Green Bay,Green Bay,Sat Mar 5,137,290,Cleveland St.,"W, 65-53",71,Neutral,20-12,,Horizon League
2016,Green Bay,Green Bay,Sun Mar 6,133,114,Milwaukee,"W, 70-61",72,Neutral,21-12,,Horizon League
2016,Green Bay,Green Bay,Mon Mar 7,126,42,Valparaiso,"W, 99-92",83,Neutral,22-12,,Horizon League
2016,Green Bay,Green Bay,Tue Mar 8,115,146,Wright St.,"W, 78-69",71,Neutral,23-12,,Horizon League
2016,Green Bay,Green Bay,Fri Mar 18,114,18,Texas A&M,"L, 92-65",78,Neutral,23-13,,NCAA
