Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Hampton,Hampton,Sat Nov 14,296,157,Winthrop,"L, 102-95",86,Away,0-1,,
2016,Hampton,Hampton,Tue Nov 17,292,319,American,"W, 61-48",61,Away,1-1,,
2016,Hampton,Hampton,Fri Nov 20,247,258,Appalachian St.,"W, 82-61",78,Home,2-1,,
2016,Hampton,Hampton,Wed Nov 25,228,87,William & Mary,"L, 86-67",71,Away,2-2,,
2016,Hampton,Hampton,Mon Nov 30,226,130,Grand Canyon,"L, 63-51",63,Away,2-3,,
2016,Hampton,Hampton,Wed Dec 2,240,343,Northern Arizona,"W, 98-94",89,Away,3-3,,
2016,Hampton,Hampton,Sat Dec 5,226,333,Coppin St.,"W, 74-71",81,Away,4-3,1-0,
2016,Hampton,Hampton,Thu Dec 17,228,16,SMU,"L, 105-72",69,Away,4-4,,
2016,Hampton,Hampton,Sat Dec 19,227,57,Colorado,"L, 95-53",75,Away,4-5,,
2016,Hampton,Hampton,Tue Dec 22,244,331,Nicholls St.,"L, 84-81",74,Neutral,4-6,,
2016,Hampton,Hampton,Wed Dec 23,259,133,Louisiana Monroe,"W, 75-64",71,Neutral,5-6,,
2016,Hampton,Hampton,Sun Jan 3,234,70,Princeton,"L, 89-59",71,Home,5-7,,
2016,Hampton,Hampton,Wed Jan 6,263,304,Morgan St.,"W, 83-80",82,Away,6-7,2-0,
2016,Hampton,Hampton,Sat Jan 9,263,306,Bethune Cookman,"W, 75-70",70,Home,7-7,3-0,
2016,Hampton,Hampton,Mon Jan 11,261,349,Florida A&M,"W, 71-65",82,Home,8-7,4-0,
2016,Hampton,Hampton,Sat Jan 16,266,339,North Carolina A&T,"W, 79-62",71,Away,9-7,5-0,
2016,Hampton,Hampton,Mon Jan 18,246,302,North Carolina Central,"W, 80-79",73,Away,10-7,6-0,
2016,Hampton,Hampton,Sat Jan 23,237,332,Savannah St.,"W, 75-52",71,Home,11-7,7-0,
2016,Hampton,Hampton,Mon Jan 25,231,268,South Carolina St.,"L, 67-62",71,Home,11-8,7-1,
2016,Hampton,Hampton,Sat Jan 30,238,252,Norfolk St.,"W, 86-76",75,Home,12-8,8-1,
2016,Hampton,Hampton,Tue Feb 2,227,NR,Washington Adventist,"W, 69-67",79,Home,13-8,,
2016,Hampton,Hampton,Sat Feb 6,232,318,Maryland Eastern Shore,"L, 73-70",73,Away,13-9,8-2,
2016,Hampton,Hampton,Mon Feb 8,233,329,Howard,"W, 68-65",75,Away,14-9,9-2,
2016,Hampton,Hampton,Mon Feb 15,234,304,Morgan St.,"W, 87-79",75,Home,15-9,10-2,
2016,Hampton,Hampton,Mon Feb 22,235,350,Delaware St.,"W, 82-72",68,Away,16-9,11-2,
2016,Hampton,Hampton,Sat Feb 27,231,329,Howard,"W, 68-67",71,Home,17-9,12-2,
2016,Hampton,Hampton,Mon Feb 29,239,350,Delaware St.,"W, 79-65",73,Home,18-9,13-2,
2016,Hampton,Hampton,Thu Mar 3,238,252,Norfolk St.,"L, 83-63",72,Away,18-10,13-3,
2016,Hampton,Hampton,Wed Mar 9,251,304,Morgan St.,"W, 83-81",72,Neutral,19-10,,Mid-Eastern Athletic
2016,Hampton,Hampton,Fri Mar 11,252,332,Savannah St.,"W, 89-55",71,Neutral,20-10,,Mid-Eastern Athletic
2016,Hampton,Hampton,Sat Mar 12,228,268,South Carolina St.,"W, 81-69",69,Neutral,21-10,,Mid-Eastern Athletic
2016,Hampton,Hampton,Thu Mar 17,225,4,Virginia,"L, 81-45",60,Neutral,21-11,,NCAA
