Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Hawaii,Hawaii,Fri Nov 13,93,246,Montana St.,"W, 87-76",73,Home,1-0,,
2016,Hawaii,Hawaii,Sun Nov 15,101,176,Coastal Carolina,"W, 74-63",75,Home,2-0,,
2016,Hawaii,Hawaii,Mon Nov 16,99,124,Nevada,"W, 76-75",79,Home,3-0,,
2016,Hawaii,Hawaii,Sun Nov 22,104,331,Nicholls St.,"W, 99-74",69,Home,4-0,,
2016,Hawaii,Hawaii,Sat Nov 28,101,54,Texas Tech,"L, 82-74",78,Away,4-1,,
2016,Hawaii,Hawaii,Wed Dec 2,104,344,Arkansas Pine Bluff,"W, 75-47",71,Home,5-1,,
2016,Hawaii,Hawaii,Tue Dec 8,96,NR,Hawaii Hilo,"W, 86-67",80,Home,6-1,,
2016,Hawaii,Hawaii,Sat Dec 12,98,NR,Hawaii Pacific,"W, 83-71",72,Home,7-1,,
2016,Hawaii,Hawaii,Tue Dec 22,99,67,Northern Iowa,"W, 68-52",66,Home,8-1,,
2016,Hawaii,Hawaii,Wed Dec 23,77,10,Oklahoma,"L, 84-81",74,Home,8-2,,
2016,Hawaii,Hawaii,Fri Dec 25,70,189,Auburn,"W, 79-67",70,Home,9-2,,
2016,Hawaii,Hawaii,Tue Dec 29,67,341,Mississippi Valley St.,"W, 77-48",69,Home,10-2,,
2016,Hawaii,Hawaii,Sat Jan 2,65,329,Howard,"W, 94-59",81,Home,11-2,,
2016,Hawaii,Hawaii,Wed Jan 6,54,203,Cal Poly,"W, 86-73",71,Home,12-2,1-0,
2016,Hawaii,Hawaii,Sat Jan 9,50,105,UC Santa Barbara,"W, 65-57",71,Home,13-2,2-0,
2016,Hawaii,Hawaii,Thu Jan 14,55,233,UC Riverside,"W, 80-71",70,Away,14-2,3-0,
2016,Hawaii,Hawaii,Sat Jan 16,53,264,Cal St. Fullerton,"W, 86-79",77,Away,15-2,4-0,
2016,Hawaii,Hawaii,Sat Jan 23,61,241,UC Davis,"W, 78-62",63,Home,16-2,5-0,
2016,Hawaii,Hawaii,Sat Jan 30,60,107,Long Beach St.,"L, 78-64",73,Home,16-3,5-1,
2016,Hawaii,Hawaii,Thu Feb 4,88,105,UC Santa Barbara,"W, 76-64",72,Away,17-3,6-1,
2016,Hawaii,Hawaii,Sat Feb 6,72,203,Cal Poly,"W, 75-60",66,Away,18-3,7-1,
2016,Hawaii,Hawaii,Thu Feb 11,60,84,UC Irvine,"W, 74-52",68,Home,19-3,8-1,
2016,Hawaii,Hawaii,Sat Feb 13,52,264,Cal St. Fullerton,"W, 76-59",73,Home,20-3,9-1,
2016,Hawaii,Hawaii,Thu Feb 18,51,239,Cal St. Northridge,"W, 69-63",68,Away,21-3,10-1,
2016,Hawaii,Hawaii,Sat Feb 20,52,84,UC Irvine,"W, 75-71",67,Away,22-3,11-1,
2016,Hawaii,Hawaii,Thu Feb 25,50,233,UC Riverside,"L, 77-71",69,Home,22-4,11-2,
2016,Hawaii,Hawaii,Sat Feb 27,67,239,Cal St. Northridge,"W, 89-78",83,Home,23-4,12-2,
2016,Hawaii,Hawaii,Thu Mar 3,67,241,UC Davis,"W, 67-65",68,Away,24-4,13-2,
2016,Hawaii,Hawaii,Sat Mar 5,73,107,Long Beach St.,"L, 74-72",74,Away,24-5,13-3,
2016,Hawaii,Hawaii,Thu Mar 10,73,264,Cal St. Fullerton,"W, 75-44",66,Neutral,25-5,,Big West
2016,Hawaii,Hawaii,Fri Mar 11,66,105,UC Santa Barbara,"W, 88-76",75,Neutral,26-5,,Big West
2016,Hawaii,Hawaii,Sat Mar 12,62,107,Long Beach St.,"W, 64-60",66,Neutral,27-5,,Big West
2016,Hawaii,Hawaii,Fri Mar 18,60,28,California,"W, 77-66",73,Neutral,28-5,,NCAA
2016,Hawaii,Hawaii,Sun Mar 20,50,22,Maryland,"L, 73-60",70,Neutral,28-6,,NCAA
