Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Holy Cross,Holy Cross,Fri Nov 13,257,307,Marist,"W, 67-64",66,Away,1-0,,
2016,Holy Cross,Holy Cross,Mon Nov 16,250,265,Brown,"L, 71-55",71,Away,1-1,,
2016,Holy Cross,Holy Cross,Thu Nov 19,270,235,New Hampshire,"L, 73-69",61,Home,1-2,,
2016,Holy Cross,Holy Cross,Sun Nov 22,263,291,Quinnipiac,"L, 62-56",56,Away,1-3,,
2016,Holy Cross,Holy Cross,Wed Nov 25,277,300,Sacred Heart,"W, 69-60",61,Home,2-3,,
2016,Holy Cross,Holy Cross,Sun Nov 29,271,171,Harvard,"W, 50-49",60,Home,3-3,,
2016,Holy Cross,Holy Cross,Wed Dec 2,269,82,Rhode Island,"L, 74-56",66,Away,3-4,,
2016,Holy Cross,Holy Cross,Sat Dec 5,268,121,Albany,"L, 88-84",71,Home,3-5,,
2016,Holy Cross,Holy Cross,Wed Dec 9,267,3,Kansas,"L, 92-59",66,Away,3-6,,
2016,Holy Cross,Holy Cross,Sat Dec 12,267,324,Hartford,"W, 90-68",70,Away,4-6,,
2016,Holy Cross,Holy Cross,Mon Dec 21,242,336,Maine,"W, 76-75",82,Home,5-6,,
2016,Holy Cross,Holy Cross,Wed Dec 30,249,231,Boston University,"W, 80-64",65,Home,6-6,1-0,
2016,Holy Cross,Holy Cross,Sat Jan 2,222,204,Navy,"L, 65-60",59,Away,6-7,1-1,
2016,Holy Cross,Holy Cross,Wed Jan 6,228,256,Colgate,"W, 65-63",65,Home,7-7,2-1,
2016,Holy Cross,Holy Cross,Sat Jan 9,236,172,Bucknell,"L, 98-71",77,Away,7-8,2-2,
2016,Holy Cross,Holy Cross,Wed Jan 13,247,326,Lafayette,"L, 65-52",69,Away,7-9,2-3,
2016,Holy Cross,Holy Cross,Sat Jan 16,258,191,Lehigh,"L, 87-66",66,Home,7-10,2-4,
2016,Holy Cross,Holy Cross,Wed Jan 20,294,254,Army,"W, 69-65",69,Home,8-10,3-4,
2016,Holy Cross,Holy Cross,Sun Jan 24,292,256,Colgate,"L, 76-61",61,Away,8-11,3-5,
2016,Holy Cross,Holy Cross,Wed Jan 27,296,288,Loyola MD,"L, 71-54",66,Home,8-12,3-6,
2016,Holy Cross,Holy Cross,Sat Jan 30,315,204,Navy,"W, 87-80",73,Home,9-12,4-6,
2016,Holy Cross,Holy Cross,Mon Feb 1,306,319,American,"L, 58-45",59,Away,9-13,4-7,
2016,Holy Cross,Holy Cross,Sat Feb 6,312,172,Bucknell,"L, 77-52",62,Home,9-14,4-8,
2016,Holy Cross,Holy Cross,Wed Feb 10,324,326,Lafayette,"W, 67-53",63,Home,10-14,5-8,
2016,Holy Cross,Holy Cross,Mon Feb 15,320,191,Lehigh,"L, 64-59",66,Away,10-15,5-9,
2016,Holy Cross,Holy Cross,Wed Feb 17,315,254,Army,"L, 72-68",68,Away,10-16,5-10,
2016,Holy Cross,Holy Cross,Sun Feb 21,310,319,American,"L, 71-70",71,Home,10-17,5-11,
2016,Holy Cross,Holy Cross,Wed Feb 24,312,288,Loyola MD,"L, 78-63",68,Away,10-18,5-12,
2016,Holy Cross,Holy Cross,Sat Feb 27,318,231,Boston University,"L, 83-68",66,Away,10-19,5-13,
2016,Holy Cross,Holy Cross,Tue Mar 1,320,288,Loyola MD,"W, 72-67",62,Away,11-19,,Patriot League
2016,Holy Cross,Holy Cross,Thu Mar 3,312,172,Bucknell,"W, 77-72",74,Away,12-19,,Patriot League
2016,Holy Cross,Holy Cross,Sun Mar 6,302,254,Army,"W, 60-38",62,Away,13-19,,Patriot League
2016,Holy Cross,Holy Cross,Wed Mar 9,281,191,Lehigh,"W, 59-56",55,Away,14-19,,Patriot League
2016,Holy Cross,Holy Cross,Wed Mar 16,268,229,Southern,"W, 59-55",61,Neutral,15-19,,NCAA
2016,Holy Cross,Holy Cross,Fri Mar 18,264,12,Oregon,"L, 91-52",66,Neutral,15-20,,NCAA
