Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Iowa,Iowa,Fri Nov 13,36,236,Gardner Webb,"W, 76-59",72,Home,1-0,,
2016,Iowa,Iowa,Sun Nov 15,33,333,Coppin St.,"W, 103-68",82,Home,2-0,,
2016,Iowa,Iowa,Thu Nov 19,34,97,Marquette,"W, 89-61",74,Away,3-0,,
2016,Iowa,Iowa,Thu Nov 26,20,59,Dayton,"L, 82-77",73,Neutral,3-1,,
2016,Iowa,Iowa,Fri Nov 27,26,36,Notre Dame,"L, 68-62",62,Neutral,3-2,,
2016,Iowa,Iowa,Sun Nov 29,29,13,Wichita St.,"W, 84-61",64,Neutral,4-2,,
2016,Iowa,Iowa,Wed Dec 2,21,48,Florida St.,"W, 78-75",77,Home,5-2,,
2016,Iowa,Iowa,Sat Dec 5,22,250,UMKC,"W, 95-75",71,Home,6-2,,
2016,Iowa,Iowa,Mon Dec 7,21,232,Western Illinois,"W, 90-56",74,Home,7-2,,
2016,Iowa,Iowa,Thu Dec 10,18,20,Iowa St.,"L, 83-82",75,Away,7-3,,
2016,Iowa,Iowa,Sat Dec 19,13,262,Drake,"W, 70-64",59,Neutral,8-3,,
2016,Iowa,Iowa,Tue Dec 22,18,196,Tennessee Tech,"W, 85-63",74,Home,9-3,,
2016,Iowa,Iowa,Tue Dec 29,17,5,Michigan St.,"W, 83-70",71,Home,10-3,1-0,
2016,Iowa,Iowa,Sat Jan 2,14,9,Purdue,"W, 70-63",66,Away,11-3,2-0,
2016,Iowa,Iowa,Tue Jan 5,10,85,Nebraska,"W, 77-66",63,Home,12-3,3-0,
2016,Iowa,Iowa,Thu Jan 14,11,5,Michigan St.,"W, 76-59",69,Away,13-3,4-0,
2016,Iowa,Iowa,Sun Jan 17,4,50,Michigan,"W, 82-71",63,Home,14-3,5-0,
2016,Iowa,Iowa,Thu Jan 21,2,279,Rutgers,"W, 90-76",72,Away,15-3,6-0,
2016,Iowa,Iowa,Sun Jan 24,4,9,Purdue,"W, 83-71",74,Home,16-3,7-0,
2016,Iowa,Iowa,Thu Jan 28,2,22,Maryland,"L, 74-68",70,Away,16-4,7-1,
2016,Iowa,Iowa,Sun Jan 31,2,68,Northwestern,"W, 85-71",72,Home,17-4,8-1,
2016,Iowa,Iowa,Wed Feb 3,2,140,Penn St.,"W, 73-49",67,Home,18-4,9-1,
2016,Iowa,Iowa,Sun Feb 7,2,125,Illinois,"W, 77-65",71,Away,19-4,10-1,
2016,Iowa,Iowa,Thu Feb 11,2,11,Indiana,"L, 85-78",64,Away,19-5,10-2,
2016,Iowa,Iowa,Sun Feb 14,3,192,Minnesota,"W, 75-71",69,Home,20-5,11-2,
2016,Iowa,Iowa,Wed Feb 17,5,140,Penn St.,"L, 79-75",70,Away,20-6,11-3,
2016,Iowa,Iowa,Wed Feb 24,9,38,Wisconsin,"L, 67-59",61,Home,20-7,11-4,
2016,Iowa,Iowa,Sun Feb 28,14,76,Ohio St.,"L, 68-64",68,Away,20-8,11-5,
2016,Iowa,Iowa,Tue Mar 1,14,11,Indiana,"L, 81-78",71,Home,20-9,11-6,
2016,Iowa,Iowa,Sat Mar 5,19,50,Michigan,"W, 71-61",70,Away,21-9,12-6,
2016,Iowa,Iowa,Thu Mar 10,17,125,Illinois,"L, 68-66",68,Neutral,21-10,,Big Ten
2016,Iowa,Iowa,Fri Mar 18,19,86,Temple,"W, 72-70",69,Neutral,22-10,,NCAA
2016,Iowa,Iowa,Sun Mar 20,22,1,Villanova,"L, 87-68",69,Neutral,22-11,,NCAA
