Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Little Rock,Arkansas Little Rock,Sat Nov 14,212,NR,Central Baptist,"W, 76-57",76,Home,1-0,,
2016,Little Rock,Arkansas Little Rock,Wed Nov 18,213,NR,Centenary,"W, 95-49",70,Home,2-0,,
2016,Little Rock,Arkansas Little Rock,Sat Nov 21,212,46,San Diego St.,"W, 49-43",59,Away,3-0,,
2016,Little Rock,Arkansas Little Rock,Thu Nov 26,175,190,East Carolina,"W, 54-46",64,Neutral,4-0,,
2016,Little Rock,Arkansas Little Rock,Sat Nov 28,164,65,Tulsa,"W, 64-60",59,Away,5-0,,
2016,Little Rock,Arkansas Little Rock,Tue Dec 1,133,321,Central Arkansas,"W, 79-73",68,Home,6-0,,
2016,Little Rock,Arkansas Little Rock,Sat Dec 5,137,214,Idaho,"W, 64-54",58,Away,7-0,,
2016,Little Rock,Arkansas Little Rock,Sat Dec 12,121,183,DePaul,"W, 66-44",61,Away,8-0,,
2016,Little Rock,Arkansas Little Rock,Wed Dec 16,80,321,Central Arkansas,"W, 77-54",67,Away,9-0,,
2016,Little Rock,Arkansas Little Rock,Sun Dec 20,67,343,Northern Arizona,"W, 84-57",67,Home,10-0,,
2016,Little Rock,Arkansas Little Rock,Tue Dec 22,58,54,Texas Tech,"L, 65-53",67,Away,10-1,,
2016,Little Rock,Arkansas Little Rock,Wed Dec 30,57,259,South Alabama,"W, 69-60",63,Away,11-1,1-0,
2016,Little Rock,Arkansas Little Rock,Sat Jan 2,49,281,Troy,"W, 67-61",63,Away,12-1,2-0,
2016,Little Rock,Arkansas Little Rock,Thu Jan 7,47,112,Louisiana Lafayette,"W, 77-57",71,Home,13-1,3-0,
2016,Little Rock,Arkansas Little Rock,Sat Jan 9,42,133,Louisiana Monroe,"W, 58-57",58,Home,14-1,4-0,
2016,Little Rock,Arkansas Little Rock,Thu Jan 14,48,258,Appalachian St.,"W, 81-55",65,Home,15-1,5-0,
2016,Little Rock,Arkansas Little Rock,Mon Jan 18,42,251,Arkansas St.,"L, 76-73",73,Away,15-2,5-1,
2016,Little Rock,Arkansas Little Rock,Thu Jan 21,51,212,Texas St.,"W, 77-74",71,Away,16-2,6-1,
2016,Little Rock,Arkansas Little Rock,Sat Jan 23,53,102,UT Arlington,"W, 68-62",70,Away,17-2,7-1,
2016,Little Rock,Arkansas Little Rock,Thu Jan 28,44,210,Georgia Southern,"W, 80-67",64,Home,18-2,8-1,
2016,Little Rock,Arkansas Little Rock,Sat Jan 30,47,180,Georgia St.,"W, 63-53",62,Home,19-2,9-1,
2016,Little Rock,Arkansas Little Rock,Thu Feb 4,47,281,Troy,"W, 72-49",59,Home,20-2,10-1,
2016,Little Rock,Arkansas Little Rock,Sat Feb 6,44,259,South Alabama,"W, 74-43",63,Home,21-2,11-1,
2016,Little Rock,Arkansas Little Rock,Thu Feb 11,41,133,Louisiana Monroe,"L, 86-82",73,Away,21-3,11-2,
2016,Little Rock,Arkansas Little Rock,Sat Feb 13,46,112,Louisiana Lafayette,"W, 68-64",61,Away,22-3,12-2,
2016,Little Rock,Arkansas Little Rock,Thu Feb 18,44,180,Georgia St.,"W, 57-49",59,Away,23-3,13-2,
2016,Little Rock,Arkansas Little Rock,Sat Feb 20,41,210,Georgia Southern,"W, 75-61",63,Away,24-3,14-2,
2016,Little Rock,Arkansas Little Rock,Thu Feb 25,37,102,UT Arlington,"W, 72-60",67,Home,25-3,15-2,
2016,Little Rock,Arkansas Little Rock,Sat Feb 27,35,212,Texas St.,"W, 73-68",61,Home,26-3,16-2,
2016,Little Rock,Arkansas Little Rock,Tue Mar 1,42,251,Arkansas St.,"W, 89-80",67,Home,27-3,17-2,
2016,Little Rock,Arkansas Little Rock,Thu Mar 3,45,258,Appalachian St.,"L, 69-63",66,Away,27-4,17-3,
2016,Little Rock,Arkansas Little Rock,Sat Mar 12,57,112,Louisiana Lafayette,"W, 72-65",66,Neutral,28-4,,Sun Belt
2016,Little Rock,Arkansas Little Rock,Sun Mar 13,56,133,Louisiana Monroe,"W, 70-50",60,Neutral,29-4,,Sun Belt
2016,Little Rock,Arkansas Little Rock,Thu Mar 17,47,9,Purdue,"W, 85-83",84,Neutral,30-4,,NCAA
2016,Little Rock,Arkansas Little Rock,Sat Mar 19,43,20,Iowa St.,"L, 78-61",63,Neutral,30-5,,NCAA
