Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Miami FL,Miami FL,Fri Nov 13,21,348,UT Rio Grande Valley,"W, 86-59",70,Home,1-0,,
2016,Miami FL,Miami FL,Mon Nov 16,25,112,Louisiana Lafayette,"W, 93-77",69,Home,2-0,,
2016,Miami FL,Miami FL,Thu Nov 19,23,78,Mississippi St.,"W, 105-79",77,Neutral,3-0,,
2016,Miami FL,Miami FL,Fri Nov 20,16,33,Utah,"W, 90-66",67,Neutral,4-0,,
2016,Miami FL,Miami FL,Sun Nov 22,11,30,Butler,"W, 85-75",67,Neutral,5-0,,
2016,Miami FL,Miami FL,Fri Nov 27,10,132,Northeastern,"L, 78-77",67,Home,5-1,,
2016,Miami FL,Miami FL,Tue Dec 1,17,85,Nebraska,"W, 77-72",73,Away,6-1,,
2016,Miami FL,Miami FL,Sat Dec 5,16,193,Charlotte,"W, 88-60",73,Home,7-1,,
2016,Miami FL,Miami FL,Tue Dec 8,18,35,Florida,"W, 66-55",66,Home,8-1,,
2016,Miami FL,Miami FL,Sat Dec 19,12,122,College of Charleston,"W, 85-63",77,Home,9-1,,
2016,Miami FL,Miami FL,Tue Dec 22,11,267,La Salle,"W, 95-49",71,Away,10-1,,
2016,Miami FL,Miami FL,Tue Dec 29,11,70,Princeton,"W, 76-64",64,Home,11-1,,
2016,Miami FL,Miami FL,Sat Jan 2,12,27,Syracuse,"W, 64-51",69,Home,12-1,1-0,
2016,Miami FL,Miami FL,Sat Jan 9,10,48,Florida St.,"W, 72-59",72,Home,13-1,2-0,
2016,Miami FL,Miami FL,Tue Jan 12,8,4,Virginia,"L, 66-58",58,Away,13-2,2-1,
2016,Miami FL,Miami FL,Sat Jan 16,11,45,Clemson,"L, 76-65",61,Away,13-3,2-2,
2016,Miami FL,Miami FL,Wed Jan 20,13,225,Boston College,"W, 67-53",71,Away,14-3,3-2,
2016,Miami FL,Miami FL,Sat Jan 23,13,118,Wake Forest,"W, 77-63",68,Home,15-3,4-2,
2016,Miami FL,Miami FL,Mon Jan 25,11,17,Duke,"W, 80-69",63,Home,16-3,5-2,
2016,Miami FL,Miami FL,Sat Jan 30,8,74,N.C. State,"L, 85-69",69,Away,16-4,5-3,
2016,Miami FL,Miami FL,Wed Feb 3,17,36,Notre Dame,"W, 79-70",63,Home,17-4,6-3,
2016,Miami FL,Miami FL,Sun Feb 7,13,51,Georgia Tech,"W, 75-68",63,Away,18-4,7-3,
2016,Miami FL,Miami FL,Tue Feb 9,12,37,Pittsburgh,"W, 65-63",59,Home,19-4,8-3,
2016,Miami FL,Miami FL,Sun Feb 14,12,48,Florida St.,"W, 67-65",68,Away,20-4,9-3,
2016,Miami FL,Miami FL,Wed Feb 17,13,63,Virginia Tech,"W, 65-49",62,Home,21-4,10-3,
2016,Miami FL,Miami FL,Sat Feb 20,12,2,North Carolina,"L, 96-71",68,Away,21-5,10-4,
2016,Miami FL,Miami FL,Mon Feb 22,15,4,Virginia,"W, 64-61",54,Home,22-5,11-4,
2016,Miami FL,Miami FL,Sat Feb 27,14,7,Louisville,"W, 73-65",58,Home,23-5,12-4,
2016,Miami FL,Miami FL,Wed Mar 2,11,36,Notre Dame,"W, 68-50",57,Away,24-5,13-4,
2016,Miami FL,Miami FL,Sat Mar 5,9,63,Virginia Tech,"L, 77-62",66,Away,24-6,13-5,
2016,Miami FL,Miami FL,Thu Mar 10,12,63,Virginia Tech,"W, 88-82",74,Neutral,25-6,,Atlantic Coast
2016,Miami FL,Miami FL,Fri Mar 11,12,4,Virginia,"L, 73-68",64,Neutral,25-7,,Atlantic Coast
2016,Miami FL,Miami FL,Thu Mar 17,13,138,Buffalo,"W, 79-72",72,Neutral,26-7,,NCAA
2016,Miami FL,Miami FL,Sat Mar 19,15,13,Wichita St.,"W, 65-57",64,Neutral,27-7,,NCAA
2016,Miami FL,Miami FL,Thu Mar 24,11,1,Villanova,"L, 92-69",59,Neutral,27-8,,NCAA
