Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Stony Brook,Stony Brook,Sat Nov 14,87,NR,US Merchant Marine,"W, 103-32",74,Home,1-0,,
2016,Stony Brook,Stony Brook,Thu Nov 19,86,25,Vanderbilt,"L, 79-72",76,Away,1-1,,
2016,Stony Brook,Stony Brook,Sat Nov 21,80,169,Western Kentucky,"L, 67-66",67,Away,1-2,,
2016,Stony Brook,Stony Brook,Tue Nov 24,85,288,Loyola MD,"W, 76-63",68,Away,2-2,,
2016,Stony Brook,Stony Brook,Sat Nov 28,66,NR,Farmingdale St.,"W, 91-42",64,Home,3-2,,
2016,Stony Brook,Stony Brook,Sat Dec 5,67,70,Princeton,"W, 91-77",74,Home,4-2,,
2016,Stony Brook,Stony Brook,Tue Dec 8,57,36,Notre Dame,"L, 86-61",67,Away,4-3,,
2016,Stony Brook,Stony Brook,Sat Dec 12,77,132,Northeastern,"L, 75-62",70,Away,4-4,,
2016,Stony Brook,Stony Brook,Thu Dec 17,90,319,American,"W, 86-68",68,Away,5-4,,
2016,Stony Brook,Stony Brook,Sun Dec 20,83,92,Hofstra,"W, 71-68",66,Home,6-4,,
2016,Stony Brook,Stony Brook,Tue Dec 22,88,191,Lehigh,"W, 75-62",70,Away,7-4,,
2016,Stony Brook,Stony Brook,Mon Dec 28,79,202,NJIT,"W, 83-61",70,Away,8-4,,
2016,Stony Brook,Stony Brook,Sat Jan 2,63,113,Columbia,"W, 69-60",65,Home,9-4,,
2016,Stony Brook,Stony Brook,Wed Jan 6,64,325,Binghamton,"W, 62-52",63,Away,10-4,1-0,
2016,Stony Brook,Stony Brook,Sat Jan 9,63,315,UMass Lowell,"W, 86-59",68,Home,11-4,2-0,
2016,Stony Brook,Stony Brook,Wed Jan 13,69,334,UMBC,"W, 86-74",65,Home,12-4,3-0,
2016,Stony Brook,Stony Brook,Sat Jan 16,80,235,New Hampshire,"W, 80-50",67,Away,13-4,4-0,
2016,Stony Brook,Stony Brook,Mon Jan 18,58,324,Hartford,"W, 77-43",66,Away,14-4,5-0,
2016,Stony Brook,Stony Brook,Fri Jan 22,50,121,Albany,"W, 69-63",66,Home,15-4,6-0,
2016,Stony Brook,Stony Brook,Mon Jan 25,52,336,Maine,"W, 81-54",67,Home,16-4,7-0,
2016,Stony Brook,Stony Brook,Sat Jan 30,54,151,Vermont,"W, 72-61",67,Away,17-4,8-0,
2016,Stony Brook,Stony Brook,Wed Feb 3,46,325,Binghamton,"W, 76-51",62,Home,18-4,9-0,
2016,Stony Brook,Stony Brook,Sat Feb 6,41,315,UMass Lowell,"W, 91-73",75,Away,19-4,10-0,
2016,Stony Brook,Stony Brook,Mon Feb 8,44,324,Hartford,"W, 85-72",70,Home,20-4,11-0,
2016,Stony Brook,Stony Brook,Thu Feb 11,49,334,UMBC,"W, 75-52",69,Away,21-4,12-0,
2016,Stony Brook,Stony Brook,Sun Feb 14,45,235,New Hampshire,"W, 59-58",62,Home,22-4,13-0,
2016,Stony Brook,Stony Brook,Wed Feb 17,53,121,Albany,"L, 82-70",72,Away,22-5,13-1,
2016,Stony Brook,Stony Brook,Sun Feb 21,58,336,Maine,"W, 75-56",72,Away,23-5,14-1,
2016,Stony Brook,Stony Brook,Sat Feb 27,55,151,Vermont,"L, 76-62",69,Home,23-6,14-2,
2016,Stony Brook,Stony Brook,Wed Mar 2,76,334,UMBC,"W, 86-76",63,Home,24-6,,America East
2016,Stony Brook,Stony Brook,Mon Mar 7,88,324,Hartford,"W, 80-64",66,Home,25-6,,America East
2016,Stony Brook,Stony Brook,Sat Mar 12,91,151,Vermont,"W, 80-74",69,Home,26-6,,America East
2016,Stony Brook,Stony Brook,Thu Mar 17,83,6,Kentucky,"L, 85-57",72,Neutral,26-7,,NCAA
