Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,UNC Asheville,UNC Asheville,Fri Nov 13,262,103,Tennessee,"L, 82-78",72,Away,0-1,,
2016,UNC Asheville,UNC Asheville,Sun Nov 15,241,194,Western Carolina,"L, 90-81",74,Away,0-2,,
2016,UNC Asheville,UNC Asheville,Wed Nov 18,247,NR,Mars Hill,"W, 84-51",68,Home,1-2,,
2016,UNC Asheville,UNC Asheville,Sat Nov 21,245,18,Texas A&M,"L, 75-47",67,Away,1-3,,
2016,UNC Asheville,UNC Asheville,Thu Nov 26,254,245,Drexel,"W, 85-66",66,Neutral,2-3,,
2016,UNC Asheville,UNC Asheville,Fri Nov 27,212,119,Middle Tennessee,"L, 63-61",68,Neutral,2-4,,
2016,UNC Asheville,UNC Asheville,Sat Nov 28,214,184,Loyola Chicago,"W, 59-48",67,Neutral,3-4,,
2016,UNC Asheville,UNC Asheville,Sat Dec 5,195,NR,Johnson & Wales NC,"W, 103-36",76,Home,4-4,,
2016,UNC Asheville,UNC Asheville,Sun Dec 13,183,297,Campbell,"W, 80-60",73,Home,5-4,1-0,
2016,UNC Asheville,UNC Asheville,Tue Dec 15,167,153,East Tennessee St.,"W, 84-64",70,Home,6-4,,
2016,UNC Asheville,UNC Asheville,Sat Dec 19,149,62,Georgetown,"W, 79-73",70,Away,7-4,,
2016,UNC Asheville,UNC Asheville,Mon Dec 21,124,160,Elon,"L, 86-81",82,Home,7-5,,
2016,UNC Asheville,UNC Asheville,Tue Dec 29,141,175,Furman,"W, 67-65",69,Home,8-5,,
2016,UNC Asheville,UNC Asheville,Thu Dec 31,147,295,Longwood,"W, 70-61",79,Away,9-5,2-0,
2016,UNC Asheville,UNC Asheville,Sat Jan 2,142,292,Liberty,"W, 76-69",73,Away,10-5,3-0,
2016,UNC Asheville,UNC Asheville,Wed Jan 6,145,157,Winthrop,"W, 85-84",75,Home,11-5,4-0,
2016,UNC Asheville,UNC Asheville,Sat Jan 9,144,298,Charleston Southern,"W, 83-73",71,Away,12-5,5-0,
2016,UNC Asheville,UNC Asheville,Thu Jan 14,140,222,Radford,"L, 91-86",83,Away,12-6,5-1,
2016,UNC Asheville,UNC Asheville,Sat Jan 16,139,236,Gardner Webb,"W, 75-69",71,Home,13-6,6-1,
2016,UNC Asheville,UNC Asheville,Wed Jan 20,124,149,High Point,"L, 73-69",76,Away,13-7,6-2,
2016,UNC Asheville,UNC Asheville,Sat Jan 23,127,328,Presbyterian,"W, 67-55",63,Home,14-7,7-2,
2016,UNC Asheville,UNC Asheville,Wed Jan 27,127,176,Coastal Carolina,"L, 68-66",76,Away,14-8,7-3,
2016,UNC Asheville,UNC Asheville,Sat Jan 30,129,295,Longwood,"W, 88-74",71,Home,15-8,8-3,
2016,UNC Asheville,UNC Asheville,Wed Feb 3,134,298,Charleston Southern,"W, 63-55",65,Home,16-8,9-3,
2016,UNC Asheville,UNC Asheville,Sat Feb 6,136,297,Campbell,"W, 81-71",77,Away,17-8,10-3,
2016,UNC Asheville,UNC Asheville,Thu Feb 11,128,222,Radford,"L, 60-59",58,Home,17-9,10-4,
2016,UNC Asheville,UNC Asheville,Thu Feb 18,134,328,Presbyterian,"W, 70-61",66,Away,18-9,11-4,
2016,UNC Asheville,UNC Asheville,Sat Feb 20,134,157,Winthrop,"L, 81-80",73,Away,18-10,11-5,
2016,UNC Asheville,UNC Asheville,Thu Feb 25,131,292,Liberty,"W, 73-56",63,Home,19-10,12-5,
2016,UNC Asheville,UNC Asheville,Sat Feb 27,127,176,Coastal Carolina,"L, 81-79",67,Home,19-11,12-6,
2016,UNC Asheville,UNC Asheville,Fri Mar 4,136,292,Liberty,"W, 80-49",73,Neutral,20-11,,Big South
2016,UNC Asheville,UNC Asheville,Sat Mar 5,123,149,High Point,"W, 80-69",71,Neutral,21-11,,Big South
2016,UNC Asheville,UNC Asheville,Sun Mar 6,116,157,Winthrop,"W, 77-68",73,Neutral,22-11,,Big South
2016,UNC Asheville,UNC Asheville,Fri Mar 18,116,1,Villanova,"L, 86-56",66,Neutral,22-12,,NCAA
