Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,UNC Wilmington,UNC Wilmington,Fri Nov 13,194,NR,Milligan,"W, 100-62",81,Home,1-0,,
2016,UNC Wilmington,UNC Wilmington,Mon Nov 16,192,201,Eastern Kentucky,"W, 78-59",75,Home,2-0,,
2016,UNC Wilmington,UNC Wilmington,Sat Nov 21,179,181,Western Michigan,"W, 80-76",77,Home,3-0,,
2016,UNC Wilmington,UNC Wilmington,Sat Nov 28,181,153,East Tennessee St.,"W, 94-73",79,Away,4-0,,
2016,UNC Wilmington,UNC Wilmington,Wed Dec 2,144,NR,Coker,"W, 93-73",88,Home,5-0,,
2016,UNC Wilmington,UNC Wilmington,Sat Dec 12,139,62,Georgetown,"L, 87-82",78,Away,5-1,,
2016,UNC Wilmington,UNC Wilmington,Wed Dec 16,133,190,East Carolina,"L, 78-73",79,Away,5-2,,
2016,UNC Wilmington,UNC Wilmington,Sat Dec 19,134,222,Radford,"L, 69-67",68,Away,5-3,,
2016,UNC Wilmington,UNC Wilmington,Tue Dec 22,134,283,Utah Valley,"W, 102-77",79,Neutral,6-3,,
2016,UNC Wilmington,UNC Wilmington,Wed Dec 23,121,250,UMKC,"W, 76-56",70,Neutral,7-3,,
2016,UNC Wilmington,UNC Wilmington,Mon Dec 28,99,297,Campbell,"W, 106-83",81,Home,8-3,,
2016,UNC Wilmington,UNC Wilmington,Thu Dec 31,92,245,Drexel,"W, 75-63",70,Home,9-3,1-0,
2016,UNC Wilmington,UNC Wilmington,Sat Jan 2,89,132,Northeastern,"L, 65-63",61,Home,9-4,1-1,
2016,UNC Wilmington,UNC Wilmington,Thu Jan 7,96,152,Towson,"L, 76-60",67,Away,9-5,1-2,
2016,UNC Wilmington,UNC Wilmington,Sat Jan 9,124,275,Delaware,"W, 85-67",72,Away,10-5,2-2,
2016,UNC Wilmington,UNC Wilmington,Thu Jan 14,111,160,Elon,"W, 91-82",74,Away,11-5,3-2,
2016,UNC Wilmington,UNC Wilmington,Sat Jan 16,97,87,William & Mary,"W, 97-94",80,Home,12-5,4-2,
2016,UNC Wilmington,UNC Wilmington,Thu Jan 21,94,275,Delaware,"W, 79-70",69,Home,13-5,5-2,
2016,UNC Wilmington,UNC Wilmington,Sun Jan 24,98,245,Drexel,"W, 77-71",70,Away,14-5,6-2,
2016,UNC Wilmington,UNC Wilmington,Thu Jan 28,99,91,James Madison,"W, 78-73",75,Away,15-5,7-2,
2016,UNC Wilmington,UNC Wilmington,Sat Jan 30,95,122,College of Charleston,"W, 65-55",63,Home,16-5,8-2,
2016,UNC Wilmington,UNC Wilmington,Thu Feb 4,85,92,Hofstra,"W, 70-67",70,Away,17-5,9-2,
2016,UNC Wilmington,UNC Wilmington,Sat Feb 6,80,132,Northeastern,"W, 90-73",72,Away,18-5,10-2,
2016,UNC Wilmington,UNC Wilmington,Thu Feb 11,66,160,Elon,"W, 86-82",72,Home,19-5,11-2,
2016,UNC Wilmington,UNC Wilmington,Sat Feb 13,75,91,James Madison,"W, 78-68",72,Home,20-5,12-2,
2016,UNC Wilmington,UNC Wilmington,Thu Feb 18,67,87,William & Mary,"L, 87-69",67,Away,20-6,12-3,
2016,UNC Wilmington,UNC Wilmington,Sat Feb 20,75,122,College of Charleston,"W, 59-55",70,Away,21-6,13-3,
2016,UNC Wilmington,UNC Wilmington,Thu Feb 25,72,92,Hofstra,"L, 70-69",64,Home,21-7,13-4,
2016,UNC Wilmington,UNC Wilmington,Sat Feb 27,74,152,Towson,"W, 74-68",67,Home,22-7,14-4,
2016,UNC Wilmington,UNC Wilmington,Sat Mar 5,78,122,College of Charleston,"W, 66-64",65,Neutral,23-7,,Colonial Athletic Association
2016,UNC Wilmington,UNC Wilmington,Sun Mar 6,77,132,Northeastern,"W, 73-70",65,Neutral,24-7,,Colonial Athletic Association
2016,UNC Wilmington,UNC Wilmington,Mon Mar 7,81,92,Hofstra,"W, 80-73",71,Neutral,25-7,,Colonial Athletic Association
2016,UNC Wilmington,UNC Wilmington,Thu Mar 17,74,17,Duke,"L, 93-85",73,Neutral,25-8,,NCAA
