Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Virginia,Virginia,Fri Nov 13,3,304,Morgan St.,"W, 86-48",62,Home,1-0,,
2016,Virginia,Virginia,Mon Nov 16,3,53,George Washington,"L, 73-68",68,Away,1-1,,
2016,Virginia,Virginia,Thu Nov 19,5,323,Bradley,"W, 82-57",63,Neutral,2-1,,
2016,Virginia,Virginia,Fri Nov 20,4,107,Long Beach St.,"W, 87-52",61,Neutral,3-1,,
2016,Virginia,Virginia,Sun Nov 22,3,198,George Mason,"W, 83-66",63,Neutral,4-1,,
2016,Virginia,Virginia,Wed Nov 25,3,191,Lehigh,"W, 80-54",62,Home,5-1,,
2016,Virginia,Virginia,Tue Dec 1,3,76,Ohio St.,"W, 64-58",57,Away,6-1,,
2016,Virginia,Virginia,Sat Dec 5,5,87,William & Mary,"W, 67-52",65,Home,7-1,,
2016,Virginia,Virginia,Tue Dec 8,3,8,West Virginia,"W, 70-54",65,Neutral,8-1,,
2016,Virginia,Virginia,Sat Dec 19,1,1,Villanova,"W, 86-75",60,Home,9-1,,
2016,Virginia,Virginia,Tue Dec 22,1,28,California,"W, 63-62",62,Home,10-1,,
2016,Virginia,Virginia,Wed Dec 30,3,79,Oakland,"W, 71-58",64,Home,11-1,,
2016,Virginia,Virginia,Sat Jan 2,4,36,Notre Dame,"W, 77-66",58,Home,12-1,1-0,
2016,Virginia,Virginia,Mon Jan 4,3,63,Virginia Tech,"L, 70-68",63,Away,12-2,1-1,
2016,Virginia,Virginia,Sat Jan 9,6,51,Georgia Tech,"L, 68-64",64,Away,12-3,1-2,
2016,Virginia,Virginia,Tue Jan 12,6,15,Miami FL,"W, 66-58",58,Home,13-3,2-2,
2016,Virginia,Virginia,Sun Jan 17,7,48,Florida St.,"L, 69-62",66,Away,13-4,2-3,
2016,Virginia,Virginia,Tue Jan 19,9,45,Clemson,"W, 69-62",60,Home,14-4,3-3,
2016,Virginia,Virginia,Sun Jan 24,8,27,Syracuse,"W, 73-65",63,Home,15-4,4-3,
2016,Virginia,Virginia,Tue Jan 26,8,118,Wake Forest,"W, 72-71",65,Away,16-4,5-3,
2016,Virginia,Virginia,Sat Jan 30,11,7,Louisville,"W, 63-47",61,Away,17-4,6-3,
2016,Virginia,Virginia,Wed Feb 3,5,225,Boston College,"W, 61-47",63,Home,18-4,7-3,
2016,Virginia,Virginia,Sat Feb 6,5,37,Pittsburgh,"W, 64-50",54,Away,19-4,8-3,
2016,Virginia,Virginia,Tue Feb 9,3,63,Virginia Tech,"W, 67-49",61,Home,20-4,9-3,
2016,Virginia,Virginia,Sat Feb 13,2,17,Duke,"L, 63-62",59,Away,20-5,9-4,
2016,Virginia,Virginia,Mon Feb 15,2,74,N.C. State,"W, 73-53",60,Home,21-5,10-4,
2016,Virginia,Virginia,Mon Feb 22,2,15,Miami FL,"L, 64-61",54,Away,21-6,10-5,
2016,Virginia,Virginia,Sat Feb 27,3,2,North Carolina,"W, 79-74",66,Home,22-6,11-5,
2016,Virginia,Virginia,Tue Mar 1,4,45,Clemson,"W, 64-57",58,Away,23-6,12-5,
2016,Virginia,Virginia,Sat Mar 5,3,7,Louisville,"W, 68-46",58,Home,24-6,13-5,
2016,Virginia,Virginia,Thu Mar 10,1,51,Georgia Tech,"W, 72-52",58,Neutral,25-6,,Atlantic Coast
2016,Virginia,Virginia,Fri Mar 11,1,15,Miami FL,"W, 73-68",64,Neutral,26-6,,Atlantic Coast
2016,Virginia,Virginia,Sat Mar 12,1,2,North Carolina,"L, 61-57",58,Neutral,26-7,,Atlantic Coast
2016,Virginia,Virginia,Thu Mar 17,2,248,Hampton,"W, 81-45",60,Neutral,27-7,,NCAA
2016,Virginia,Virginia,Sat Mar 19,1,30,Butler,"W, 77-69",64,Neutral,28-7,,NCAA
2016,Virginia,Virginia,Fri Mar 25,3,20,Iowa St.,"W, 84-71",69,Neutral,29-7,,NCAA
2016,Virginia,Virginia,Sun Mar 27,1,27,Syracuse,"L, 68-62",64,Neutral,29-8,,NCAA
