Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2016,Weber St.,Weber St.,Fri Nov 13,149,134,Utah St.,"L, 73-70",67,Home,0-1,,
2016,Weber St.,Weber St.,Mon Nov 16,169,80,South Dakota St.,"L, 85-68",70,Away,0-2,,
2016,Weber St.,Weber St.,Thu Nov 19,180,NR,Antelope Valley,"W, 90-47",70,Home,1-2,,
2016,Weber St.,Weber St.,Mon Nov 23,181,158,Central Michigan,"W, 63-60",61,Neutral,2-2,,
2016,Weber St.,Weber St.,Tue Nov 24,167,262,Drake,"W, 74-58",61,Neutral,3-2,,
2016,Weber St.,Weber St.,Wed Nov 25,150,163,Murray St.,"W, 75-59",63,Neutral,4-2,,
2016,Weber St.,Weber St.,Tue Dec 1,126,NR,Pacific Union,"W, 95-57",66,Home,5-2,,
2016,Weber St.,Weber St.,Sat Dec 5,123,52,BYU,"L, 73-68",66,Neutral,5-3,,
2016,Weber St.,Weber St.,Wed Dec 9,128,283,Utah Valley,"L, 84-81",92,Away,5-4,,
2016,Weber St.,Weber St.,Sun Dec 13,140,195,Denver,"L, 69-68",62,Away,5-5,,
2016,Weber St.,Weber St.,Fri Dec 18,138,206,Portland,"W, 92-82",85,Semi-Away,6-5,,
2016,Weber St.,Weber St.,Tue Dec 22,135,80,South Dakota St.,"W, 99-95",79,Home,7-5,,
2016,Weber St.,Weber St.,Mon Dec 28,126,NR,Multnomah,"W, 114-47",74,Home,8-5,,
2016,Weber St.,Weber St.,Sat Jan 2,126,270,Idaho St.,"W, 77-56",73,Home,9-5,1-0,
2016,Weber St.,Weber St.,Thu Jan 7,133,199,North Dakota,"W, 74-62",71,Home,10-5,2-0,
2016,Weber St.,Weber St.,Sat Jan 9,138,314,Northern Colorado,"W, 85-68",70,Home,11-5,3-0,
2016,Weber St.,Weber St.,Thu Jan 14,138,260,Portland St.,"W, 73-58",68,Away,12-5,4-0,
2016,Weber St.,Weber St.,Sat Jan 16,118,273,Sacramento St.,"W, 85-74",73,Away,13-5,5-0,
2016,Weber St.,Weber St.,Sat Jan 23,103,270,Idaho St.,"L, 69-68",68,Away,13-6,5-1,
2016,Weber St.,Weber St.,Thu Jan 28,114,343,Northern Arizona,"W, 76-66",69,Home,14-6,6-1,
2016,Weber St.,Weber St.,Sat Jan 30,121,342,Southern Utah,"W, 77-50",65,Home,15-6,7-1,
2016,Weber St.,Weber St.,Thu Feb 4,114,314,Northern Colorado,"W, 64-54",65,Away,16-6,8-1,
2016,Weber St.,Weber St.,Sat Feb 6,111,199,North Dakota,"L, 78-71",66,Away,16-7,8-2,
2016,Weber St.,Weber St.,Thu Feb 11,118,273,Sacramento St.,"W, 63-50",69,Home,17-7,9-2,
2016,Weber St.,Weber St.,Sat Feb 13,119,260,Portland St.,"W, 87-78",71,Home,18-7,10-2,
2016,Weber St.,Weber St.,Thu Feb 18,120,342,Southern Utah,"W, 87-83",70,Away,19-7,11-2,
2016,Weber St.,Weber St.,Sat Feb 20,127,343,Northern Arizona,"W, 77-74",73,Away,20-7,12-2,
2016,Weber St.,Weber St.,Thu Feb 25,132,246,Montana St.,"W, 68-60",69,Home,21-7,13-2,
2016,Weber St.,Weber St.,Sat Feb 27,135,143,Montana,"W, 60-54",68,Home,22-7,14-2,
2016,Weber St.,Weber St.,Thu Mar 3,126,214,Idaho,"L, 62-58",67,Away,22-8,14-3,
2016,Weber St.,Weber St.,Sat Mar 5,131,197,Eastern Washington,"W, 79-77",69,Away,23-8,15-3,
2016,Weber St.,Weber St.,Thu Mar 10,132,260,Portland St.,"W, 78-74",72,Neutral,24-8,,Big Sky
2016,Weber St.,Weber St.,Fri Mar 11,132,199,North Dakota,"W, 83-78",77,Neutral,25-8,,Big Sky
2016,Weber St.,Weber St.,Sat Mar 12,132,143,Montana,"W, 62-59",61,Neutral,26-8,,Big Sky
2016,Weber St.,Weber St.,Fri Mar 18,132,14,Xavier,"L, 71-53",64,Neutral,26-9,,NCAA
