Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Duke,Duke,Fri Nov 11,1,312,Marist,"W, 94-49",80,Home,1-0,,
2017,Duke,Duke,Sat Nov 12,1,152,Grand Canyon,"W, 96-61",79,Home,2-0,,
2017,Duke,Duke,Tue Nov 15,1,6,Kansas,"L, 77-75",73,Neutral,2-1,,
2017,Duke,Duke,Sat Nov 19,1,87,Penn St.,"W, 78-68",71,Neutral,3-1,,
2017,Duke,Duke,Sun Nov 20,1,34,Rhode Island,"W, 75-65",65,Neutral,4-1,,
2017,Duke,Duke,Wed Nov 23,1,133,William & Mary,"W, 88-67",70,Home,5-1,,
2017,Duke,Duke,Sat Nov 26,1,274,Appalachian St.,"W, 93-58",70,Home,6-1,,
2017,Duke,Duke,Tue Nov 29,1,40,Michigan St.,"W, 78-69",73,Home,7-1,,
2017,Duke,Duke,Sat Dec 3,1,337,Maine,"W, 94-55",66,Home,8-1,,
2017,Duke,Duke,Tue Dec 6,2,5,Florida,"W, 84-74",71,Neutral,9-1,,
2017,Duke,Duke,Sat Dec 10,1,248,UNLV,"W, 94-45",72,Semi-Away,10-1,,
2017,Duke,Duke,Mon Dec 19,1,160,Tennessee St.,"W, 65-55",66,Home,11-1,,
2017,Duke,Duke,Wed Dec 21,2,136,Elon,"W, 72-61",69,Neutral,12-1,,
2017,Duke,Duke,Sat Dec 31,2,50,Virginia Tech,"L, 89-75",71,Away,12-2,0-1,
2017,Duke,Duke,Wed Jan 4,6,77,Georgia Tech,"W, 110-57",71,Home,13-2,1-1,
2017,Duke,Duke,Sat Jan 7,4,173,Boston College,"W, 93-82",84,Home,14-2,2-1,
2017,Duke,Duke,Tue Jan 10,8,26,Florida St.,"L, 88-72",75,Away,14-3,2-2,
2017,Duke,Duke,Sat Jan 14,10,9,Louisville,"L, 78-69",70,Away,14-4,2-3,
2017,Duke,Duke,Sat Jan 21,12,42,Miami FL,"W, 70-58",67,Home,15-4,3-3,
2017,Duke,Duke,Mon Jan 23,13,109,N.C. State,"L, 84-82",75,Home,15-5,3-4,
2017,Duke,Duke,Sat Jan 28,16,36,Wake Forest,"W, 85-83",70,Away,16-5,4-4,
2017,Duke,Duke,Mon Jan 30,15,27,Notre Dame,"W, 84-74",70,Away,17-5,5-4,
2017,Duke,Duke,Sat Feb 4,13,79,Pittsburgh,"W, 72-64",61,Home,18-5,6-4,
2017,Duke,Duke,Thu Feb 9,15,3,North Carolina,"W, 86-78",68,Home,19-5,7-4,
2017,Duke,Duke,Sat Feb 11,14,45,Clemson,"W, 64-62",63,Home,20-5,8-4,
2017,Duke,Duke,Wed Feb 15,14,12,Virginia,"W, 65-55",58,Away,21-5,9-4,
2017,Duke,Duke,Sat Feb 18,12,36,Wake Forest,"W, 99-94",68,Home,22-5,10-4,
2017,Duke,Duke,Wed Feb 22,12,55,Syracuse,"L, 78-75",63,Away,22-6,10-5,
2017,Duke,Duke,Sat Feb 25,14,42,Miami FL,"L, 55-50",62,Away,22-7,10-6,
2017,Duke,Duke,Tue Feb 28,15,26,Florida St.,"W, 75-70",68,Home,23-7,11-6,
2017,Duke,Duke,Sat Mar 4,16,3,North Carolina,"L, 90-83",72,Away,23-8,11-7,
2017,Duke,Duke,Wed Mar 8,15,45,Clemson,"W, 79-72",70,Neutral,24-8,,Atlantic Coast
2017,Duke,Duke,Thu Mar 9,15,9,Louisville,"W, 81-77",73,Neutral,25-8,,Atlantic Coast
2017,Duke,Duke,Fri Mar 10,15,3,North Carolina,"W, 93-83",74,Neutral,26-8,,Atlantic Coast
2017,Duke,Duke,Sat Mar 11,12,27,Notre Dame,"W, 75-69",63,Neutral,27-8,,Atlantic Coast
2017,Duke,Duke,Fri Mar 17,13,137,Troy,"W, 87-65",68,Neutral,28-8,,NCAA
2017,Duke,Duke,Sun Mar 19,12,24,South Carolina,"L, 88-81",74,Neutral,28-9,,NCAA
