Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Florida St.,Florida St.,Sat Nov 12,39,309,Charleston Southern,"W, 88-67",76,Home,1-0,,
2017,Florida St.,Florida St.,Tue Nov 15,40,117,Iona,"W, 99-78",83,Home,2-0,,
2017,Florida St.,Florida St.,Fri Nov 18,36,113,Winthrop,"W, 100-86",81,Home,3-0,,
2017,Florida St.,Florida St.,Sun Nov 20,36,302,Detroit,"W, 100-71",78,Home,4-0,,
2017,Florida St.,Florida St.,Thu Nov 24,34,118,Temple,"L, 89-86",70,Neutral,4-1,,
2017,Florida St.,Florida St.,Fri Nov 25,41,66,Illinois,"W, 72-61",63,Neutral,5-1,,
2017,Florida St.,Florida St.,Mon Nov 28,38,37,Minnesota,"W, 75-67",78,Home,6-1,,
2017,Florida St.,Florida St.,Sun Dec 4,35,132,George Washington,"W, 67-48",69,Semi-Away,7-1,,
2017,Florida St.,Florida St.,Tue Dec 6,32,325,Southern Miss,"W, 98-49",73,Home,8-1,,
2017,Florida St.,Florida St.,Thu Dec 8,29,315,Nicholls St.,"W, 118-63",79,Home,9-1,,
2017,Florida St.,Florida St.,Sun Dec 11,25,5,Florida,"W, 83-78",76,Home,10-1,,
2017,Florida St.,Florida St.,Sat Dec 17,25,287,Manhattan,"W, 83-67",71,Neutral,11-1,,
2017,Florida St.,Florida St.,Mon Dec 19,23,166,Samford,"W, 76-68",72,Home,12-1,,
2017,Florida St.,Florida St.,Wed Dec 28,26,36,Wake Forest,"W, 88-72",75,Home,13-1,1-0,
2017,Florida St.,Florida St.,Sat Dec 31,24,12,Virginia,"W, 60-58",60,Away,14-1,2-0,
2017,Florida St.,Florida St.,Sat Jan 7,21,50,Virginia Tech,"W, 93-78",77,Home,15-1,3-0,
2017,Florida St.,Florida St.,Tue Jan 10,19,14,Duke,"W, 88-72",75,Home,16-1,4-0,
2017,Florida St.,Florida St.,Sat Jan 14,15,3,North Carolina,"L, 96-83",85,Away,16-2,4-1,
2017,Florida St.,Florida St.,Wed Jan 18,18,27,Notre Dame,"W, 83-80",76,Home,17-2,5-1,
2017,Florida St.,Florida St.,Sat Jan 21,18,9,Louisville,"W, 73-68",72,Home,18-2,6-1,
2017,Florida St.,Florida St.,Wed Jan 25,13,77,Georgia Tech,"L, 78-56",74,Away,18-3,6-2,
2017,Florida St.,Florida St.,Sat Jan 28,20,55,Syracuse,"L, 82-72",71,Away,18-4,6-3,
2017,Florida St.,Florida St.,Wed Feb 1,24,42,Miami FL,"W, 75-57",57,Away,19-4,7-3,
2017,Florida St.,Florida St.,Sun Feb 5,18,45,Clemson,"W, 109-61",73,Home,20-4,8-3,
2017,Florida St.,Florida St.,Wed Feb 8,13,109,N.C. State,"W, 95-71",71,Home,21-4,9-3,
2017,Florida St.,Florida St.,Sat Feb 11,13,27,Notre Dame,"L, 84-72",76,Away,21-5,9-4,
2017,Florida St.,Florida St.,Sat Feb 18,14,79,Pittsburgh,"L, 80-66",63,Away,21-6,9-5,
2017,Florida St.,Florida St.,Mon Feb 20,19,173,Boston College,"W, 104-72",80,Home,22-6,10-5,
2017,Florida St.,Florida St.,Sat Feb 25,18,45,Clemson,"W, 76-74",64,Away,23-6,11-5,
2017,Florida St.,Florida St.,Tue Feb 28,18,14,Duke,"L, 75-70",68,Away,23-7,11-6,
2017,Florida St.,Florida St.,Sat Mar 4,19,42,Miami FL,"W, 66-57",62,Home,24-7,12-6,
2017,Florida St.,Florida St.,Thu Mar 9,18,50,Virginia Tech,"W, 74-68",69,Neutral,25-7,,Atlantic Coast
2017,Florida St.,Florida St.,Fri Mar 10,18,27,Notre Dame,"L, 77-73",72,Neutral,25-8,,Atlantic Coast
2017,Florida St.,Florida St.,Thu Mar 16,19,108,Florida Gulf Coast,"W, 86-80",82,Neutral,26-8,,NCAA
2017,Florida St.,Florida St.,Sat Mar 18,24,31,Xavier,"L, 91-66",68,Neutral,26-9,,NCAA
