Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Jacksonville St.,Jacksonville St.,Fri Nov 11,293,144,Tulsa,"W, 84-73",70,Away,1-0,,
2017,Jacksonville St.,Jacksonville St.,Sun Nov 13,270,134,Missouri St.,"L, 91-65",72,Away,1-1,,
2017,Jacksonville St.,Jacksonville St.,Wed Nov 16,284,232,Western Kentucky,"L, 74-67",65,Away,1-2,,
2017,Jacksonville St.,Jacksonville St.,Fri Nov 18,280,29,TCU,"L, 79-60",61,Away,1-3,,
2017,Jacksonville St.,Jacksonville St.,Tue Nov 22,283,NR,Dalton St.,"W, 81-50",70,Home,2-3,,
2017,Jacksonville St.,Jacksonville St.,Fri Nov 25,281,261,Cal St. Fullerton,"W, 61-38",60,Neutral,3-3,,
2017,Jacksonville St.,Jacksonville St.,Sat Nov 26,243,323,Northern Arizona,"W, 76-63",67,Neutral,4-3,,
2017,Jacksonville St.,Jacksonville St.,Tue Nov 29,232,342,Alabama St.,"W, 72-69",70,Away,5-3,,
2017,Jacksonville St.,Jacksonville St.,Sun Dec 4,232,166,Samford,"L, 81-77",65,Away,5-4,,
2017,Jacksonville St.,Jacksonville St.,Sat Dec 10,234,262,Louisiana Monroe,"L, 88-83",72,Away,5-5,,
2017,Jacksonville St.,Jacksonville St.,Mon Dec 12,232,46,Maryland,"L, 92-66",70,Away,5-6,,
2017,Jacksonville St.,Jacksonville St.,Wed Dec 14,240,338,Howard,"W, 72-59",60,Away,6-6,,
2017,Jacksonville St.,Jacksonville St.,Sun Dec 18,221,244,USC Upstate,"W, 67-66",62,Away,7-6,,
2017,Jacksonville St.,Jacksonville St.,Wed Dec 21,207,114,Chattanooga,"L, 73-57",66,Away,7-7,,
2017,Jacksonville St.,Jacksonville St.,Thu Dec 29,210,210,Tennessee Martin,"W, 90-72",65,Away,8-7,1-0,
2017,Jacksonville St.,Jacksonville St.,Sat Dec 31,183,220,Eastern Illinois,"W, 57-56",67,Away,9-7,2-0,
2017,Jacksonville St.,Jacksonville St.,Thu Jan 5,177,197,Murray St.,"L, 76-63",62,Home,9-8,2-1,
2017,Jacksonville St.,Jacksonville St.,Sat Jan 7,195,289,Austin Peay,"W, 71-68",66,Home,10-8,3-1,
2017,Jacksonville St.,Jacksonville St.,Tue Jan 10,199,NR,Fort Valley St.,"W, 81-69",72,Home,11-8,,
2017,Jacksonville St.,Jacksonville St.,Sat Jan 14,189,257,Tennessee Tech,"W, 74-59",68,Away,12-8,4-1,
2017,Jacksonville St.,Jacksonville St.,Thu Jan 19,180,83,Belmont,"L, 77-60",68,Away,12-9,4-2,
2017,Jacksonville St.,Jacksonville St.,Sat Jan 21,182,160,Tennessee St.,"W, 86-79",66,Away,13-9,5-2,
2017,Jacksonville St.,Jacksonville St.,Thu Jan 26,165,272,Eastern Kentucky,"L, 57-52",70,Home,13-10,5-3,
2017,Jacksonville St.,Jacksonville St.,Sat Jan 28,178,203,Morehead St.,"L, 72-69",66,Home,13-11,5-4,
2017,Jacksonville St.,Jacksonville St.,Wed Feb 1,184,228,Southeast Missouri St.,"W, 74-62",64,Home,14-11,6-4,
2017,Jacksonville St.,Jacksonville St.,Sat Feb 4,180,318,SIU Edwardsville,"W, 72-61",72,Away,15-11,7-4,
2017,Jacksonville St.,Jacksonville St.,Thu Feb 9,179,83,Belmont,"L, 66-53",61,Home,15-12,7-5,
2017,Jacksonville St.,Jacksonville St.,Sat Feb 11,183,160,Tennessee St.,"W, 63-57",62,Home,16-12,8-5,
2017,Jacksonville St.,Jacksonville St.,Sat Feb 18,187,257,Tennessee Tech,"L, 79-78",75,Home,16-13,8-6,
2017,Jacksonville St.,Jacksonville St.,Thu Feb 23,193,272,Eastern Kentucky,"L, 68-65",65,Away,16-14,8-7,
2017,Jacksonville St.,Jacksonville St.,Sat Feb 25,196,203,Morehead St.,"W, 70-61",64,Away,17-14,9-7,
2017,Jacksonville St.,Jacksonville St.,Thu Mar 2,187,228,Southeast Missouri St.,"W, 74-51",61,Neutral,18-14,,Ohio Valley
2017,Jacksonville St.,Jacksonville St.,Fri Mar 3,181,83,Belmont,"W, 65-59",58,Semi-Away,19-14,,Ohio Valley
2017,Jacksonville St.,Jacksonville St.,Sat Mar 4,169,210,Tennessee Martin,"W, 66-55",58,Neutral,20-14,,Ohio Valley
2017,Jacksonville St.,Jacksonville St.,Fri Mar 17,155,9,Louisville,"L, 78-63",60,Neutral,20-15,,NCAA
