Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Kent St.,Kent St.,Sat Nov 12,210,242,Cleveland St.,"W, 79-74",73,Neutral,1-0,,
2017,Kent St.,Kent St.,Wed Nov 16,206,344,Mississippi Valley St.,"W, 93-63",73,Home,2-0,,
2017,Kent St.,Kent St.,Fri Nov 18,196,NR,Hiram,"W, 111-55",83,Home,3-0,,
2017,Kent St.,Kent St.,Mon Nov 21,199,143,South Dakota,"L, 80-77",75,Neutral,3-1,,
2017,Kent St.,Kent St.,Tue Nov 22,202,123,George Mason,"L, 79-75",67,Neutral,3-2,,
2017,Kent St.,Kent St.,Wed Nov 23,209,142,Wofford,"W, 66-59",63,Neutral,4-2,,
2017,Kent St.,Kent St.,Sun Nov 27,200,159,Northeastern,"L, 73-70",70,Away,4-3,,
2017,Kent St.,Kent St.,Fri Dec 2,197,327,Grambling St.,"W, 86-57",71,Home,5-3,,
2017,Kent St.,Kent St.,Wed Dec 7,187,256,Niagara,"W, 100-72",71,Home,6-3,,
2017,Kent St.,Kent St.,Sat Dec 10,160,286,NJIT,"W, 87-71",77,Home,7-3,,
2017,Kent St.,Kent St.,Sun Dec 18,143,164,Wright St.,"L, 68-63",70,Home,7-4,,
2017,Kent St.,Kent St.,Wed Dec 21,150,264,Oregon St.,"L, 69-50",67,Away,7-5,,
2017,Kent St.,Kent St.,Tue Dec 27,170,70,Texas,"W, 63-58",75,Away,8-5,,
2017,Kent St.,Kent St.,Tue Jan 3,149,180,Ball St.,"W, 100-90",82,Home,9-5,1-0,
2017,Kent St.,Kent St.,Fri Jan 6,146,105,Ohio,"L, 85-67",80,Away,9-6,1-1,
2017,Kent St.,Kent St.,Tue Jan 10,155,205,Northern Illinois,"L, 74-70",79,Home,9-7,1-2,
2017,Kent St.,Kent St.,Sat Jan 14,160,162,Western Michigan,"L, 92-88",72,Away,9-8,1-3,
2017,Kent St.,Kent St.,Tue Jan 17,160,122,Buffalo,"L, 82-69",77,Home,9-9,1-4,
2017,Kent St.,Kent St.,Sat Jan 21,179,128,Toledo,"W, 85-61",65,Home,10-9,2-4,
2017,Kent St.,Kent St.,Tue Jan 24,153,205,Northern Illinois,"W, 73-66",68,Away,11-9,3-4,
2017,Kent St.,Kent St.,Sat Jan 28,147,229,Central Michigan,"L, 105-98",86,Home,11-10,3-5,
2017,Kent St.,Kent St.,Tue Jan 31,160,148,Eastern Michigan,"W, 70-64",71,Away,12-10,4-5,
2017,Kent St.,Kent St.,Sat Feb 4,147,279,Miami OH,"W, 66-62",71,Away,13-10,5-5,
2017,Kent St.,Kent St.,Tue Feb 7,146,249,Bowling Green,"L, 84-83",79,Home,13-11,5-6,
2017,Kent St.,Kent St.,Sat Feb 11,161,128,Toledo,"L, 78-58",61,Away,13-12,5-7,
2017,Kent St.,Kent St.,Tue Feb 14,174,279,Miami OH,"W, 76-72",70,Home,14-12,6-7,
2017,Kent St.,Kent St.,Fri Feb 17,173,100,Akron,"W, 70-67",64,Away,15-12,7-7,
2017,Kent St.,Kent St.,Tue Feb 21,167,122,Buffalo,"W, 77-69",74,Away,16-12,8-7,
2017,Kent St.,Kent St.,Sat Feb 25,152,105,Ohio,"W, 70-67",73,Home,17-12,9-7,
2017,Kent St.,Kent St.,Tue Feb 28,149,249,Bowling Green,"W, 74-67",67,Away,18-12,10-7,
2017,Kent St.,Kent St.,Fri Mar 3,145,100,Akron,"L, 66-56",63,Home,18-13,10-8,
2017,Kent St.,Kent St.,Mon Mar 6,155,229,Central Michigan,"W, 116-106",86,Home,19-13,,Mid American
2017,Kent St.,Kent St.,Thu Mar 9,154,122,Buffalo,"W, 68-65",69,Neutral,20-13,,Mid American
2017,Kent St.,Kent St.,Fri Mar 10,149,105,Ohio,"W, 68-66",70,Neutral,21-13,,Mid American
2017,Kent St.,Kent St.,Sat Mar 11,146,100,Akron,"W, 70-65",60,Neutral,22-13,,Mid American
2017,Kent St.,Kent St.,Fri Mar 17,139,16,UCLA,"L, 97-80",70,Neutral,22-14,,NCAA
