Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Maryland,Maryland,Fri Nov 11,48,307,American,"W, 62-56",62,Home,1-0,,
2017,Maryland,Maryland,Tue Nov 15,53,69,Georgetown,"W, 76-75",74,Away,2-0,,
2017,Maryland,Maryland,Thu Nov 17,50,NR,St. Mary's MD,"W, 93-45",75,Home,3-0,,
2017,Maryland,Maryland,Sun Nov 20,51,116,Towson,"W, 71-66",70,Home,4-0,,
2017,Maryland,Maryland,Tue Nov 22,54,213,Stony Brook,"W, 77-63",73,Home,5-0,,
2017,Maryland,Maryland,Fri Nov 25,56,92,Richmond,"W, 88-82",82,Neutral,6-0,,
2017,Maryland,Maryland,Sat Nov 26,56,30,Kansas St.,"W, 69-68",59,Neutral,7-0,,
2017,Maryland,Maryland,Tue Nov 29,53,79,Pittsburgh,"L, 73-59",69,Home,7-1,,
2017,Maryland,Maryland,Sat Dec 3,65,22,Oklahoma St.,"W, 71-70",72,Home,8-1,,
2017,Maryland,Maryland,Wed Dec 7,63,338,Howard,"W, 79-56",64,Home,9-1,,
2017,Maryland,Maryland,Sat Dec 10,62,95,Saint Peter's,"W, 66-56",64,Home,10-1,,
2017,Maryland,Maryland,Mon Dec 12,66,157,Jacksonville St.,"W, 92-66",70,Home,11-1,,
2017,Maryland,Maryland,Tue Dec 20,64,237,Charlotte,"W, 88-72",78,Semi-Home,12-1,,
2017,Maryland,Maryland,Tue Dec 27,64,66,Illinois,"W, 84-59",72,Home,13-1,1-0,
2017,Maryland,Maryland,Sun Jan 1,55,107,Nebraska,"L, 67-65",70,Home,13-2,1-1,
2017,Maryland,Maryland,Sat Jan 7,61,20,Michigan,"W, 77-70",62,Away,14-2,2-1,
2017,Maryland,Maryland,Tue Jan 10,54,44,Indiana,"W, 75-72",66,Home,15-2,3-1,
2017,Maryland,Maryland,Sat Jan 14,53,66,Illinois,"W, 62-56",67,Away,16-2,4-1,
2017,Maryland,Maryland,Thu Jan 19,49,71,Iowa,"W, 84-76",77,Away,17-2,5-1,
2017,Maryland,Maryland,Tue Jan 24,44,135,Rutgers,"W, 67-55",67,Home,18-2,6-1,
2017,Maryland,Maryland,Sat Jan 28,45,37,Minnesota,"W, 85-78",68,Away,19-2,7-1,
2017,Maryland,Maryland,Tue Jan 31,40,73,Ohio St.,"W, 77-71",62,Away,20-2,8-1,
2017,Maryland,Maryland,Sat Feb 4,38,19,Purdue,"L, 73-72",74,Home,20-3,8-2,
2017,Maryland,Maryland,Tue Feb 7,35,87,Penn St.,"L, 70-64",68,Away,20-4,8-3,
2017,Maryland,Maryland,Sat Feb 11,36,73,Ohio St.,"W, 86-77",68,Home,21-4,9-3,
2017,Maryland,Maryland,Wed Feb 15,38,38,Northwestern,"W, 74-64",68,Away,22-4,10-3,
2017,Maryland,Maryland,Sun Feb 19,30,21,Wisconsin,"L, 71-60",65,Away,22-5,10-4,
2017,Maryland,Maryland,Wed Feb 22,32,37,Minnesota,"L, 89-75",73,Home,22-6,10-5,
2017,Maryland,Maryland,Sat Feb 25,36,71,Iowa,"L, 83-69",65,Home,22-7,10-6,
2017,Maryland,Maryland,Tue Feb 28,43,135,Rutgers,"W, 79-59",60,Away,23-7,11-6,
2017,Maryland,Maryland,Sat Mar 4,37,40,Michigan St.,"W, 63-60",61,Home,24-7,12-6,
2017,Maryland,Maryland,Fri Mar 10,40,38,Northwestern,"L, 72-64",64,Semi-Home,24-8,,Big Ten
2017,Maryland,Maryland,Thu Mar 16,43,31,Xavier,"L, 76-65",67,Neutral,24-9,,NCAA
