Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Middle Tennessee,Middle Tennessee,Fri Nov 11,121,NR,Milligan,"W, 102-64",76,Home,1-0,,
2017,Middle Tennessee,Middle Tennessee,Tue Nov 15,119,197,Murray St.,"W, 87-81",71,Home,2-0,,
2017,Middle Tennessee,Middle Tennessee,Sat Nov 19,116,160,Tennessee St.,"L, 74-63",68,Home,2-1,,
2017,Middle Tennessee,Middle Tennessee,Tue Nov 22,141,128,Toledo,"W, 80-70",69,Home,3-1,,
2017,Middle Tennessee,Middle Tennessee,Fri Nov 25,132,59,UNC Wilmington,"W, 68-63",67,Neutral,4-1,,
2017,Middle Tennessee,Middle Tennessee,Sat Nov 26,121,128,Toledo,"W, 73-70",71,Neutral,5-1,,
2017,Middle Tennessee,Middle Tennessee,Sun Nov 27,118,154,Evansville,"W, 66-55",63,Neutral,6-1,,
2017,Middle Tennessee,Middle Tennessee,Wed Nov 30,108,74,Mississippi,"W, 77-62",66,Away,7-1,,
2017,Middle Tennessee,Middle Tennessee,Sat Dec 3,93,243,South Alabama,"W, 67-55",65,Away,8-1,,
2017,Middle Tennessee,Middle Tennessee,Thu Dec 8,83,33,Vanderbilt,"W, 71-48",67,Home,9-1,,
2017,Middle Tennessee,Middle Tennessee,Wed Dec 14,71,83,Belmont,"W, 79-66",64,Away,10-1,,
2017,Middle Tennessee,Middle Tennessee,Sat Dec 17,65,48,VCU,"L, 80-77",68,Away,10-2,,
2017,Middle Tennessee,Middle Tennessee,Wed Dec 21,60,131,Georgia St.,"L, 64-56",63,Home,10-3,,
2017,Middle Tennessee,Middle Tennessee,Sun Jan 1,65,196,UAB,"W, 60-49",61,Home,11-3,1-0,
2017,Middle Tennessee,Middle Tennessee,Thu Jan 5,62,155,Rice,"W, 80-77",70,Away,12-3,2-0,
2017,Middle Tennessee,Middle Tennessee,Sat Jan 7,60,320,North Texas,"W, 79-68",66,Away,13-3,3-0,
2017,Middle Tennessee,Middle Tennessee,Thu Jan 12,60,149,Marshall,"W, 69-57",74,Home,14-3,4-0,
2017,Middle Tennessee,Middle Tennessee,Sat Jan 14,57,232,Western Kentucky,"W, 91-76",64,Home,15-3,5-0,
2017,Middle Tennessee,Middle Tennessee,Thu Jan 19,52,276,FIU,"W, 65-52",57,Away,16-3,6-0,
2017,Middle Tennessee,Middle Tennessee,Sat Jan 21,51,271,Florida Atlantic,"W, 86-57",70,Away,17-3,7-0,
2017,Middle Tennessee,Middle Tennessee,Thu Jan 26,47,325,Southern Miss,"W, 72-56",59,Home,18-3,8-0,
2017,Middle Tennessee,Middle Tennessee,Sat Jan 28,48,93,Louisiana Tech,"W, 71-61",67,Home,19-3,9-0,
2017,Middle Tennessee,Middle Tennessee,Thu Feb 2,46,251,UTSA,"W, 69-59",63,Away,20-3,10-0,
2017,Middle Tennessee,Middle Tennessee,Sat Feb 4,48,200,UTEP,"L, 57-54",62,Away,20-4,10-1,
2017,Middle Tennessee,Middle Tennessee,Thu Feb 9,51,120,Old Dominion,"W, 64-51",61,Home,21-4,11-1,
2017,Middle Tennessee,Middle Tennessee,Sat Feb 11,50,237,Charlotte,"W, 70-55",70,Home,22-4,12-1,
2017,Middle Tennessee,Middle Tennessee,Thu Feb 16,51,232,Western Kentucky,"W, 78-52",58,Away,23-4,13-1,
2017,Middle Tennessee,Middle Tennessee,Sat Feb 18,45,149,Marshall,"W, 97-86",77,Away,24-4,14-1,
2017,Middle Tennessee,Middle Tennessee,Sun Feb 26,41,196,UAB,"W, 66-64",60,Away,25-4,15-1,
2017,Middle Tennessee,Middle Tennessee,Thu Mar 2,47,276,FIU,"W, 70-67",66,Home,26-4,16-1,
2017,Middle Tennessee,Middle Tennessee,Sat Mar 4,53,271,Florida Atlantic,"W, 93-59",74,Home,27-4,17-1,
2017,Middle Tennessee,Middle Tennessee,Thu Mar 9,52,251,UTSA,"W, 86-70",63,Neutral,28-4,,Conference USA
2017,Middle Tennessee,Middle Tennessee,Fri Mar 10,51,200,UTEP,"W, 82-56",71,Neutral,29-4,,Conference USA
2017,Middle Tennessee,Middle Tennessee,Sat Mar 11,47,149,Marshall,"W, 83-72",74,Neutral,30-4,,Conference USA
2017,Middle Tennessee,Middle Tennessee,Thu Mar 16,46,37,Minnesota,"W, 81-72",67,Neutral,31-4,,NCAA
2017,Middle Tennessee,Middle Tennessee,Sat Mar 18,41,25,Butler,"L, 74-65",67,Neutral,31-5,,NCAA
