Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Mount St. Mary's,Mount St. Mary's,Fri Nov 11,290,7,West Virginia,"L, 87-59",74,Away,0-1,,
2017,Mount St. Mary's,Mount St. Mary's,Mon Nov 14,293,17,Iowa St.,"L, 73-55",74,Away,0-2,,
2017,Mount St. Mary's,Mount St. Mary's,Wed Nov 16,287,37,Minnesota,"L, 80-56",73,Away,0-3,,
2017,Mount St. Mary's,Mount St. Mary's,Fri Nov 18,293,123,George Mason,"W, 78-76",75,Away,1-3,,
2017,Mount St. Mary's,Mount St. Mary's,Mon Nov 21,275,150,Southern Illinois,"L, 73-63",66,Away,1-4,,
2017,Mount St. Mary's,Mount St. Mary's,Wed Nov 23,275,75,UT Arlington,"L, 80-71",78,Away,1-5,,
2017,Mount St. Mary's,Mount St. Mary's,Sat Nov 26,267,20,Michigan,"L, 64-47",59,Away,1-6,,
2017,Mount St. Mary's,Mount St. Mary's,Mon Nov 28,266,35,Arkansas,"L, 89-76",72,Away,1-7,,
2017,Mount St. Mary's,Mount St. Mary's,Sat Dec 3,255,227,Loyola MD,"L, 64-57",68,Away,1-8,,
2017,Mount St. Mary's,Mount St. Mary's,Wed Dec 7,253,201,UMBC,"L, 78-70",72,Home,1-9,,
2017,Mount St. Mary's,Mount St. Mary's,Sat Dec 10,266,115,Lehigh,"L, 90-71",75,Home,1-10,,
2017,Mount St. Mary's,Mount St. Mary's,Mon Dec 19,271,76,Bucknell,"L, 81-65",76,Away,1-11,,
2017,Mount St. Mary's,Mount St. Mary's,Thu Dec 22,272,343,Coppin St.,"W, 87-49",66,Home,2-11,,
2017,Mount St. Mary's,Mount St. Mary's,Thu Dec 29,253,253,LIU Brooklyn,"W, 67-65",64,Away,3-11,1-0,
2017,Mount St. Mary's,Mount St. Mary's,Sat Dec 31,248,247,Wagner,"W, 57-56",61,Home,4-11,2-0,
2017,Mount St. Mary's,Mount St. Mary's,Thu Jan 5,241,281,Bryant,"L, 72-71",65,Away,4-12,2-1,
2017,Mount St. Mary's,Mount St. Mary's,Sat Jan 7,240,341,Central Connecticut,"W, 77-68",66,Away,5-12,3-1,
2017,Mount St. Mary's,Mount St. Mary's,Thu Jan 12,234,267,Fairleigh Dickinson,"W, 77-70",71,Home,6-12,4-1,
2017,Mount St. Mary's,Mount St. Mary's,Sat Jan 14,224,254,St. Francis PA,"W, 78-72",70,Home,7-12,5-1,
2017,Mount St. Mary's,Mount St. Mary's,Thu Jan 19,227,301,Sacred Heart,"W, 86-75",74,Away,8-12,6-1,
2017,Mount St. Mary's,Mount St. Mary's,Sat Jan 21,217,346,St. Francis NY,"W, 55-47",62,Away,9-12,7-1,
2017,Mount St. Mary's,Mount St. Mary's,Thu Jan 26,207,266,Robert Morris,"W, 48-47",66,Home,10-12,8-1,
2017,Mount St. Mary's,Mount St. Mary's,Sat Jan 28,212,301,Sacred Heart,"W, 67-53",66,Home,11-12,9-1,
2017,Mount St. Mary's,Mount St. Mary's,Thu Feb 2,215,281,Bryant,"W, 77-70",62,Home,12-12,10-1,
2017,Mount St. Mary's,Mount St. Mary's,Sat Feb 4,214,341,Central Connecticut,"L, 54-52",65,Home,12-13,10-2,
2017,Mount St. Mary's,Mount St. Mary's,Thu Feb 9,225,266,Robert Morris,"W, 74-70",69,Away,13-13,11-2,
2017,Mount St. Mary's,Mount St. Mary's,Sat Feb 11,218,254,St. Francis PA,"W, 81-62",66,Away,14-13,12-2,
2017,Mount St. Mary's,Mount St. Mary's,Thu Feb 16,210,247,Wagner,"L, 69-65",64,Away,14-14,12-3,
2017,Mount St. Mary's,Mount St. Mary's,Sat Feb 18,208,267,Fairleigh Dickinson,"W, 79-74",68,Away,15-14,13-3,
2017,Mount St. Mary's,Mount St. Mary's,Thu Feb 23,205,253,LIU Brooklyn,"L, 62-58",63,Home,15-15,13-4,
2017,Mount St. Mary's,Mount St. Mary's,Sat Feb 25,215,346,St. Francis NY,"W, 77-62",77,Home,16-15,14-4,
2017,Mount St. Mary's,Mount St. Mary's,Wed Mar 1,214,301,Sacred Heart,"W, 76-73",72,Home,17-15,,Northeast
2017,Mount St. Mary's,Mount St. Mary's,Sat Mar 4,215,266,Robert Morris,"W, 75-66",71,Home,18-15,,Northeast
2017,Mount St. Mary's,Mount St. Mary's,Tue Mar 7,215,254,St. Francis PA,"W, 71-61",71,Home,19-15,,Northeast
2017,Mount St. Mary's,Mount St. Mary's,Tue Mar 14,213,178,New Orleans,"W, 67-66",63,Neutral,20-15,,NCAA
2017,Mount St. Mary's,Mount St. Mary's,Thu Mar 16,212,2,Villanova,"L, 76-56",63,Neutral,20-16,,NCAA
