Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Nevada,Nevada,Fri Nov 11,114,15,Saint Mary's,"L, 81-63",59,Away,0-1,,
2017,Nevada,Nevada,Mon Nov 14,116,175,Loyola Marymount,"W, 79-64",70,Home,1-1,,
2017,Nevada,Nevada,Fri Nov 18,107,264,Oregon St.,"W, 83-58",73,Home,2-1,,
2017,Nevada,Nevada,Sun Nov 20,90,117,Iona,"W, 91-76",76,Home,3-1,,
2017,Nevada,Nevada,Wed Nov 23,84,103,Oakland,"W, 82-78",72,Neutral,4-1,,
2017,Nevada,Nevada,Fri Nov 25,81,122,Buffalo,"W, 67-62",70,Neutral,5-1,,
2017,Nevada,Nevada,Sat Nov 26,79,117,Iona,"L, 75-73",70,Neutral,5-2,,
2017,Nevada,Nevada,Tue Nov 29,79,246,Pacific,"W, 77-67",69,Home,6-2,,
2017,Nevada,Nevada,Sat Dec 3,81,217,Bradley,"W, 91-69",72,Away,7-2,,
2017,Nevada,Nevada,Sun Dec 11,76,163,Washington,"W, 87-85",71,Away,8-2,,
2017,Nevada,Nevada,Wed Dec 14,74,139,UC Irvine,"W, 76-69",70,Home,9-2,,
2017,Nevada,Nevada,Wed Dec 21,73,116,Towson,"W, 81-72",68,Neutral,10-2,,
2017,Nevada,Nevada,Thu Dec 22,73,331,UC Santa Barbara,"W, 67-66",66,Neutral,11-2,,
2017,Nevada,Nevada,Wed Dec 28,76,214,San Jose St.,"W, 80-55",74,Home,12-2,1-0,
2017,Nevada,Nevada,Sat Dec 31,73,98,Fresno St.,"L, 77-76",73,Away,12-3,1-1,
2017,Nevada,Nevada,Wed Jan 4,79,78,San Diego St.,"W, 72-69",68,Home,13-3,2-1,
2017,Nevada,Nevada,Sat Jan 7,81,119,New Mexico,"W, 105-104",90,Away,14-3,3-1,
2017,Nevada,Nevada,Sat Jan 14,74,127,Wyoming,"W, 89-74",84,Away,15-3,4-1,
2017,Nevada,Nevada,Wed Jan 18,66,222,Air Force,"W, 83-76",74,Home,16-3,5-1,
2017,Nevada,Nevada,Sat Jan 21,71,98,Fresno St.,"L, 81-76",68,Home,16-4,5-2,
2017,Nevada,Nevada,Wed Jan 25,77,94,Boise St.,"W, 76-57",68,Away,17-4,6-2,
2017,Nevada,Nevada,Sat Jan 28,67,119,New Mexico,"W, 82-65",71,Home,18-4,7-2,
2017,Nevada,Nevada,Wed Feb 1,63,130,Utah St.,"L, 74-57",72,Away,18-5,7-3,
2017,Nevada,Nevada,Wed Feb 8,73,248,UNLV,"W, 104-77",78,Home,19-5,8-3,
2017,Nevada,Nevada,Sun Feb 12,67,78,San Diego St.,"L, 70-56",71,Away,19-6,8-4,
2017,Nevada,Nevada,Wed Feb 15,75,222,Air Force,"W, 78-59",63,Away,20-6,9-4,
2017,Nevada,Nevada,Sat Feb 18,66,130,Utah St.,"W, 77-66",66,Home,21-6,10-4,
2017,Nevada,Nevada,Wed Feb 22,71,94,Boise St.,"W, 85-77",71,Home,22-6,11-4,
2017,Nevada,Nevada,Sat Feb 25,70,248,UNLV,"W, 94-58",67,Away,23-6,12-4,
2017,Nevada,Nevada,Wed Mar 1,65,214,San Jose St.,"W, 82-67",71,Away,24-6,13-4,
2017,Nevada,Nevada,Sat Mar 4,60,86,Colorado St.,"W, 85-72",73,Home,25-6,14-4,
2017,Nevada,Nevada,Thu Mar 9,56,130,Utah St.,"W, 83-69",68,Neutral,26-6,,Mountain West
2017,Nevada,Nevada,Fri Mar 10,56,98,Fresno St.,"W, 83-72",72,Neutral,27-6,,Mountain West
2017,Nevada,Nevada,Sat Mar 11,55,86,Colorado St.,"W, 79-71",72,Neutral,28-6,,Mountain West
2017,Nevada,Nevada,Thu Mar 16,53,17,Iowa St.,"L, 84-73",69,Neutral,28-7,,NCAA
