Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,North Dakota,North Dakota,Fri Nov 11,146,NR,Crown,"W, 98-48",80,Home,1-0,,
2017,North Dakota,North Dakota,Tue Nov 15,149,NR,Mayville St.,"W, 94-66",70,Home,2-0,,
2017,North Dakota,North Dakota,Sun Nov 20,146,NR,Presentation,"W, 101-63",77,Home,3-0,,
2017,North Dakota,North Dakota,Fri Nov 25,149,255,North Florida,"L, 76-75",75,Neutral,3-1,,
2017,North Dakota,North Dakota,Sat Nov 26,156,164,Wright St.,"L, 83-79",78,Away,3-2,,
2017,North Dakota,North Dakota,Sun Nov 27,162,90,Cal St. Bakersfield,"W, 57-55",68,Neutral,4-2,,
2017,North Dakota,North Dakota,Wed Dec 7,151,167,North Dakota St.,"W, 74-56",69,Away,5-2,,
2017,North Dakota,North Dakota,Sat Dec 10,118,169,Northern Iowa,"L, 78-70",70,Away,5-3,,
2017,North Dakota,North Dakota,Fri Dec 16,124,167,North Dakota St.,"L, 87-70",74,Home,5-4,,
2017,North Dakota,North Dakota,Tue Dec 20,149,71,Iowa,"L, 84-73",75,Away,5-5,,
2017,North Dakota,North Dakota,Thu Dec 29,153,239,Portland St.,"L, 99-62",81,Away,5-6,0-1,
2017,North Dakota,North Dakota,Sat Dec 31,195,291,Sacramento St.,"W, 90-82",77,Away,6-6,1-1,
2017,North Dakota,North Dakota,Thu Jan 5,198,323,Northern Arizona,"W, 68-63",73,Home,7-6,2-1,
2017,North Dakota,North Dakota,Sat Jan 7,212,333,Southern Utah,"W, 95-65",77,Home,8-6,3-1,
2017,North Dakota,North Dakota,Thu Jan 12,204,240,Montana St.,"W, 90-85",81,Away,9-6,4-1,
2017,North Dakota,North Dakota,Sat Jan 14,194,194,Montana,"L, 76-70",72,Away,9-7,4-2,
2017,North Dakota,North Dakota,Thu Jan 19,201,179,Weber St.,"W, 83-77",72,Home,10-7,5-2,
2017,North Dakota,North Dakota,Sat Jan 21,197,332,Idaho St.,"W, 89-64",71,Home,11-7,6-2,
2017,North Dakota,North Dakota,Thu Jan 26,191,333,Southern Utah,"W, 91-89",74,Away,12-7,7-2,
2017,North Dakota,North Dakota,Sat Jan 28,199,323,Northern Arizona,"L, 68-67",70,Away,12-8,7-3,
2017,North Dakota,North Dakota,Sat Feb 4,207,283,Northern Colorado,"W, 87-77",78,Home,13-8,8-3,
2017,North Dakota,North Dakota,Thu Feb 9,206,186,Eastern Washington,"W, 95-86",72,Home,14-8,9-3,
2017,North Dakota,North Dakota,Sat Feb 11,201,216,Idaho,"W, 88-65",66,Home,15-8,10-3,
2017,North Dakota,North Dakota,Thu Feb 16,188,332,Idaho St.,"W, 77-61",71,Away,16-8,11-3,
2017,North Dakota,North Dakota,Sat Feb 18,179,179,Weber St.,"W, 77-68",74,Away,17-8,12-3,
2017,North Dakota,North Dakota,Sat Feb 25,171,283,Northern Colorado,"W, 84-81",81,Away,18-8,13-3,
2017,North Dakota,North Dakota,Thu Mar 2,172,291,Sacramento St.,"L, 57-53",63,Home,18-9,13-4,
2017,North Dakota,North Dakota,Sat Mar 4,185,239,Portland St.,"W, 82-73",77,Home,19-9,14-4,
2017,North Dakota,North Dakota,Thu Mar 9,184,239,Portland St.,"W, 95-72",79,Neutral,20-9,,Big Sky
2017,North Dakota,North Dakota,Fri Mar 10,177,216,Idaho,"W, 69-64",72,Neutral,21-9,,Big Sky
2017,North Dakota,North Dakota,Sat Mar 11,176,179,Weber St.,"W, 93-89",80,Neutral,22-9,,Big Sky
2017,North Dakota,North Dakota,Thu Mar 16,167,18,Arizona,"L, 100-82",74,Neutral,22-10,,NCAA
