Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Rhode Island,Rhode Island,Fri Nov 11,43,305,Dartmouth,"W, 84-61",73,Home,1-0,,
2017,Rhode Island,Rhode Island,Mon Nov 14,40,312,Marist,"W, 107-65",73,Home,2-0,,
2017,Rhode Island,Rhode Island,Wed Nov 16,35,277,Brown,"W, 79-72",70,Home,3-0,,
2017,Rhode Island,Rhode Island,Sat Nov 19,40,23,Cincinnati,"W, 76-71",62,Neutral,4-0,,
2017,Rhode Island,Rhode Island,Sun Nov 20,37,14,Duke,"L, 75-65",65,Neutral,4-1,,
2017,Rhode Island,Rhode Island,Fri Nov 25,36,83,Belmont,"W, 82-73",71,Home,5-1,,
2017,Rhode Island,Rhode Island,Tue Nov 29,39,104,Valparaiso,"L, 65-62",67,Away,5-2,,
2017,Rhode Island,Rhode Island,Sat Dec 3,42,60,Providence,"L, 63-60",62,Away,5-3,,
2017,Rhode Island,Rhode Island,Tue Dec 6,41,120,Old Dominion,"W, 51-39",62,Home,6-3,,
2017,Rhode Island,Rhode Island,Sat Dec 10,40,52,Houston,"L, 82-77",67,Away,6-4,,
2017,Rhode Island,Rhode Island,Sun Dec 18,41,215,Holy Cross,"W, 65-54",58,Home,7-4,,
2017,Rhode Island,Rhode Island,Thu Dec 22,40,133,William & Mary,"W, 73-62",68,Home,8-4,,
2017,Rhode Island,Rhode Island,Fri Dec 30,44,273,Saint Louis,"W, 90-56",67,Away,9-4,1-0,
2017,Rhode Island,Rhode Island,Tue Jan 3,41,184,Saint Joseph's,"W, 88-58",69,Home,10-4,2-0,
2017,Rhode Island,Rhode Island,Fri Jan 6,33,39,Dayton,"L, 67-64",66,Away,10-5,2-1,
2017,Rhode Island,Rhode Island,Thu Jan 12,33,140,La Salle,"L, 87-75",73,Home,10-6,2-2,
2017,Rhode Island,Rhode Island,Sun Jan 15,45,158,Massachusetts,"W, 79-77",74,Home,11-6,3-2,
2017,Rhode Island,Rhode Island,Sat Jan 21,49,224,Duquesne,"W, 90-69",67,Away,12-6,4-2,
2017,Rhode Island,Rhode Island,Wed Jan 25,49,92,Richmond,"L, 73-62",83,Away,12-7,4-3,
2017,Rhode Island,Rhode Island,Sat Jan 28,51,91,St. Bonaventure,"W, 71-59",69,Home,13-7,5-3,
2017,Rhode Island,Rhode Island,Tue Jan 31,48,132,George Washington,"W, 82-70",63,Home,14-7,6-3,
2017,Rhode Island,Rhode Island,Fri Feb 3,50,85,Davidson,"W, 70-59",70,Away,15-7,7-3,
2017,Rhode Island,Rhode Island,Tue Feb 7,45,158,Massachusetts,"W, 70-62",72,Away,16-7,8-3,
2017,Rhode Island,Rhode Island,Fri Feb 10,45,39,Dayton,"L, 75-74",68,Home,16-8,8-4,
2017,Rhode Island,Rhode Island,Wed Feb 15,43,202,Fordham,"L, 53-43",62,Home,16-9,8-5,
2017,Rhode Island,Rhode Island,Sat Feb 18,56,123,George Mason,"W, 77-74",65,Away,17-9,9-5,
2017,Rhode Island,Rhode Island,Tue Feb 21,55,140,La Salle,"W, 67-56",64,Away,18-9,10-5,
2017,Rhode Island,Rhode Island,Sat Feb 25,55,48,VCU,"W, 69-59",67,Home,19-9,11-5,
2017,Rhode Island,Rhode Island,Wed Mar 1,53,184,Saint Joseph's,"W, 68-49",66,Away,20-9,12-5,
2017,Rhode Island,Rhode Island,Sat Mar 4,48,85,Davidson,"W, 73-70",70,Home,21-9,13-5,
2017,Rhode Island,Rhode Island,Fri Mar 10,52,91,St. Bonaventure,"W, 74-63",72,Neutral,22-9,,Atlantic 10
2017,Rhode Island,Rhode Island,Sat Mar 11,52,85,Davidson,"W, 84-60",65,Neutral,23-9,,Atlantic 10
2017,Rhode Island,Rhode Island,Sun Mar 12,41,48,VCU,"W, 70-63",60,Neutral,24-9,,Atlantic 10
2017,Rhode Island,Rhode Island,Fri Mar 17,37,28,Creighton,"W, 84-72",73,Neutral,25-9,,NCAA
2017,Rhode Island,Rhode Island,Sun Mar 19,33,10,Oregon,"L, 75-72",64,Neutral,25-10,,NCAA
