Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,South Carolina,South Carolina,Fri Nov 11,62,93,Louisiana Tech,"W, 85-76",74,Home,1-0,,
2017,South Carolina,South Carolina,Sun Nov 13,63,215,Holy Cross,"W, 81-49",56,Home,2-0,,
2017,South Carolina,South Carolina,Tue Nov 15,57,81,Monmouth,"W, 70-69",82,Home,3-0,,
2017,South Carolina,South Carolina,Fri Nov 18,61,336,South Carolina St.,"W, 92-50",69,Home,4-0,,
2017,South Carolina,South Carolina,Wed Nov 23,57,20,Michigan,"W, 61-46",62,Home,5-0,,
2017,South Carolina,South Carolina,Sat Nov 26,46,55,Syracuse,"W, 64-50",65,Neutral,6-0,,
2017,South Carolina,South Carolina,Thu Dec 1,35,63,Vermont,"W, 68-50",67,Home,7-0,,
2017,South Carolina,South Carolina,Sun Dec 4,30,276,FIU,"W, 70-54",69,Home,8-0,,
2017,South Carolina,South Carolina,Mon Dec 12,30,51,Seton Hall,"L, 67-64",70,Semi-Away,8-1,,
2017,South Carolina,South Carolina,Sat Dec 17,32,292,South Florida,"W, 77-66",67,Away,9-1,,
2017,South Carolina,South Carolina,Wed Dec 21,32,45,Clemson,"L, 62-60",70,Home,9-2,,
2017,South Carolina,South Carolina,Tue Dec 27,32,NR,Lander,"W, 90-62",74,Home,10-2,,
2017,South Carolina,South Carolina,Fri Dec 30,29,101,Memphis,"L, 70-54",66,Away,10-3,,
2017,South Carolina,South Carolina,Wed Jan 4,40,61,Georgia,"W, 67-61",66,Away,11-3,1-0,
2017,South Carolina,South Carolina,Sat Jan 7,35,64,Texas A&M,"W, 79-68",67,Home,12-3,2-0,
2017,South Carolina,South Carolina,Wed Jan 11,33,57,Tennessee,"W, 70-60",73,Away,13-3,3-0,
2017,South Carolina,South Carolina,Sat Jan 14,31,74,Mississippi,"W, 67-56",76,Home,14-3,4-0,
2017,South Carolina,South Carolina,Wed Jan 18,29,5,Florida,"W, 57-53",70,Home,15-3,5-0,
2017,South Carolina,South Carolina,Sat Jan 21,29,4,Kentucky,"L, 85-69",70,Away,15-4,5-1,
2017,South Carolina,South Carolina,Tue Jan 24,29,82,Auburn,"W, 98-69",80,Home,16-4,6-1,
2017,South Carolina,South Carolina,Sat Jan 28,28,156,Missouri,"W, 63-53",70,Away,17-4,7-1,
2017,South Carolina,South Carolina,Wed Feb 1,25,172,LSU,"W, 88-63",78,Away,18-4,8-1,
2017,South Carolina,South Carolina,Sat Feb 4,22,61,Georgia,"W, 77-75",68,Home,19-4,9-1,
2017,South Carolina,South Carolina,Tue Feb 7,25,56,Alabama,"L, 90-86",100,Home,19-5,9-2,
2017,South Carolina,South Carolina,Sat Feb 11,27,88,Mississippi St.,"W, 77-73",70,Away,20-5,10-2,
2017,South Carolina,South Carolina,Wed Feb 15,27,35,Arkansas,"L, 83-76",69,Home,20-6,10-3,
2017,South Carolina,South Carolina,Sat Feb 18,27,33,Vanderbilt,"L, 71-62",68,Away,20-7,10-4,
2017,South Carolina,South Carolina,Tue Feb 21,29,5,Florida,"L, 81-66",70,Away,20-8,10-5,
2017,South Carolina,South Carolina,Sat Feb 25,28,57,Tennessee,"W, 82-55",77,Home,21-8,11-5,
2017,South Carolina,South Carolina,Tue Feb 28,28,88,Mississippi St.,"W, 63-57",71,Home,22-8,12-5,
2017,South Carolina,South Carolina,Sat Mar 4,28,74,Mississippi,"L, 75-70",74,Away,22-9,12-6,
2017,South Carolina,South Carolina,Fri Mar 10,28,56,Alabama,"L, 64-53",61,Neutral,22-10,,Southeastern
2017,South Carolina,South Carolina,Fri Mar 17,30,32,Marquette,"W, 93-73",72,Neutral,23-10,,NCAA
2017,South Carolina,South Carolina,Sun Mar 19,28,14,Duke,"W, 88-81",74,Neutral,24-10,,NCAA
2017,South Carolina,South Carolina,Fri Mar 24,28,13,Baylor,"W, 70-50",66,Neutral,25-10,,NCAA
2017,South Carolina,South Carolina,Sun Mar 26,26,5,Florida,"W, 77-70",69,Neutral,26-10,,NCAA
2017,South Carolina,South Carolina,Sat Apr 1,25,1,Gonzaga,"L, 77-73",68,Neutral,26-11,,NCAA
