Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,UC Davis,UC Davis,Fri Nov 11,245,160,Tennessee St.,"L, 78-64",75,Neutral,0-1,,
2017,UC Davis,UC Davis,Sat Nov 12,259,125,Santa Clara,"W, 63-58",69,Away,1-1,,
2017,UC Davis,UC Davis,Sun Nov 13,242,323,Northern Arizona,"W, 89-76",78,Neutral,2-1,,
2017,UC Davis,UC Davis,Thu Nov 17,229,NR,Holy Names,"W, 89-75",73,Home,3-1,,
2017,UC Davis,UC Davis,Mon Nov 21,229,291,Sacramento St.,"W, 81-72",72,Neutral,4-1,,
2017,UC Davis,UC Davis,Thu Nov 24,223,179,Weber St.,"L, 86-58",66,Neutral,4-2,,
2017,UC Davis,UC Davis,Fri Nov 25,242,258,Drake,"W, 64-58",61,Neutral,5-2,,
2017,UC Davis,UC Davis,Sat Nov 26,233,103,Oakland,"L, 79-66",70,Neutral,5-3,,
2017,UC Davis,UC Davis,Sat Dec 3,251,216,Idaho,"L, 68-66",68,Away,5-4,,
2017,UC Davis,UC Davis,Sat Dec 10,251,62,California,"L, 86-61",74,Away,5-5,,
2017,UC Davis,UC Davis,Wed Dec 14,255,167,North Dakota St.,"L, 74-70",68,Away,5-6,,
2017,UC Davis,UC Davis,Sat Dec 17,251,NR,William Jessup,"W, 87-64",74,Home,6-6,,
2017,UC Davis,UC Davis,Thu Dec 22,244,222,Air Force,"L, 77-67",72,Away,6-7,,
2017,UC Davis,UC Davis,Wed Dec 28,248,265,Seattle,"W, 72-65",75,Away,7-7,,
2017,UC Davis,UC Davis,Sat Dec 31,239,147,Utah Valley,"W, 83-69",73,Home,8-7,,
2017,UC Davis,UC Davis,Wed Jan 4,232,331,UC Santa Barbara,"W, 73-47",67,Home,9-7,1-0,
2017,UC Davis,UC Davis,Sat Jan 7,207,306,Cal Poly,"W, 68-64",65,Home,10-7,2-0,
2017,UC Davis,UC Davis,Thu Jan 12,207,311,UC Riverside,"L, 61-55",74,Away,10-8,2-1,
2017,UC Davis,UC Davis,Sat Jan 14,219,284,Cal St. Northridge,"W, 71-68",75,Away,11-8,3-1,
2017,UC Davis,UC Davis,Sat Jan 21,222,269,Hawaii,"W, 76-70",69,Away,12-8,4-1,
2017,UC Davis,UC Davis,Sat Jan 28,210,139,UC Irvine,"W, 74-65",73,Home,13-8,5-1,
2017,UC Davis,UC Davis,Thu Feb 2,203,306,Cal Poly,"L, 74-70",68,Away,13-9,5-2,
2017,UC Davis,UC Davis,Sat Feb 4,211,331,UC Santa Barbara,"W, 67-64",66,Away,14-9,6-2,
2017,UC Davis,UC Davis,Wed Feb 8,213,261,Cal St. Fullerton,"W, 74-65",72,Home,15-9,7-2,
2017,UC Davis,UC Davis,Sat Feb 11,211,311,UC Riverside,"W, 77-63",72,Home,16-9,8-2,
2017,UC Davis,UC Davis,Thu Feb 16,212,225,Long Beach St.,"L, 78-69",75,Away,16-10,8-3,
2017,UC Davis,UC Davis,Sat Feb 18,216,261,Cal St. Fullerton,"L, 79-72",74,Away,16-11,8-4,
2017,UC Davis,UC Davis,Thu Feb 23,224,284,Cal St. Northridge,"W, 96-85",75,Home,17-11,9-4,
2017,UC Davis,UC Davis,Sat Feb 25,221,225,Long Beach St.,"W, 75-71",73,Home,18-11,10-4,
2017,UC Davis,UC Davis,Thu Mar 2,221,269,Hawaii,"W, 68-59",62,Home,19-11,11-4,
2017,UC Davis,UC Davis,Sat Mar 4,219,139,UC Irvine,"L, 79-49",67,Away,19-12,11-5,
2017,UC Davis,UC Davis,Thu Mar 9,224,306,Cal Poly,"W, 66-55",68,Neutral,20-12,,Big West
2017,UC Davis,UC Davis,Fri Mar 10,223,261,Cal St. Fullerton,"W, 66-64",69,Neutral,21-12,,Big West
2017,UC Davis,UC Davis,Sat Mar 11,220,139,UC Irvine,"W, 50-47",65,Neutral,22-12,,Big West
2017,UC Davis,UC Davis,Wed Mar 15,217,161,North Carolina Central,"W, 67-63",72,Neutral,23-12,,NCAA
2017,UC Davis,UC Davis,Fri Mar 17,216,6,Kansas,"L, 100-62",75,Neutral,23-13,,NCAA
