Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Villanova,Villanova,Fri Nov 11,2,330,Lafayette,"W, 88-48",73,Home,1-0,,
2017,Villanova,Villanova,Mon Nov 14,2,19,Purdue,"W, 79-76",71,Away,2-0,,
2017,Villanova,Villanova,Thu Nov 17,2,162,Western Michigan,"W, 76-65",67,Neutral,3-0,,
2017,Villanova,Villanova,Fri Nov 18,2,36,Wake Forest,"W, 96-77",62,Neutral,4-0,,
2017,Villanova,Villanova,Sun Nov 20,2,68,UCF,"W, 67-57",63,Neutral,5-0,,
2017,Villanova,Villanova,Wed Nov 23,2,89,College of Charleston,"W, 63-47",61,Home,6-0,,
2017,Villanova,Villanova,Tue Nov 29,5,171,Penn,"W, 82-57",70,Away,7-0,,
2017,Villanova,Villanova,Sat Dec 3,2,184,Saint Joseph's,"W, 88-57",68,Home,8-0,,
2017,Villanova,Villanova,Tue Dec 6,1,140,La Salle,"W, 89-79",70,Neutral,9-0,,
2017,Villanova,Villanova,Sat Dec 10,2,27,Notre Dame,"W, 74-66",61,Neutral,10-0,,
2017,Villanova,Villanova,Tue Dec 13,2,118,Temple,"W, 78-57",68,Home,11-0,,
2017,Villanova,Villanova,Wed Dec 21,1,307,American,"W, 90-48",67,Home,12-0,,
2017,Villanova,Villanova,Wed Dec 28,1,183,DePaul,"W, 68-65",66,Home,13-0,1-0,
2017,Villanova,Villanova,Sat Dec 31,6,28,Creighton,"W, 80-70",68,Away,14-0,2-0,
2017,Villanova,Villanova,Wed Jan 4,3,25,Butler,"L, 66-58",59,Away,14-1,2-1,
2017,Villanova,Villanova,Sat Jan 7,3,32,Marquette,"W, 93-81",65,Home,15-1,3-1,
2017,Villanova,Villanova,Tue Jan 10,3,31,Xavier,"W, 79-54",69,Home,16-1,4-1,
2017,Villanova,Villanova,Sat Jan 14,3,99,St. John's,"W, 70-57",70,Away,17-1,5-1,
2017,Villanova,Villanova,Mon Jan 16,4,51,Seton Hall,"W, 76-46",62,Home,18-1,6-1,
2017,Villanova,Villanova,Sat Jan 21,3,60,Providence,"W, 78-68",63,Home,19-1,7-1,
2017,Villanova,Villanova,Tue Jan 24,3,32,Marquette,"L, 74-72",65,Away,19-2,7-2,
2017,Villanova,Villanova,Sun Jan 29,4,12,Virginia,"W, 61-59",55,Home,20-2,,
2017,Villanova,Villanova,Wed Feb 1,6,60,Providence,"W, 66-57",64,Away,21-2,8-2,
2017,Villanova,Villanova,Sat Feb 4,6,99,St. John's,"W, 92-79",80,Home,22-2,9-2,
2017,Villanova,Villanova,Tue Feb 7,4,69,Georgetown,"W, 75-64",64,Home,23-2,10-2,
2017,Villanova,Villanova,Sat Feb 11,5,31,Xavier,"W, 73-57",58,Away,24-2,11-2,
2017,Villanova,Villanova,Mon Feb 13,3,183,DePaul,"W, 75-62",69,Away,25-2,12-2,
2017,Villanova,Villanova,Sat Feb 18,2,51,Seton Hall,"W, 92-70",64,Away,26-2,13-2,
2017,Villanova,Villanova,Wed Feb 22,2,25,Butler,"L, 74-66",64,Home,26-3,13-3,
2017,Villanova,Villanova,Sat Feb 25,2,28,Creighton,"W, 79-63",67,Home,27-3,14-3,
2017,Villanova,Villanova,Sat Mar 4,2,69,Georgetown,"W, 81-55",69,Away,28-3,15-3,
2017,Villanova,Villanova,Thu Mar 9,2,99,St. John's,"W, 108-67",68,Semi-Away,29-3,,Big East
2017,Villanova,Villanova,Fri Mar 10,2,51,Seton Hall,"W, 55-53",59,Neutral,30-3,,Big East
2017,Villanova,Villanova,Sat Mar 11,2,28,Creighton,"W, 74-60",70,Neutral,31-3,,Big East
2017,Villanova,Villanova,Thu Mar 16,2,209,Mount St. Mary's,"W, 76-56",63,Neutral,32-3,,NCAA
2017,Villanova,Villanova,Sat Mar 18,2,21,Wisconsin,"L, 65-62",58,Neutral,32-4,,NCAA
